paragraph,stemmed,tokenized,stemmed_and_tokenized,posting_list,posting_list_tokenized,posting_list_stemmed
"Approved by the Superintendent of Financial Services for use as the standard Owners Policy on or
after June 1 2016",approv by the superintend of financi servic for use as the standard owner polici on or after june 1 2016,"approve by the Superintendent of Financial Services for use as the standard Owners Policy on or 
 after June 1 2016",approv by the superintend of financi servic for use as the standard owner polici on or after june 1 2016,"['1', '2016', 'Financial', 'June', 'Owners', 'Policy', 'Services', 'Superintendent', 'after', 'approve', 'as', 'by', 'for', 'of', 'on', 'or', 'standard', 'the', 'the', 'use']","['1', '2016', 'after', 'approve', 'as', 'by', 'financial', 'for', 'june', 'of', 'on', 'or', 'owners', 'policy', 'services', 'standard', 'superintendent', 'the', 'the', 'use']","['1', '2016', 'after', 'approv', 'as', 'by', 'financi', 'for', 'june', 'of', 'on', 'or', 'owner', 'polici', 'servic', 'standard', 'superintend', 'the', 'the', 'use']"
"About This Policy
This is your automobile insurance policy It is written in easy to understand language Please read it
carefully so you know your rights and obligations and the rights and obligations of your insurance company
Here is a summary of each Section of the policy For details of each coverage and the conditions that apply
consult the appropriate Sections of the policy
Section 1  Introduction contains information that applies to the entire policy In order to understand what
is covered and what is not covered by each coverage you should read Sections 1 and 2 and the entire Section
of the policy that deals with the specific coverage
Section 2  What Automobiles Are Covered explains what coverages are available to a described
automobile and to other types of automobiles for example newly acquired or temporary substitute
automobiles when you have a specific coverage for a described automobile
Section 3  Liability Coverage describes what we will cover if someone is killed or injured in an accident
or their property is damaged when you or other insured persons are at fault in the accident
Section 4  Accident Benefits Coverage outlines benefits available if you are injured in an accident
regardless of who caused the accident
Section 5  Uninsured Automobile Coverage describes what we will cover if someone is injured or killed
by an uninsured motorist or by a hitandrun driver
Section 6  Direct Compensation  Property Damage Coverage describes what we will cover if there is
damage to your automobile in an accident that is not entirely your fault
Section 7  Loss or Damage Coverages describes optional coverage against loss of or damage to your
automobile caused by collision fire theft and a variety of other unpredictable risks
Section 8  Statutory Conditions lists the conditions required by the Insurance Act for all automobile
insurance policies in Ontario For convenience the conditions have been included in each Section of the
policy where they apply If there is a discrepancy between the Statutory Conditions and the wording in the
policy the Statutory Conditions in Section 8 prevail
For purposes of the Insurance Companies Act Canada this document was issued in the course of the
insurance company’s insurance business in Canada",about this polici this is your automobil insur polici it is written in easi to understand languag pleas read it care so you know your right and oblig and the right and oblig of your insur compani here is a summari of each section of the polici for detail of each coverag and the condit that appli consult the appropri section of the polici section 1 introduct contain inform that appli to the entir polici in order to understand what is cover and what is not cover by each coverag you should read section 1 and 2 and the entir section of the polici that deal with the specif coverag section 2 what automobil are cover explain what coverag are avail to a describ automobil and to other type of automobil for exampl newli acquir or temporari substitut automobil when you have a specif coverag for a describ automobil section 3 liabil coverag describ what we will cover if someon is kill or injur in an accid or their properti is damag when you or other insur person are at fault in the accid section 4 accid benefit coverag outlin benefit avail if you are injur in an accid regardless of who caus the accid section 5 uninsur automobil coverag describ what we will cover if someon is injur or kill by an uninsur motorist or by a hitandrun driver section 6 direct compens properti damag coverag describ what we will cover if there is damag to your automobil in an accid that is not entir your fault section 7 loss or damag coverag describ option coverag against loss of or damag to your automobil caus by collis fire theft and a varieti of other unpredict risk section 8 statutori condit list the condit requir by the insur act for all automobil insur polici in ontario for conveni the condit have been includ in each section of the polici where they appli if there is a discrep between the statutori condit and the word in the polici the statutori condit in section 8 prevail for purpos of the insur compani act canada this document was issu in the cours of the insur compani insur busi in canada,"about this policy 
 this be your automobile insurance policy it be write in easy to understand language please read it 
 carefully so you know your right and obligation and the right and obligation of your insurance company 
 here be a summary of each Section of the policy for detail of each coverage and the condition that apply 
 consult the appropriate section of the policy 
 Section 1   introduction contain information that apply to the entire policy in order to understand what 
 be cover and what be not cover by each coverage you should read section 1 and 2 and the entire Section 
 of the policy that deal with the specific coverage 
 Section 2   what Automobiles be Covered explain what coverage be available to a describe 
 automobile and to other type of automobile for example newly acquire or temporary substitute 
 automobile when you have a specific coverage for a describe automobile 
 Section 3   Liability Coverage describe what we will cover if someone be kill or injure in an accident 
 or their property be damage when you or other insured person be at fault in the accident 
 Section 4   Accident Benefits Coverage outline benefit available if you be injure in an accident 
 regardless of who cause the accident 
 Section 5   Uninsured Automobile Coverage describe what we will cover if someone be injure or kill 
 by an uninsured motorist or by a hitandrun driver 
 Section 6   Direct Compensation   Property Damage Coverage describe what we will cover if there be 
 damage to your automobile in an accident that be not entirely your fault 
 Section 7   Loss or Damage Coverages describe optional coverage against loss of or damage to your 
 automobile cause by collision fire theft and a variety of other unpredictable risk 
 section 8   Statutory Conditions list the condition require by the Insurance Act for all automobile 
 insurance policy in Ontario for convenience the condition have be include in each section of the 
 policy where they apply if there be a discrepancy between the Statutory Conditions and the wording in the 
 policy the Statutory Conditions in Section 8 prevail 
 for purpose of the Insurance Companies Act Canada this document be issue in the course of the 
 insurance company ’s insurance business in Canada",about this polici this be your automobil insur polici it be write in easi to understand languag pleas read it care so you know your right and oblig and the right and oblig of your insur compani here be a summari of each section of the polici for detail of each coverag and the condit that appli consult the appropri section of the polici section 1 introduct contain inform that appli to the entir polici in order to understand what be cover and what be not cover by each coverag you should read section 1 and 2 and the entir section of the polici that deal with the specif coverag section 2 what automobil be cover explain what coverag be avail to a describ automobil and to other type of automobil for exampl newli acquir or temporari substitut automobil when you have a specif coverag for a describ automobil section 3 liabil coverag describ what we will cover if someon be kill or injur in an accid or their properti be damag when you or other insur person be at fault in the accid section 4 accid benefit coverag outlin benefit avail if you be injur in an accid regardless of who caus the accid section 5 uninsur automobil coverag describ what we will cover if someon be injur or kill by an uninsur motorist or by a hitandrun driver section 6 direct compen properti damag coverag describ what we will cover if there be damag to your automobil in an accid that be not entir your fault section 7 loss or damag coverag describ option coverag against loss of or damag to your automobil caus by colli fire theft and a varieti of other unpredict risk section 8 statutori condit list the condit requir by the insur act for all automobil insur polici in ontario for conveni the condit have be includ in each section of the polici where they appli if there be a discrep between the statutori condit and the word in the polici the statutori condit in section 8 prevail for purpos of the insur compani act canada this document be issu in the cour of the insur compani insur busi in canada,"['1', '1', '2', '2', '3', '4', '5', '6', '7', '8', '8', 'Accident', 'Act', 'Act', 'Automobile', 'Automobiles', 'Benefits', 'Canada', 'Canada', 'Companies', 'Compensation', 'Conditions', 'Conditions', 'Conditions', 'Coverage', 'Coverage', 'Coverage', 'Coverage', 'Coverages', 'Covered', 'Damage', 'Damage', 'Direct', 'Insurance', 'Insurance', 'Liability', 'Loss', 'Ontario', 'Property', 'Section', 'Section', 'Section', 'Section', 'Section', 'Section', 'Section', 'Section', 'Section', 'Section', 'Statutory', 'Statutory', 'Statutory', 'Uninsured', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'about', 'accident', 'accident', 'accident', 'accident', 'accident', 'acquire', 'against', 'all', 'an', 'an', 'an', 'an', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'apply', 'apply', 'apply', 'appropriate', 'at', 'automobile', 'automobile', 'automobile', 'automobile', 'automobile', 'automobile', 'automobile', 'automobile', 'available', 'available', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'benefit', 'between', 'business', 'by', 'by', 'by', 'by', 'by', 'carefully', 'cause', 'cause', 'collision', 'company', 'company', 'condition', 'condition', 'condition', 'consult', 'contain', 'convenience', 'course', 'cover', 'cover', 'cover', 'cover', 'cover', 'coverage', 'coverage', 'coverage', 'coverage', 'coverage', 'coverage', 'damage', 'damage', 'damage', 'deal', 'describe', 'describe', 'describe', 'describe', 'describe', 'describe', 'detail', 'discrepancy', 'document', 'driver', 'each', 'each', 'each', 'each', 'easy', 'entire', 'entire', 'entirely', 'example', 'explain', 'fault', 'fault', 'fire', 'for', 'for', 'for', 'for', 'for', 'for', 'have', 'have', 'here', 'hitandrun', 'if', 'if', 'if', 'if', 'if', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'include', 'information', 'injure', 'injure', 'injure', 'insurance', 'insurance', 'insurance', 'insurance', 'insurance', 'insured', 'introduction', 'issue', 'it', 'it', 'kill', 'kill', 'know', 'language', 'list', 'loss', 'motorist', 'newly', 'not', 'not', 'obligation', 'obligation', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'optional', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'order', 'other', 'other', 'other', 'outline', 'person', 'please', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'prevail', 'property', 'purpose', 'read', 'read', 'regardless', 'require', 'right', 'right', 'risk', 'section', 'section', 'section', 'section', 'should', 'so', 'someone', 'someone', 'specific', 'specific', 'substitute', 'summary', 'temporary', 'that', 'that', 'that', 'that', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'theft', 'their', 'there', 'there', 'they', 'this', 'this', 'this', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'type', 'understand', 'understand', 'uninsured', 'unpredictable', 'variety', 'we', 'we', 'we', 'what', 'what', 'what', 'what', 'what', 'what', 'what', 'when', 'when', 'where', 'who', 'will', 'will', 'will', 'with', 'wording', 'write', 'you', 'you', 'you', 'you', 'you', 'your', 'your', 'your', 'your', 'your', 'your', '’s']","['1', '1', '2', '2', '3', '4', '5', '6', '7', '8', '8', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'about', 'accident', 'accident', 'accident', 'accident', 'accident', 'accident', 'acquire', 'act', 'act', 'against', 'all', 'an', 'an', 'an', 'an', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'apply', 'apply', 'apply', 'appropriate', 'at', 'automobile', 'automobile', 'automobile', 'automobile', 'automobile', 'automobile', 'automobile', 'automobile', 'automobile', 'automobiles', 'available', 'available', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'benefit', 'benefits', 'between', 'business', 'by', 'by', 'by', 'by', 'by', 'canada', 'canada', 'carefully', 'cause', 'cause', 'collision', 'companies', 'company', 'company', 'compensation', 'condition', 'condition', 'condition', 'conditions', 'conditions', 'conditions', 'consult', 'contain', 'convenience', 'course', 'cover', 'cover', 'cover', 'cover', 'cover', 'coverage', 'coverage', 'coverage', 'coverage', 'coverage', 'coverage', 'coverage', 'coverage', 'coverage', 'coverage', 'coverages', 'covered', 'damage', 'damage', 'damage', 'damage', 'damage', 'deal', 'describe', 'describe', 'describe', 'describe', 'describe', 'describe', 'detail', 'direct', 'discrepancy', 'document', 'driver', 'each', 'each', 'each', 'each', 'easy', 'entire', 'entire', 'entirely', 'example', 'explain', 'fault', 'fault', 'fire', 'for', 'for', 'for', 'for', 'for', 'for', 'have', 'have', 'here', 'hitandrun', 'if', 'if', 'if', 'if', 'if', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'include', 'information', 'injure', 'injure', 'injure', 'insurance', 'insurance', 'insurance', 'insurance', 'insurance', 'insurance', 'insurance', 'insured', 'introduction', 'issue', 'it', 'it', 'kill', 'kill', 'know', 'language', 'liability', 'list', 'loss', 'loss', 'motorist', 'newly', 'not', 'not', 'obligation', 'obligation', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'ontario', 'optional', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'order', 'other', 'other', 'other', 'outline', 'person', 'please', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'prevail', 'property', 'property', 'purpose', 'read', 'read', 'regardless', 'require', 'right', 'right', 'risk', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'should', 'so', 'someone', 'someone', 'specific', 'specific', 'statutory', 'statutory', 'statutory', 'substitute', 'summary', 'temporary', 'that', 'that', 'that', 'that', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'theft', 'their', 'there', 'there', 'they', 'this', 'this', 'this', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'type', 'understand', 'understand', 'uninsured', 'uninsured', 'unpredictable', 'variety', 'we', 'we', 'we', 'what', 'what', 'what', 'what', 'what', 'what', 'what', 'when', 'when', 'where', 'who', 'will', 'will', 'will', 'with', 'wording', 'write', 'you', 'you', 'you', 'you', 'you', 'your', 'your', 'your', 'your', 'your', 'your', '’s']","['1', '1', '2', '2', '3', '4', '5', '6', '7', '8', '8', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'about', 'accid', 'accid', 'accid', 'accid', 'accid', 'accid', 'acquir', 'act', 'act', 'against', 'all', 'an', 'an', 'an', 'an', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'appli', 'appli', 'appli', 'appropri', 'are', 'are', 'are', 'are', 'at', 'automobil', 'automobil', 'automobil', 'automobil', 'automobil', 'automobil', 'automobil', 'automobil', 'automobil', 'automobil', 'avail', 'avail', 'been', 'benefit', 'benefit', 'between', 'busi', 'by', 'by', 'by', 'by', 'by', 'canada', 'canada', 'care', 'caus', 'caus', 'collis', 'compani', 'compani', 'compani', 'compens', 'condit', 'condit', 'condit', 'condit', 'condit', 'condit', 'consult', 'contain', 'conveni', 'cours', 'cover', 'cover', 'cover', 'cover', 'cover', 'cover', 'coverag', 'coverag', 'coverag', 'coverag', 'coverag', 'coverag', 'coverag', 'coverag', 'coverag', 'coverag', 'coverag', 'damag', 'damag', 'damag', 'damag', 'damag', 'deal', 'describ', 'describ', 'describ', 'describ', 'describ', 'describ', 'detail', 'direct', 'discrep', 'document', 'driver', 'each', 'each', 'each', 'each', 'easi', 'entir', 'entir', 'entir', 'exampl', 'explain', 'fault', 'fault', 'fire', 'for', 'for', 'for', 'for', 'for', 'for', 'have', 'have', 'here', 'hitandrun', 'if', 'if', 'if', 'if', 'if', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'in', 'includ', 'inform', 'injur', 'injur', 'injur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'introduct', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'is', 'issu', 'it', 'it', 'kill', 'kill', 'know', 'languag', 'liabil', 'list', 'loss', 'loss', 'motorist', 'newli', 'not', 'not', 'oblig', 'oblig', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'ontario', 'option', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'or', 'order', 'other', 'other', 'other', 'outlin', 'person', 'pleas', 'polici', 'polici', 'polici', 'polici', 'polici', 'polici', 'polici', 'polici', 'polici', 'prevail', 'properti', 'properti', 'purpos', 'read', 'read', 'regardless', 'requir', 'right', 'right', 'risk', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'should', 'so', 'someon', 'someon', 'specif', 'specif', 'statutori', 'statutori', 'statutori', 'substitut', 'summari', 'temporari', 'that', 'that', 'that', 'that', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'theft', 'their', 'there', 'there', 'they', 'this', 'this', 'this', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'type', 'understand', 'understand', 'uninsur', 'uninsur', 'unpredict', 'varieti', 'was', 'we', 'we', 'we', 'what', 'what', 'what', 'what', 'what', 'what', 'what', 'when', 'when', 'where', 'who', 'will', 'will', 'will', 'with', 'word', 'written', 'you', 'you', 'you', 'you', 'you', 'your', 'your', 'your', 'your', 'your', 'your']"
"Table of Contents
ABOUT THIS POLICY  I
WHAT INSURANCE IS REQUIRED BY LAW  V
SECTION 1 INTRODUCTION  1
This Policy is Part of a Contract  1
Where You Are Covered 1
Definitions  1
Your Responsibilities  3
Where to Make A Claim and Who May Make It  4
Our Rights and Responsibilities  5
Payment of Claims  5
If You Have Been Incorrectly Classified and Your Premium is Wrong  5
Monthly Premium Payment Option  5",tabl of content about this polici i what insur is requir by law v section 1 introduct 1 this polici is part of a contract 1 where you are cover 1 definit 1 your respons 3 where to make a claim and who may make it 4 our right and respons 5 payment of claim 5 if you have been incorrect classifi and your premium is wrong 5 month premium payment option 5,"table of Contents 
 about this POLICY   i 
 what insurance be REQUIRED by LAW   v 
 section 1 INTRODUCTION   1 
 this policy be part of a Contract   1 
 where you be cover 1 
 definition   1 
 your Responsibilities   3 
 where to make a claim and who may make it   4 
 our Rights and Responsibilities   5 
 payment of Claims   5 
 if you have be incorrectly classified and your Premium be Wrong   5 
 Monthly Premium Payment Option   5",tabl of content about this polici I what insur be requir by law v section 1 introduct 1 this polici be part of a contract 1 where you be cover 1 definit 1 your respon 3 where to make a claim and who may make it 4 our right and respon 5 payment of claim 5 if you have be incorrect classifi and your premium be wrong 5 month premium payment option 5,"['1', '1', '1', '1', '1', '3', '4', '5', '5', '5', '5', 'Claims', 'Contents', 'Contract', 'INTRODUCTION', 'LAW', 'Monthly', 'Option', 'POLICY', 'Payment', 'Premium', 'Premium', 'REQUIRED', 'Responsibilities', 'Responsibilities', 'Rights', 'Wrong', 'a', 'a', 'about', 'and', 'and', 'and', 'be', 'be', 'be', 'be', 'be', 'by', 'claim', 'classified', 'cover', 'definition', 'have', 'i', 'if', 'incorrectly', 'insurance', 'it', 'make', 'make', 'may', 'of', 'of', 'of', 'our', 'part', 'payment', 'policy', 'section', 'table', 'this', 'this', 'to', 'v', 'what', 'where', 'where', 'who', 'you', 'you', 'your', 'your']","['1', '1', '1', '1', '1', '3', '4', '5', '5', '5', '5', 'a', 'a', 'about', 'and', 'and', 'and', 'be', 'be', 'be', 'be', 'be', 'by', 'claim', 'claims', 'classified', 'contents', 'contract', 'cover', 'definition', 'have', 'i', 'if', 'incorrectly', 'insurance', 'introduction', 'it', 'law', 'make', 'make', 'may', 'monthly', 'of', 'of', 'of', 'option', 'our', 'part', 'payment', 'payment', 'policy', 'policy', 'premium', 'premium', 'required', 'responsibilities', 'responsibilities', 'rights', 'section', 'table', 'this', 'this', 'to', 'v', 'what', 'where', 'where', 'who', 'wrong', 'you', 'you', 'your', 'your']","['1', '1', '1', '1', '1', '3', '4', '5', '5', '5', '5', 'a', 'a', 'about', 'and', 'and', 'and', 'are', 'been', 'by', 'claim', 'claim', 'classifi', 'content', 'contract', 'cover', 'definit', 'have', 'i', 'if', 'incorrect', 'insur', 'introduct', 'is', 'is', 'is', 'it', 'law', 'make', 'make', 'may', 'month', 'of', 'of', 'of', 'option', 'our', 'part', 'payment', 'payment', 'polici', 'polici', 'premium', 'premium', 'requir', 'respons', 'respons', 'right', 'section', 'tabl', 'this', 'this', 'to', 'v', 'what', 'where', 'where', 'who', 'wrong', 'you', 'you', 'your', 'your']"
"Cancelling Your Insurance 6
When You Cancel  6
When We Cancel  6
How We Can Cancel for Nonpayment of Premium  7
How We Can Cancel for Repeated Nonpayment or Other Reasons  7",cancel your insur 6 when you cancel 6 when we cancel 6 how we can cancel for nonpay of premium 7 how we can cancel for repeat nonpay or other reason 7,"cancel your Insurance 6 
 when you cancel   6 
 when we cancel   6 
 how we can cancel for Nonpayment of Premium   7 
 how we can cancel for Repeated Nonpayment or Other Reasons   7",cancel your insur 6 when you cancel 6 when we cancel 6 how we can cancel for nonpay of premium 7 how we can cancel for repeat nonpay or other reason 7,"['6', '6', '6', '7', '7', 'Insurance', 'Nonpayment', 'Nonpayment', 'Other', 'Premium', 'Reasons', 'Repeated', 'can', 'can', 'cancel', 'cancel', 'cancel', 'cancel', 'cancel', 'for', 'for', 'how', 'how', 'of', 'or', 'we', 'we', 'we', 'when', 'when', 'you', 'your']","['6', '6', '6', '7', '7', 'can', 'can', 'cancel', 'cancel', 'cancel', 'cancel', 'cancel', 'for', 'for', 'how', 'how', 'insurance', 'nonpayment', 'nonpayment', 'of', 'or', 'other', 'premium', 'reasons', 'repeated', 'we', 'we', 'we', 'when', 'when', 'you', 'your']","['6', '6', '6', '7', '7', 'can', 'can', 'cancel', 'cancel', 'cancel', 'cancel', 'cancel', 'for', 'for', 'how', 'how', 'insur', 'nonpay', 'nonpay', 'of', 'or', 'other', 'premium', 'reason', 'repeat', 'we', 'we', 'we', 'when', 'when', 'you', 'your']"
"Who and What We Wont Cover 8
General Exclusion  8
Excluded Drivers and Driving Without Permission  8
Rented or Leased Automobile  8
Garage Workers Not Covered  9
Losses Due to War Activities Not Covered 9",who and what we wont cover 8 general exclus 8 exclud driver and drive without permiss 8 rent or leas automobil 8 garag worker not cover 9 loss due to war activ not cover 9,"who and what we will not cover 8 
 General Exclusion   8 
 Excluded Drivers and drive without Permission   8 
 rented or Leased Automobile   8 
 Garage Workers not cover   9 
 Losses due to War Activities not cover 9",who and what we will not cover 8 general exclus 8 exclud driver and drive without permiss 8 rent or lea automobil 8 garag worker not cover 9 loss due to war activ not cover 9,"['8', '8', '8', '8', '9', '9', 'Activities', 'Automobile', 'Drivers', 'Excluded', 'Exclusion', 'Garage', 'General', 'Leased', 'Losses', 'Permission', 'War', 'Workers', 'and', 'and', 'cover', 'cover', 'cover', 'drive', 'due', 'not', 'not', 'not', 'or', 'rented', 'to', 'we', 'what', 'who', 'will', 'without']","['8', '8', '8', '8', '9', '9', 'activities', 'and', 'and', 'automobile', 'cover', 'cover', 'cover', 'drive', 'drivers', 'due', 'excluded', 'exclusion', 'garage', 'general', 'leased', 'losses', 'not', 'not', 'not', 'or', 'permission', 'rented', 'to', 'war', 'we', 'what', 'who', 'will', 'without', 'workers']","['8', '8', '8', '8', '9', '9', 'activ', 'and', 'and', 'automobil', 'cover', 'cover', 'cover', 'drive', 'driver', 'due', 'exclud', 'exclus', 'garag', 'general', 'leas', 'loss', 'not', 'not', 'or', 'permiss', 'rent', 'to', 'war', 'we', 'what', 'who', 'without', 'wont', 'worker']"
"SECTION 2 WHAT AUTOMOBILES ARE COVERED  10
Described Automobile  10
Extending Your Insurance to Other Automobiles  10
Newly Acquired Automobiles  11
Temporary Substitute Automobile  11
Other Automobiles  12
Other Automobiles that are Rented or Leased  13
Trailers  14",section 2 what automobil are cover 10 describ automobil 10 extend your insur to other automobil 10 newli acquir automobil 11 temporari substitut automobil 11 other automobil 12 other automobil that are rent or leas 13 trailer 14,"section 2 what automobile be COVERED   10 
 Described Automobile   10 
 extend your insurance to other Automobiles   10 
 newly acquire Automobiles   11 
 Temporary Substitute Automobile   11 
 other Automobiles   12 
 other Automobiles that be rent or lease   13 
 Trailers   14",section 2 what automobil be cover 10 describ automobil 10 extend your insur to other automobil 10 newli acquir automobil 11 temporari substitut automobil 11 other automobil 12 other automobil that be rent or lea 13 trailer 14,"['10', '10', '10', '11', '11', '12', '13', '14', '2', 'Automobile', 'Automobile', 'Automobiles', 'Automobiles', 'Automobiles', 'Automobiles', 'COVERED', 'Described', 'Substitute', 'Temporary', 'Trailers', 'acquire', 'automobile', 'be', 'be', 'extend', 'insurance', 'lease', 'newly', 'or', 'other', 'other', 'other', 'rent', 'section', 'that', 'to', 'what', 'your']","['10', '10', '10', '11', '11', '12', '13', '14', '2', 'acquire', 'automobile', 'automobile', 'automobile', 'automobiles', 'automobiles', 'automobiles', 'automobiles', 'be', 'be', 'covered', 'described', 'extend', 'insurance', 'lease', 'newly', 'or', 'other', 'other', 'other', 'rent', 'section', 'substitute', 'temporary', 'that', 'to', 'trailers', 'what', 'your']","['10', '10', '10', '11', '11', '12', '13', '14', '2', 'acquir', 'are', 'are', 'automobil', 'automobil', 'automobil', 'automobil', 'automobil', 'automobil', 'automobil', 'cover', 'describ', 'extend', 'insur', 'leas', 'newli', 'or', 'other', 'other', 'other', 'rent', 'section', 'substitut', 'temporari', 'that', 'to', 'trailer', 'what', 'your']"
"When You Have Insured Two Or More Automobiles  15
Under the Same Policy  15
Under More Than One Policy  15",when you have insur two or more automobil 15 under the same polici 15 under more than one polici 15,"when you have insure two or More Automobiles   15 
 under the Same Policy   15 
 under More than one Policy   15",when you have insur two or more automobil 15 under the same polici 15 under more than one polici 15,"['15', '15', '15', 'Automobiles', 'More', 'More', 'Policy', 'Policy', 'Same', 'have', 'insure', 'one', 'or', 'than', 'the', 'two', 'under', 'under', 'when', 'you']","['15', '15', '15', 'automobiles', 'have', 'insure', 'more', 'more', 'one', 'or', 'policy', 'policy', 'same', 'than', 'the', 'two', 'under', 'under', 'when', 'you']","['15', '15', '15', 'automobil', 'have', 'insur', 'more', 'more', 'one', 'or', 'polici', 'polici', 'same', 'than', 'the', 'two', 'under', 'under', 'when', 'you']"
"Trailers and Towing  16
Trailers  16
Automobiles in Tow 16",trailer and tow 16 trailer 16 automobil in tow 16,"trailer and Towing   16 
 Trailers   16 
 Automobiles in Tow 16",trailer and tow 16 trailer 16 automobil in tow 16,"['16', '16', '16', 'Automobiles', 'Tow', 'Towing', 'Trailers', 'and', 'in', 'trailer']","['16', '16', '16', 'and', 'automobiles', 'in', 'tow', 'towing', 'trailer', 'trailers']","['16', '16', '16', 'and', 'automobil', 'in', 'tow', 'tow', 'trailer', 'trailer']"
Inspection  17,inspect 17,inspection   17,inspect 17,"['17', 'inspection']","['17', 'inspection']","['17', 'inspect']"
"SECTION 3 LIABILITY COVERAGE  18
Introduction  18
Who is Covered  18
What We Cover 18
If Someone Sues You  18
How Much We Will Pay  19
Outside Ontario  20
If There is More Than One Named Insured Under This Policy  20
Rented and Leased Automobiles  20",section 3 liabil coverag 18 introduct 18 who is cover 18 what we cover 18 if someon sue you 18 how much we will pay 19 outsid ontario 20 if there is more than one name insur under this polici 20 rent and leas automobil 20,"section 3 LIABILITY COVERAGE   18 
 Introduction   18 
 who be cover   18 
 what we cover 18 
 if someone sue you   18 
 how much we will pay   19 
 Outside Ontario   20 
 if there be More than one name insure under this Policy   20 
 Rented and Leased Automobiles   20",section 3 liabil coverag 18 introduct 18 who be cover 18 what we cover 18 if someon sue you 18 how much we will pay 19 outsid ontario 20 if there be more than one name insur under this polici 20 rent and lea automobil 20,"['18', '18', '18', '18', '18', '19', '20', '20', '20', '3', 'Automobiles', 'COVERAGE', 'Introduction', 'LIABILITY', 'Leased', 'More', 'Ontario', 'Outside', 'Policy', 'Rented', 'and', 'be', 'be', 'cover', 'cover', 'how', 'if', 'if', 'insure', 'much', 'name', 'one', 'pay', 'section', 'someone', 'sue', 'than', 'there', 'this', 'under', 'we', 'we', 'what', 'who', 'will', 'you']","['18', '18', '18', '18', '18', '19', '20', '20', '20', '3', 'and', 'automobiles', 'be', 'be', 'cover', 'cover', 'coverage', 'how', 'if', 'if', 'insure', 'introduction', 'leased', 'liability', 'more', 'much', 'name', 'one', 'ontario', 'outside', 'pay', 'policy', 'rented', 'section', 'someone', 'sue', 'than', 'there', 'this', 'under', 'we', 'we', 'what', 'who', 'will', 'you']","['18', '18', '18', '18', '18', '19', '20', '20', '20', '3', 'and', 'automobil', 'cover', 'cover', 'coverag', 'how', 'if', 'if', 'insur', 'introduct', 'is', 'is', 'leas', 'liabil', 'more', 'much', 'name', 'one', 'ontario', 'outsid', 'pay', 'polici', 'rent', 'section', 'someon', 'sue', 'than', 'there', 'this', 'under', 'we', 'we', 'what', 'who', 'will', 'you']"
