paragraph,stemmed,tokenized,stemmed_and_tokenized
"Please read your policy Part of the policy is a page marked
“Coverage Selections” It shows the types and amounts of
coverage you have purchased As you read the policy check the
Coverage Selections Page to make sure it shows exactly what
you intended to buy If there is any question call your agent or
company right away
This policy form has been approved by the Commissioner of
Insurance",pleas read your polici part of the polici is a page mark “coverag selections” it show the type and amount of coverag you have purchas as you read the polici check the coverag select page to make sure it show exact what you intend to buy if there is ani question call your agent or compani right away this polici form has been approv by the commission of insur,"please read your policy part of the policy be a page mark 
 "" Coverage Selections "" it show the type and amount of 
 coverage you have purchase as you read the policy check the 
 Coverage Selections Page to make sure it show exactly what 
 you intend to buy if there be any question call your agent or 
 company right away 
 this policy form have be approve by the Commissioner of 
 insurance","plea read your polici part of the polici be a page mark "" coverag selection "" it show the type and amount of coverag you have purcha as you read the polici check the coverag select page to make sure it show exact what you intend to buy if there be ani question call your agent or compani right away this polici form have be approv by the commission of insur"
"Compulsory Insurance
Part 1
Bodily Injury To Others 4
Part 2
Personal Injury Protection  5
Part 3
Bodily Injury Caused By An Uninsured Auto  7
Part 4
Damage To Someone Else’s Property  10
Optional Insurance
Part 5
Optional Bodily Injury To Others  13
Part 6
Medical Payments 15
Part 7
Collision 16
Part 8
Limited Collision  17
Part 9
Comprehensive  19
Part 10 Substitute Transportation  20
Part 11 Towing And Labor  21
Part 12 Bodily Injury Caused By An Underinsured Auto  21
General Provisions And Exclusions",compulsori insur part 1 bodili injuri to other 4 part 2 person injuri protect 5 part 3 bodili injuri caus by an uninsur auto 7 part 4 damag to someon els properti 10 option insur part 5 option bodili injuri to other 13 part 6 medic payment 15 part 7 collis 16 part 8 limit collis 17 part 9 comprehens 19 part 10 substitut transport 20 part 11 tow and labor 21 part 12 bodili injuri caus by an underinsur auto 21 general provis and exclus,"Compulsory Insurance 
 part 1 
 Bodily Injury to Others 4 
 part 2 
 Personal Injury Protection   5 
 part 3 
 Bodily Injury cause by an Uninsured Auto   7 
 part 4 
 damage to someone Else ’s property   10 
 Optional Insurance 
 part 5 
 Optional Bodily Injury to Others   13 
 part 6 
 Medical Payments 15 
 part 7 
 collision 16 
 part 8 
 Limited Collision   17 
 part 9 
 Comprehensive   19 
 Part 10 Substitute Transportation   20 
 part 11 Towing and Labor   21 
 part 12 Bodily Injury cause by an Underinsured Auto   21 
 General Provisions and Exclusions",compulsori insur part 1 bodili injuri to other 4 part 2 person injuri protect 5 part 3 bodili injuri caus by an uninsur auto 7 part 4 damag to someon els properti 10 option insur part 5 option bodili injuri to other 13 part 6 medic payment 15 part 7 colli 16 part 8 limit colli 17 part 9 comprehen 19 part 10 substitut transport 20 part 11 tow and labor 21 part 12 bodili injuri caus by an underinsur auto 21 general provis and exclus
"This insurance policy is a legal contract between the policyowner
you and the company we or us It insures you and your auto for
the period shown on the Coverage Selections Page
As long as you pay your premium we agree to provide you or others
the benefits to which you or they are entitled The exact terms and
conditions are explained in the following pages
There are two basic categories of insurance described in this policy
Compulsory Insurance and Optional Insurance
Compulsory
Insurance",this insur polici is a legal contract between the policyown you and the compani we or us it insur you and your auto for the period shown on the coverag select page as long as you pay your premium we agre to provid you or other the benefit to which you or they are entitl the exact term and condit are explain in the follow page there are two basic categori of insur describ in this polici compulsori insur and option insur compulsori insur,"this insurance policy be a legal contract between the policyowner 
 you and the company we or we it insure you and your auto for 
 the period show on the Coverage Selections Page 
 as long as you pay your premium we agree to provide you or other 
 the benefit to which you or they be entitle the exact term and 
 condition be explain in the follow page 
 there be two basic category of insurance describe in this policy 
 Compulsory Insurance and Optional Insurance 
 compulsory 
 insurance",this insur polici be a legal contract between the policyown you and the compani we or we it insur you and your auto for the period show on the coverag select page as long as you pay your premium we agre to provid you or other the benefit to which you or they be entitl the exact term and condit be explain in the follow page there be two basic categori of insur describ in this polici compulsori insur and option insur compulsori insur
"There are four Parts to Compulsory Insurance They are all required by law Every auto registered in Massachusetts must have
them",there are four part to compulsori insur they are all requir by law everi auto regist in massachusett must have them,"there be four part to Compulsory Insurance they be all require by law every auto register in Massachusetts must have 
 they",there be four part to compulsori insur they be all requir by law everi auto regist in massachusett must have they
"There are eight Parts to Optional Insurance Some of them extend
the coverage or the amounts of protection provided by Compulsory
Insurance Some of them provide protection not found in Compulsory
Insurance You do not have to buy any of these eight Parts if you do
not want to
Auto insurance claims arise in hundreds of different ways Autos are
sometimes stolen or damaged Accidents may injure people in your
auto people in other autos or pedestrians You may be responsible
for an accident or someone else may be An accident may happen in
Massachusetts or out of state Different situations require different
kinds of insurance
Please read the whole policy to see what kinds of insurance are
available to cover these different situations At the same time you
should check the Coverage Selections Page to make sure it correctly
indicates the coverages you purchased Each coverage you
purchased will show a premium charge next to it If no premium
charge is shown you do not have that coverage
Sometimes you and we will agree to change this policy The only way
that can be done is by an “Endorsement” added to the basic policy
form All endorsements must be in writing They then become part of
this policy
We are pleased to have you as a customer and hope you have a safe
and accidentfree year But if you need us we are here to help you If
you have an accident or loss or if someone sues you contact your
agent or us
Do the same if you have any questions or complaints If you think we
have treated you unfairly at any time you may contact the Division of
Insurance 617 5217777",there are eight part to option insur some of them extend the coverag or the amount of protect provid by compulsori insur some of them provid protect not found in compulsori insur you do not have to buy ani of these eight part if you do not want to auto insur claim aris in hundr of differ way auto are sometim stolen or damag accid may injur peopl in your auto peopl in other auto or pedestrian you may be respons for an accid or someon els may be an accid may happen in massachusett or out of state differ situat requir differ kind of insur pleas read the whole polici to see what kind of insur are avail to cover these differ situat at the same time you should check the coverag select page to make sure it correct indic the coverag you purchas each coverag you purchas will show a premium charg next to it if no premium charg is shown you do not have that coverag sometim you and we will agre to chang this polici the onli way that can be done is by an “endorsement” ad to the basic polici form all endors must be in write they then becom part of this polici we are pleas to have you as a custom and hope you have a safe and accidentfre year but if you need us we are here to help you if you have an accid or loss or if someon sue you contact your agent or us do the same if you have ani question or complaint if you think we have treat you unfair at ani time you may contact the divis of insur 617 5217777,"there be eight part to Optional Insurance some of they extend 
 the coverage or the amount of protection provide by Compulsory 
 Insurance some of they provide protection not find in Compulsory 
 Insurance you do not have to buy any of these eight part if you do 
 not want to 
 Auto insurance claim arise in hundred of different way auto be 
 sometimes steal or damage Accidents may injure people in your 
 auto people in other auto or pedestrian you may be responsible 
 for an accident or someone else may be an accident may happen in 
 Massachusetts or out of state different situation require different 
 kind of insurance 
 please read the whole policy to see what kind of insurance be 
 available to cover these different situation at the same time you 
 should check the Coverage Selections Page to make sure it correctly 
 indicate the coverage you purchase each coverage you 
 purchase will show a premium charge next to it if no premium 
 charge be show you do not have that coverage 
 sometimes you and we will agree to change this policy the only way 
 that can be do be by an "" Endorsement "" add to the basic policy 
 form all endorsement must be in writing they then become part of 
 this policy 
 we be pleased to have you as a customer and hope you have a safe 
 and accidentfree year but if you need we we be here to help you if 
 you have an accident or loss or if someone sue you contact your 
 agent or we 
 do the same if you have any question or complaint if you think we 
 have treat you unfairly at any time you may contact the Division of 
 Insurance 617 5217777","there be eight part to option insur some of they extend the coverag or the amount of protect provid by compulsori insur some of they provid protect not find in compulsori insur you do not have to buy ani of these eight part if you do not want to auto insur claim aris in hundr of differ way auto be sometim steal or damag accid may injur peopl in your auto peopl in other auto or pedestrian you may be respon for an accid or someon el may be an accid may happen in massachusett or out of state differ situat requir differ kind of insur plea read the whole polici to see what kind of insur be avail to cover these differ situat at the same time you should check the coverag select page to make sure it correct indic the coverag you purcha each coverag you purcha will show a premium charg next to it if no premium charg be show you do not have that coverag sometim you and we will agre to chang this polici the onli way that can be do be by an "" endorsement "" ad to the basic polici form all endor must be in write they then becom part of this polici we be plea to have you as a custom and hope you have a safe and accidentfre year but if you need we we be here to help you if you have an accid or loss or if someon sue you contact your agent or we do the same if you have ani question or complaint if you think we have treat you unfair at ani time you may contact the divis of insur 617 5217777"
"Definitions
Throughout this policy
1 We Us or Our – refers to the company issuing this policy
2 You or Your – refers to the persons named in Item 1 of the
Coverage Selections Page
3 Accident – means an unexpected unintended event that causes
bodily injury or property damage arising out of the owner ship
maintenance or use of an auto
4 Auto – means a land motor vehicle or trailer but does not include
A Any vehicle operated on rails or crawler treads
B Any vehicle or trailer while it is located for use as a residence
or premises We will consider such a vehicle to be an auto while it
is being used on public roads or for recreational use
C A farm tractor or other equipment designed for use principally
off public roads We will consider a tractor or other equipment to be
an auto while it is being used on public roads
D Any vehicle not subject to Massachusetts Motor Vehicle registration
such as a moped dirt bike minibike snowmobile or an allterrain
vehicle ATV
Other words and phrases are defined
They are in boldface when used
5 Your Auto – means
A The vehicle or vehicles described on the Coverage Selections Page
B Any auto while used as a temporary substitute for the described auto
while that auto is out of normal use because of a breakdown repair
servicing loss or destruction But the term “your auto” does not include
a substitute vehicle owned by you or your spouse
C A private passenger auto trailer motorcycle pickup truck van or
similar vehicle to which you take title or lease as a permanent replacement for a described auto or as an additional auto We provide
coverage for an additional auto only if you ask us to insure it within
seven days after you take title or the effective date of the lease
If a replacement or additional auto is a pickup truck van or similar
vehicle it must have a gross vehicle weight of less than 10000 pounds
and not be used for the delivery or transportation of goods or materials",definit throughout this polici 1 we us or our – refer to the compani issu this polici 2 you or your – refer to the person name in item 1 of the coverag select page 3 accid – mean an unexpect unintend event that caus bodili injuri or properti damag aris out of the owner ship mainten or use of an auto 4 auto – mean a land motor vehicl or trailer but doe not includ a ani vehicl oper on rail or crawler tread b ani vehicl or trailer while it is locat for use as a resid or premis we will consid such a vehicl to be an auto while it is be use on public road or for recreat use c a farm tractor or other equip design for use princip off public road we will consid a tractor or other equip to be an auto while it is be use on public road d ani vehicl not subject to massachusett motor vehicl registr such as a mope dirt bike minibik snowmobil or an allterrain vehicl atv other word and phrase are defin they are in boldfac when use 5 your auto – mean a the vehicl or vehicl describ on the coverag select page b ani auto while use as a temporari substitut for the describ auto while that auto is out of normal use becaus of a breakdown repair servic loss or destruct but the term “your auto” doe not includ a substitut vehicl own by you or your spous c a privat passeng auto trailer motorcycl pickup truck van or similar vehicl to which you take titl or leas as a perman replac for a describ auto or as an addit auto we provid coverag for an addit auto onli if you ask us to insur it within seven day after you take titl or the effect date of the leas if a replac or addit auto is a pickup truck van or similar vehicl it must have a gross vehicl weight of less than 10000 pound and not be use for the deliveri or transport of good or materi,"definition 
 throughout this policy 
 1 we Us or our – refer to the company issue this policy 
 2 you or your – refer to the person name in Item 1 of the 
 Coverage Selections Page 
 3 accident – mean an unexpected unintended event that cause 
 bodily injury or property damage arise out of the owner ship 
 maintenance or use of an auto 
 4 Auto – mean a land motor vehicle or trailer but do not include 
 A any vehicle operate on rail or crawler tread 
 b any vehicle or trailer while it be locate for use as a residence 
 or premise we will consider such a vehicle to be an auto while it 
 be be use on public road or for recreational use 
 c a farm tractor or other equipment design for use principally 
 off public road we will consider a tractor or other equipment to be 
 an auto while it be be use on public road 
 D any vehicle not subject to Massachusetts Motor Vehicle registration 
 such as a mope dirt bike minibike snowmobile or an allterrain 
 vehicle ATV 
 other word and phrase be define 
 they be in boldface when use 
 5 your auto – mean 
 a the vehicle or vehicle describe on the Coverage Selections Page 
 b any auto while use as a temporary substitute for the describe auto 
 while that auto be out of normal use because of a breakdown repair 
 servicing loss or destruction but the term "" your auto "" do not include 
 a substitute vehicle own by you or your spouse 
 C a private passenger auto trailer motorcycle pickup truck van or 
 similar vehicle to which you take title or lease as a permanent replacement for a describe auto or as an additional auto we provide 
 coverage for an additional auto only if you ask we to insure it within 
 seven day after you take title or the effective date of the lease 
 if a replacement or additional auto be a pickup truck van or similar 
 vehicle it must have a gross vehicle weight of less than 10000 pound 
 and not be use for the delivery or transportation of good or material","definit throughout this polici 1 we we or our – refer to the compani issu this polici 2 you or your – refer to the person name in item 1 of the coverag select page 3 accid – mean an unexpect unintend event that caus bodili injuri or properti damag aris out of the owner ship mainten or use of an auto 4 auto – mean a land motor vehicl or trailer but doe not includ a ani vehicl oper on rail or crawler tread b ani vehicl or trailer while it be locat for use as a resid or premis we will consid such a vehicl to be an auto while it be be use on public road or for recreat use c a farm tractor or other equip design for use princip off public road we will consid a tractor or other equip to be an auto while it be be use on public road d ani vehicl not subject to massachusett motor vehicl registr such as a mope dirt bike minibik snowmobil or an allterrain vehicl atv other word and phrase be defin they be in boldfac when use 5 your auto – mean a the vehicl or vehicl describ on the coverag select page b ani auto while use as a temporari substitut for the describ auto while that auto be out of normal use becaus of a breakdown repair servic loss or destruct but the term "" your auto "" doe not includ a substitut vehicl own by you or your spous c a privat passeng auto trailer motorcycl pickup truck van or similar vehicl to which you take titl or lea as a perman replac for a describ auto or as an addit auto we provid coverag for an addit auto onli if you ask we to insur it within seven day after you take titl or the effect date of the lea if a replac or addit auto be a pickup truck van or similar vehicl it must have a gross vehicl weight of less than 10000 pound and not be use for the deliveri or transport of good or materi"
"3
unless such use is incidental to your business of installing maintaining
or repairing furnishings or equipment
Under Parts 1 2 3 4 5 and 6 the term “your auto” also includes any
trailer not described on the Coverage Selections Page as covered under
those Parts
6 Trailer – means a vehicle designed to be pulled by a private
passenger auto motorcycle pickup truck van or similar vehicle and
designed for use on public roads This includes a farm wagon or a farm
implement
7 Occupying – means in upon entering into or getting out of
8 Collision – means the accidental upset of your auto or any physical
contact of your auto with another object
9 Household Member – means anyone living in your household
who is related to you by blood marriage or adoption This includes
wards stepchildren or foster children
10 Pedestrian – includes anyone incurring bodily injury as a
result of being struck by an auto in an accident and who is not
occupying an auto at the time of the accident",3 unless such use is incident to your busi of instal maintain or repair furnish or equip under part 1 2 3 4 5 and 6 the term “your auto” also includ ani trailer not describ on the coverag select page as cover under those part 6 trailer – mean a vehicl design to be pull by a privat passeng auto motorcycl pickup truck van or similar vehicl and design for use on public road this includ a farm wagon or a farm implement 7 occupi – mean in upon enter into or get out of 8 collis – mean the accident upset of your auto or ani physic contact of your auto with anoth object 9 household member – mean anyon live in your household who is relat to you by blood marriag or adopt this includ ward stepchildren or foster children 10 pedestrian – includ anyon incur bodili injuri as a result of be struck by an auto in an accid and who is not occupi an auto at the time of the accid,"3 
 unless such use be incidental to your business of instal maintain 
 or repair furnishing or equipment 
 under Parts 1 2 3 4 5 and 6 the term "" your auto "" also include any 
 trailer not describe on the Coverage Selections Page as cover under 
 those part 
 6 trailer – mean a vehicle design to be pull by a private 
 passenger auto motorcycle pickup truck van or similar vehicle and 
 design for use on public road this include a farm wagon or a farm 
 implement 
 7 Occupying – mean in upon enter into or get out of 
 8 collision – mean the accidental upset of your auto or any physical 
 contact of your auto with another object 
 9 Household Member – mean anyone live in your household 
 who be relate to you by blood marriage or adoption this include 
 ward stepchild or foster child 
 10 pedestrian – include anyone incur bodily injury as a 
 result of be strike by an auto in an accident and who be not 
 occupy an auto at the time of the accident","3 unless such use be incident to your busi of instal maintain or repair furnish or equip under part 1 2 3 4 5 and 6 the term "" your auto "" also includ ani trailer not describ on the coverag select page as cover under those part 6 trailer – mean a vehicl design to be pull by a privat passeng auto motorcycl pickup truck van or similar vehicl and design for use on public road this includ a farm wagon or a farm implement 7 occupi – mean in upon enter into or get out of 8 colli – mean the accident upset of your auto or ani physic contact of your auto with anoth object 9 household member – mean anyon live in your household who be relat to you by blood marriag or adopt this includ ward stepchild or foster child 10 pedestrian – includ anyon incur bodili injuri as a result of be strike by an auto in an accid and who be not occupi an auto at the time of the accid"
"Our Agreement
This policy is a legal contract under Massachusetts law Because
this is an auto policy it only covers accidents and losses which
result from the ownership maintenance or use of autos The exact
protection is determined by the coverages you purchased
We agree to provide the insurance protection you purchased for
accidents which happen while this policy is in force
You agree to pay premiums when due and to cooperate with us in
case of accidents or claims
Our contract consists of this policy the Coverage Selections Page
any endorsements agreed upon and your application for insurance
Oral promises or statements made by you or our agent are not part
of this policy
There are many laws of Massachusetts relating to automobile
insurance We and you must and do agree that when those laws
apply they are part of this policy",our agreement this polici is a legal contract under massachusett law becaus this is an auto polici it onli cover accid and loss which result from the ownership mainten or use of auto the exact protect is determin by the coverag you purchas we agre to provid the insur protect you purchas for accid which happen while this polici is in forc you agre to pay premium when due and to cooper with us in case of accid or claim our contract consist of this polici the coverag select page ani endors agre upon and your applic for insur oral promis or statement made by you or our agent are not part of this polici there are mani law of massachusett relat to automobil insur we and you must and do agre that when those law appli they are part of this polici,"our agreement 
 this policy be a legal contract under Massachusetts law because 
 this be an auto policy it only cover accident and loss which 
 result from the ownership maintenance or use of auto the exact 
 protection be determine by the coverage you purchase 
 we agree to provide the insurance protection you purchase for 
 accident which happen while this policy be in force 
 you agree to pay premium when due and to cooperate with we in 
 case of accident or claim 
 our contract consist of this policy the Coverage Selections Page 
 any endorsement agree upon and your application for insurance 
 oral promise or statement make by you or our agent be not part 
 of this policy 
 there be many law of Massachusetts relate to automobile 
 insurance we and you must and do agree that when those law 
 apply they be part of this policy",our agreement this polici be a legal contract under massachusett law becaus this be an auto polici it onli cover accid and loss which result from the ownership mainten or use of auto the exact protect be determin by the coverag you purcha we agre to provid the insur protect you purcha for accid which happen while this polici be in forc you agre to pay premium when due and to cooper with we in case of accid or claim our contract consist of this polici the coverag select page ani endor agre upon and your applic for insur oral promis or statement make by you or our agent be not part of this polici there be mani law of massachusett relat to automobil insur we and you must and do agre that when those law appli they be part of this polici
"Compulsory
Insurance
There are four Parts to Compulsory Insurance They are called
Compulsory Insurance because Massachusetts law requires you to
buy all of them before you can register your auto No law requires
you to buy more than this Compulsory Insurance However if you
have financed your auto the bank or finance company may legally
insist that you have some Optional Insurance as a condition of your
loan
The amount of your coverage and the cost of each Part is shown on
the Coverage Selections Page
Your Compulsory Insurance does not pay for any damage to your
auto no matter what happens to it",compulsori insur there are four part to compulsori insur they are call compulsori insur becaus massachusett law requir you to buy all of them befor you can regist your auto no law requir you to buy more than this compulsori insur howev if you have financ your auto the bank or financ compani may legal insist that you have some option insur as a condit of your loan the amount of your coverag and the cost of each part is shown on the coverag select page your compulsori insur doe not pay for ani damag to your auto no matter what happen to it,"compulsory 
 insurance 
 there be four part to Compulsory Insurance they be call 
 Compulsory Insurance because Massachusetts law require you to 
 buy all of they before you can register your auto no law require 
 you to buy more than this Compulsory Insurance however if you 
 have finance your auto the bank or finance company may legally 
 insist that you have some Optional Insurance as a condition of your 
 loan 
 the amount of your coverage and the cost of each part be show on 
 the Coverage Selections Page 
 Your Compulsory Insurance do not pay for any damage to your 
 auto no matter what happen to it",compulsori insur there be four part to compulsori insur they be call compulsori insur becaus massachusett law requir you to buy all of they befor you can regist your auto no law requir you to buy more than this compulsori insur howev if you have financ your auto the bank or financ compani may legal insist that you have some option insur as a condit of your loan the amount of your coverag and the cost of each part be show on the coverag select page your compulsori insur doe not pay for ani damag to your auto no matter what happen to it
"Under this Part we will pay damages to people injured or killed by
your auto in Massachusetts accidents The damages we will pay
are the amounts the injured person is entitled to collect for bodily
injury through a court judgment or settlement We will pay only if you
or someone else using your auto with your consent is legally
responsible for the accident The most we will pay for injuries to one
or more persons as a result of bodily injury to any one person in any
one accident is 20000 Subject to this 20000 limit the most we
will pay for injuries to two or more people as the result of bodily injury
to two or more people in any one accident is 40000 This is the
most we will pay as the result of a single accident no matter how many
autos or premiums are shown on the Coverage Selections Page
We will not pay
1 For injuries to guest occupants of your auto
2 For accidents outside of Massachusetts or in places in Massachusetts where the public has no right of access
3 For injuries to any employees of the legally responsible person if
they are entitled to Massachusetts workers’ compensation benefits
The law provides a special protection for anyone entitled to damages
under this Part We must pay their claims even if false statements
were made when applying for this policy or your auto registration We
must also pay even if you or the legally responsible person fails to
cooperate with us after the accident We will however be entitled to
reimbursement from the person who did not cooperate or who made
any false statements
If a claim is covered by us and also by another company authorized to
sell auto insurance in Massachusetts we will pay only our
proportionate share If someone covered under this Part is using an
auto he or she does not own at the time of the accident the owner’s",under this part we will pay damag to peopl injur or kill by your auto in massachusett accid the damag we will pay are the amount the injur person is entitl to collect for bodili injuri through a court judgment or settlement we will pay onli if you or someon els use your auto with your consent is legal respons for the accid the most we will pay for injuri to one or more person as a result of bodili injuri to ani one person in ani one accid is 20000 subject to this 20000 limit the most we will pay for injuri to two or more peopl as the result of bodili injuri to two or more peopl in ani one accid is 40000 this is the most we will pay as the result of a singl accid no matter how mani auto or premium are shown on the coverag select page we will not pay 1 for injuri to guest occup of your auto 2 for accid outsid of massachusett or in place in massachusett where the public has no right of access 3 for injuri to ani employe of the legal respons person if they are entitl to massachusett worker compens benefit the law provid a special protect for anyon entitl to damag under this part we must pay their claim even if fals statement were made when appli for this polici or your auto registr we must also pay even if you or the legal respons person fail to cooper with us after the accid we will howev be entitl to reimburs from the person who did not cooper or who made ani fals statement if a claim is cover by us and also by anoth compani author to sell auto insur in massachusett we will pay onli our proportion share if someon cover under this part is use an auto he or she doe not own at the time of the accid the owner,"under this part we will pay damage to people injure or kill by 
 your auto in Massachusetts accident the damage we will pay 
 be the amount the injure person be entitle to collect for bodily 
 injury through a court judgment or settlement we will pay only if you 
 or someone else use your auto with your consent be legally 
 responsible for the accident the most we will pay for injury to one 
 or more person as a result of bodily injury to any one person in any 
 one accident be 20000 Subject to this 20000 limit the most we 
 will pay for injury to two or more people as the result of bodily injury 
 to two or more people in any one accident be 40000 this be the 
 most we will pay as the result of a single accident no matter how many 
 auto or premium be show on the Coverage Selections Page 
 we will not pay 
 1 for injury to guest occupant of your auto 
 2 for accident outside of Massachusetts or in place in Massachusetts where the public have no right of access 
 3 for injury to any employee of the legally responsible person if 
 they be entitle to Massachusetts worker ’ compensation benefit 
 the law provide a special protection for anyone entitle to damage 
 under this part we must pay their claim even if false statement 
 be make when apply for this policy or your auto registration we 
 must also pay even if you or the legally responsible person fail to 
 cooperate with we after the accident we will however be entitle to 
 reimbursement from the person who do not cooperate or who make 
 any false statement 
 if a claim be cover by we and also by another company authorize to 
 sell auto insurance in Massachusetts we will pay only our 
 proportionate share if someone cover under this part be use an 
 auto he or she do not own at the time of the accident the owner ’s",under this part we will pay damag to peopl injur or kill by your auto in massachusett accid the damag we will pay be the amount the injur person be entitl to collect for bodili injuri through a court judgment or settlement we will pay onli if you or someon el use your auto with your consent be legal respon for the accid the most we will pay for injuri to one or more person as a result of bodili injuri to ani one person in ani one accid be 20000 subject to this 20000 limit the most we will pay for injuri to two or more peopl as the result of bodili injuri to two or more peopl in ani one accid be 40000 this be the most we will pay as the result of a singl accid no matter how mani auto or premium be show on the coverag select page we will not pay 1 for injuri to guest occup of your auto 2 for accid outsid of massachusett or in place in massachusett where the public have no right of access 3 for injuri to ani employe of the legal respon person if they be entitl to massachusett worker compen benefit the law provid a special protect for anyon entitl to damag under this part we must pay their claim even if fal statement be make when appli for this polici or your auto registr we must also pay even if you or the legal respon person fail to cooper with we after the accid we will howev be entitl to reimbur from the person who do not cooper or who make ani fal statement if a claim be cover by we and also by anoth compani author to sell auto insur in massachusett we will pay onli our proportion share if someon cover under this part be use an auto he or she doe not own at the time of the accid the owner
