paragraph,stemmed,tokenized,stemmed_and_tokenized
"General 2
When And Where The Policy Applies  2
Changes 2
Duty To Report Autos 2
Combining Limits Of Two Or More Autos
Prohibited 2
Transfer 2
Cancellation 2

Part 1 Automobile Liability Insurance
Coverages AA and BB  3
Insuring Agreement 3
Additional Payments Allstate Will Make  3
Insured Persons 4
Insured Autos 4
Definitions 4

Exclusions
What is not covered  4
Financial Responsibility 5
Limits Of Liability 5
If There Is Other Insurance 5
Assistance And Cooperation 5
Action Against Allstate 6
What To Do In Case Of An Auto Accident Or Claim 6
Part 2  Automobile Medical Payments
Coverage CC  6
Insuring Agreement 6
Insured Persons 6
Insured Autos 6
Definitions 7
Exclusions  What is not covered  7
Limits Of Liability 7
Unreasonable of Unnecessary Medical Expenses  8
If There Is Other Insurance 8
Assistance And Cooperation 8
Action Against Allstate 8
Proof Of Claim Medical Reports  8
Part 3  Automobile Death Indemnity Insurance
Coverage CM  8
Insuring Agreement 8
Insured Persons 8
Definitions 9
Exclusions  What is not covered  9",general 2 when and where the polici appli 2 chang 2 duti to report auto 2 combin limit of two or more auto prohibit 2 transfer 2 cancel 2 part 1 automobil liabil insur coverag aa and bb 3 insur agreement 3 addit payment allstat will make 3 insur person 4 insur auto 4 definit 4 exclus what is not cover 4 financi respons 5 limit of liabil 5 if there is other insur 5 assist and cooper 5 action against allstat 6 what to do in case of an auto accid or claim 6 part 2 automobil medic payment coverag cc 6 insur agreement 6 insur person 6 insur auto 6 definit 7 exclus what is not cover 7 limit of liabil 7 unreason of unnecessari medic expens 8 if there is other insur 8 assist and cooper 8 action against allstat 8 proof of claim medic report 8 part 3 automobil death indemn insur coverag cm 8 insur agreement 8 insur person 8 definit 9 exclus what is not cover 9,"General 2 
 when and where the Policy Applies   2 
 change 2 
 duty to report Autos 2 
 combine limit of two or More auto 
 prohibit 2 
 transfer 2 
 Cancellation 2 

 Part 1 Automobile Liability Insurance 
 Coverages AA and BB   3 
 Insuring Agreement 3 
 additional payment Allstate will make   3 
 Insured Persons 4 
 insured Autos 4 
 definition 4 

 exclusion 
 what be not cover   4 
 Financial Responsibility 5 
 Limits of Liability 5 
 if there be Other Insurance 5 
 Assistance and Cooperation 5 
 Action against Allstate 6 
 what to do in case of an Auto Accident or claim 6 
 Part 2   Automobile Medical Payments 
 Coverage CC   6 
 Insuring Agreement 6 
 Insured Persons 6 
 insured Autos 6 
 definition 7 
 Exclusions   what be not cover   7 
 Limits of Liability 7 
 Unreasonable of Unnecessary Medical Expenses   8 
 if there be Other Insurance 8 
 Assistance and Cooperation 8 
 Action against Allstate 8 
 proof of Claim Medical Reports   8 
 part 3   Automobile Death Indemnity Insurance 
 Coverage CM   8 
 Insuring Agreement 8 
 Insured Persons 8 
 definition 9 
 Exclusions   what be not cover   9",general 2 when and where the polici appli 2 chang 2 duti to report auto 2 combin limit of two or more auto prohibit 2 transfer 2 cancel 2 part 1 automobil liabil insur coverag aa and bb 3 insur agreement 3 addit payment allstat will make 3 insur person 4 insur auto 4 definit 4 exclus what be not cover 4 financi respon 5 limit of liabil 5 if there be other insur 5 assist and cooper 5 action against allstat 6 what to do in case of an auto accid or claim 6 part 2 automobil medic payment coverag cc 6 insur agreement 6 insur person 6 insur auto 6 definit 7 exclus what be not cover 7 limit of liabil 7 unreason of unnecessari medic expen 8 if there be other insur 8 assist and cooper 8 action against allstat 8 proof of claim medic report 8 part 3 automobil death indemn insur coverag cm 8 insur agreement 8 insur person 8 definit 9 exclus what be not cover 9
"Payment Of Benefits Autopsy 9
Consent Of Beneficiary 9
Proof of Claim Medical Reports  9

Part 4 Automobile Disability Income Protection
Coverage CW  9
Insuring Agreement 9
Insured Persons 9
Definitions 9

Exclusions
What is not covered  9
To Whom And When Payment Is Made  10
Proof Of Claim Medical Reports  10

Part 5 Uninsured Motorists Insurance
Coverage SS  10
Insuring Agreement 10
Insured Persons 10
Definitions 11

Exclusions
What is not covered  11
Limits Of Liability 11
If There Is Other Insurance 12
Proof Of Claim Medical Reports  12
Assistance And Cooperation 12
Trust Agreement 12
Payment Of Loss By Allstate 12
Action Against Allstate 12
If We Cannot Agree 13

Part 6 Protection Against Loss To The Auto
Coverages DD DE HH HE HF HG
JJ UU ZA ZZ  13
Insuring Agreements For Each Coverage  13
Additional Payments Allstate Will Make  14
Insured Autos 15
Definitions 15

Exclusions
What is not covered  16
Right To Appraisal 16
Payment Of Loss By Allstate 16
Limits Of Liability 17
If There Is Other Insurance 17
Action Against Allstate 17
Subrogation Rights 17
What You Must Do If There Is A Loss  17",payment of benefit autopsi 9 consent of beneficiari 9 proof of claim medic report 9 part 4 automobil disabl incom protect coverag cw 9 insur agreement 9 insur person 9 definit 9 exclus what is not cover 9 to whom and when payment is made 10 proof of claim medic report 10 part 5 uninsur motorist insur coverag ss 10 insur agreement 10 insur person 10 definit 11 exclus what is not cover 11 limit of liabil 11 if there is other insur 12 proof of claim medic report 12 assist and cooper 12 trust agreement 12 payment of loss by allstat 12 action against allstat 12 if we cannot agre 13 part 6 protect against loss to the auto coverag dd de hh he hf hg jj uu za zz 13 insur agreement for each coverag 13 addit payment allstat will make 14 insur auto 15 definit 15 exclus what is not cover 16 right to apprais 16 payment of loss by allstat 16 limit of liabil 17 if there is other insur 17 action against allstat 17 subrog right 17 what you must do if there is a loss 17,"payment of Benefits Autopsy 9 
 Consent of Beneficiary 9 
 proof of Claim Medical Reports   9 

 Part 4 Automobile Disability Income Protection 
 Coverage CW   9 
 Insuring Agreement 9 
 Insured Persons 9 
 definition 9 

 exclusion 
 what be not cover   9 
 to whom and when payment be make   10 
 proof of Claim Medical Reports   10 

 Part 5 Uninsured Motorists Insurance 
 Coverage SS   10 
 Insuring Agreement 10 
 Insured Persons 10 
 definition 11 

 exclusion 
 what be not cover   11 
 Limits of Liability 11 
 if there be Other Insurance 12 
 proof of Claim Medical Reports   12 
 Assistance and Cooperation 12 
 Trust Agreement 12 
 payment of loss by Allstate 12 
 Action against Allstate 12 
 if we can not agree 13 

 part 6 protection against Loss to the Auto 
 Coverages DD DE hh HE HF HG 
 jj UU ZA ZZ   13 
 Insuring agreement for Each Coverage   13 
 additional payment Allstate will make   14 
 insured Autos 15 
 definition 15 

 exclusion 
 what be not cover   16 
 Right to Appraisal 16 
 payment of loss by Allstate 16 
 Limits of Liability 17 
 if there be Other Insurance 17 
 Action against Allstate 17 
 Subrogation Rights 17 
 what you must do if there be a Loss   17",payment of benefit autopsi 9 consent of beneficiari 9 proof of claim medic report 9 part 4 automobil disabl incom protect coverag cw 9 insur agreement 9 insur person 9 definit 9 exclus what be not cover 9 to whom and when payment be make 10 proof of claim medic report 10 part 5 uninsur motorist insur coverag ss 10 insur agreement 10 insur person 10 definit 11 exclus what be not cover 11 limit of liabil 11 if there be other insur 12 proof of claim medic report 12 assist and cooper 12 trust agreement 12 payment of loss by allstat 12 action against allstat 12 if we can not agre 13 part 6 protect against loss to the auto coverag dd de hh he hf hg jj uu za zz 13 insur agreement for each coverag 13 addit payment allstat will make 14 insur auto 15 definit 15 exclus what be not cover 16 right to apprais 16 payment of loss by allstat 16 limit of liabil 17 if there be other insur 17 action against allstat 17 subrog right 17 what you must do if there be a loss 17
"This policy is a legal contract between you and us
A coverage applies only when a premium for it is
shown on the Policy Declarations If more than one
auto is insured premiums will be shown for each
auto If you pay the premiums when due and comply
with the policy terms Allstate relying on the
information you have given us makes the following
agreements with you",this polici is a legal contract between you and us a coverag appli onli when a premium for it is shown on the polici declar if more than one auto is insur premium will be shown for each auto if you pay the premium when due and compli with the polici term allstat reli on the inform you have given us make the follow agreement with you,"this policy be a legal contract between you and we 
 a coverage apply only when a premium for it be 
 show on the Policy Declarations if more than one 
 auto be insure premium will be show for each 
 auto if you pay the premium when due and comply 
 with the policy term Allstate rely on the 
 information you have give we make the follow 
 agreement with you",this polici be a legal contract between you and we a coverag appli onli when a premium for it be show on the polici declar if more than one auto be insur premium will be show for each auto if you pay the premium when due and compli with the polici term allstat reli on the inform you have give we make the follow agreement with you
"Your policy applies only during the policy period
During this time it applies to losses to the auto
accidents and occurrences within the United States
of America its territories or possessions or Canada
or between their ports The policy period is shown
on the Policy Declarations",your polici appli onli dure the polici period dure this time it appli to loss to the auto accid and occurr within the unit state of america it territori or possess or canada or between their port the polici period is shown on the polici declar,"your policy apply only during the policy period 
 during this time it apply to loss to the auto 
 accident and occurrence within the United States 
 of America its territory or possession or Canada 
 or between their port the policy period be show 
 on the Policy declaration",your polici appli onli dure the polici period dure this time it appli to loss to the auto accid and occurr within the unit state of america it territori or possess or canada or between their port the polici period be show on the polici declar
"Changes
Premium Changes
The premium for each auto is based on information
Allstate has received from you or other sources
You agree to cooperate with us in determining if this
information is correct if it is complete and if it
changes during the policy period You agree that if
this information changes or is incorrect or
incomplete we may adjust your premium
accordingly during the policy period
Changes which result in a premium adjustment are
contained in our rules These include but are not
limited to
1 autos insured by the policy including changes
in use",chang premium chang the premium for each auto is base on inform allstat has receiv from you or other sourc you agre to cooper with us in determin if this inform is correct if it is complet and if it chang dure the polici period you agre that if this inform chang or is incorrect or incomplet we may adjust your premium accord dure the polici period chang which result in a premium adjust are contain in our rule these includ but are not limit to 1 auto insur by the polici includ chang in use,"change 
 Premium Changes 
 the premium for each auto be base on information 
 Allstate have receive from you or other source 
 you agree to cooperate with we in determine if this 
 information be correct if it be complete and if it 
 change during the policy period you agree that if 
 this information change or be incorrect or 
 incomplete we may adjust your premium 
 accordingly during the policy period 
 change which result in a premium adjustment be 
 contain in our rule these include but be not 
 limited to 
 1 auto insure by the policy include change 
 in use",chang premium chang the premium for each auto be base on inform allstat have receiv from you or other sourc you agre to cooper with we in determin if this inform be correct if it be complet and if it chang dure the polici period you agre that if this inform chang or be incorrect or incomplet we may adjust your premium accord dure the polici period chang which result in a premium adjust be contain in our rule these includ but be not limit to 1 auto insur by the polici includ chang in use
"Coverage Changes
When Allstate broadens a coverage during the policy
period without additional charge you have the new
feature if you have the coverage to which it applies
The new feature applies on the date the coverage
change is effective in your state Otherwise the
policy can be changed only by endorsement Any
change in your coverage will be made using the
rules rates and forms in effect and on file if required
for our use in your state",coverag chang when allstat broaden a coverag dure the polici period without addit charg you have the new featur if you have the coverag to which it appli the new featur appli on the date the coverag chang is effect in your state otherwis the polici can be chang onli by endors ani chang in your coverag will be made use the rule rate and form in effect and on file if requir for our use in your state,"coverage Changes 
 when Allstate broaden a coverage during the policy 
 period without additional charge you have the new 
 feature if you have the coverage to which it apply 
 the new feature apply on the date the coverage 
 change be effective in your state otherwise the 
 policy can be change only by endorsement any 
 change in your coverage will be make use the 
 rule rate and form in effect and on file if require 
 for our use in your state",coverag chang when allstat broaden a coverag dure the polici period without addit charg you have the new featur if you have the coverag to which it appli the new featur appli on the date the coverag chang be effect in your state otherwis the polici can be chang onli by endor ani chang in your coverag will be make use the rule rate and form in effect and on file if requir for our use in your state
"Duty To Report Autos
You must tell us within 60 days when you acquire an
additional or replacement auto If you don’t certain
coverages of this policy may not apply",duti to report auto you must tell us within 60 day when you acquir an addit or replac auto if you don't certain coverag of this polici may not appli,"duty to report auto 
 you must tell we within 60 day when you acquire an 
 additional or replacement auto if you do not certain 
 coverage of this policy may not apply",duti to report auto you must tell we within 60 day when you acquir an addit or replac auto if you do not certain coverag of this polici may not appli
"COMBINING LIMITS OF TWO OR MORE
AUTOS PROHIBITED
IF YOU HAVE TWO OR MORE AUTOS INSURED IN
YOUR NAME AND ONE OF THESE AUTOS IS
INVOLVED IN AN ACCIDENT ONLY THE COVERAGE
LIMITS SHOWN ON THE POLICY DECLARATIONS
FOR THAT AUTO WILL APPLY WHEN YOU HAVE
TWO OR MORE AUTOS INSURED IN YOUR NAME
AND NONE OF THEM IS INVOLVED IN THE
ACCIDENT YOU MAY CHOOSE ANY SINGLE AUTO
SHOWN ON THE POLICY DECLARATIONS AND THE
COVERAGE LIMITS APPLICABLE TO THAT AUTO
WILL APPLY",combin limit of two or more auto prohibit if you have two or more auto insur in your name and one of these auto is involv in an accid onli the coverag limit shown on the polici declar for that auto will appli when you have two or more auto insur in your name and none of them is involv in the accid you may choos ani singl auto shown on the polici declar and the coverag limit applic to that auto will appli,"combine limit of two or MORE 
 auto prohibit 
 if you have two or MORE auto insure in 
 your name and one of these auto be 
 involve in an accident only the coverage 
 limit shown on the POLICY declaration 
 for that auto will apply when you have 
 two or MORE auto insure in your name 
 and none of they be involve in the 
 accident you may choose any single AUTO 
 SHOWN on the POLICY DECLARATIONS and the 
 COVERAGE limit applicable to that auto 
 will apply",combin limit of two or more auto prohibit if you have two or more auto insur in your name and one of these auto be involv in an accid onli the coverag limit show on the polici declar for that auto will appli when you have two or more auto insur in your name and none of they be involv in the accid you may choos ani singl auto show on the polici declar and the coverag limit applic to that auto will appli
"THE LIMITS AVAILABLE FOR ANY OTHER AUTO
COVERED BY THE POLICY WILL NOT BE ADDED TO
THE COVERAGE FOR THE INVOLVED OR CHOSEN
AUTO",the limit avail for ani other auto cover by the polici will not be ad to the coverag for the involv or chosen auto,"the limit available for any other auto 
 covered by the POLICY will not be added to 
 the coverage for the INVOLVED or choose 
 auto",the limit avail for ani other auto cover by the polici will not be ad to the coverag for the involv or choose auto
"This policy can’t be transferred to anyone without our
written consent However if you die coverage will
be provided until the end of the policy period for
1 your legal representative while acting as such
and",this polici can't be transfer to anyon without our written consent howev if you die coverag will be provid until the end of the polici period for 1 your legal repres while act as such and,"this policy can not be transfer to anyone without our 
 write consent however if you die coverage will 
 be provide until the end of the policy period for 
 1 your legal representative while act as such 
 and",this polici can not be transfer to anyon without our write consent howev if you die coverag will be provid until the end of the polici period for 1 your legal repre while act as such and
