paragraph,stemmed,tokenized,stemmed_and_tokenized
"SAMPLE
Business Auto Coverage Form  CA 00 01 03 10
Policy Amendments Commercial Business Auto Coverage Form
Various provisions in this policy restrict coverage
Read the entire policy carefully to determine rights
duties and what is and is not covered
Throughout this policy the words you and your refer
to the Named Insured shown in the Declarations The
words we us and our refer to the company providing
this insurance",sampl busi auto coverag form ca 00 01 03 10 polici amend commerci busi auto coverag form various provis in this polici restrict coverag read the entir polici care to determin right duti and what is and is not cover throughout this polici the word you and your refer to the name insur shown in the declar the word we us and our refer to the compani provid this insur,"SAMPLE 
 Business Auto Coverage Form   CA 00 01 03 10 
 Policy Amendments Commercial Business Auto Coverage Form 
 various provision in this policy restrict coverage 
 read the entire policy carefully to determine right 
 duty and what be and be not cover 
 throughout this policy the word you and your refer 
 to the Named Insured show in the Declarations the 
 word we we and our refer to the company provide 
 this insurance",sampl busi auto coverag form can 00 01 03 10 polici amend commerci busi auto coverag form various provis in this polici restrict coverag read the entir polici care to determin right duti and what be and be not cover throughout this polici the word you and your refer to the name insur show in the declar the word we we and our refer to the compani provid this insur
"private passenger type and for Liability Coverage any trailers you don’t own while attached to power units you own
This
includes those autos not of the private passenger type you acquire ownership of after the
policy begins
5",privat passeng type and for liabil coverag ani trailer you don't own while attach to power unit you own this includ those auto not of the privat passeng type you acquir ownership of after the polici begin 5,"private passenger type and for Liability Coverage any trailer you do not own while attach to power unit you own 
 this 
 include those auto not of the private passenger type you acquire ownership of after the 
 policy begin 
 5",privat passeng type and for liabil coverag ani trailer you do not own while attach to power unit you own this includ those auto not of the privat passeng type you acquir ownership of after the polici begin 5
"=
OWNED AUTOS SUBJECT TO
NOFAULT Only those autos you own that
are required to have nofault benefits in the
state where they are licensed or principally
garaged This includes those autos you acquire ownership of after the policy begins
provided they are required to have nofault
benefits in the state where they are licensed
or principally garaged",= own auto subject to nofault onli those auto you own that are requir to have nofault benefit in the state where they are licens or princip garag this includ those auto you acquir ownership of after the polici begin provid they are requir to have nofault benefit in the state where they are licens or princip garag,"= 
 OWNED auto subject to 
 NOFAULT only those auto you own that 
 be require to have nofault benefit in the 
 state where they be license or principally 
 garage this include those auto you acquire ownership of after the policy begin 
 provide they be require to have nofault 
 benefit in the state where they be license 
 or principally garage",= own auto subject to nofault onli those auto you own that be requir to have nofault benefit in the state where they be licen or princip garag this includ those auto you acquir ownership of after the polici begin provid they be requir to have nofault benefit in the state where they be licen or princip garag
"= OWNED AUTOS SUBJECT TO A
COMPULSORY UNINSURED MOTORISTS LAW Only those autos you own that
because of the law in the state where they are
licensed or principally garaged are required to
have and cannot reject Uninsured Motorists
Coverage This includes those autos you acquire ownership of after the policy begins
provided they are subject to the same state
uninsured motorists requirement",= own auto subject to a compulsori uninsur motorist law onli those auto you own that becaus of the law in the state where they are licens or princip garag are requir to have and cannot reject uninsur motorist coverag this includ those auto you acquir ownership of after the polici begin provid they are subject to the same state uninsur motorist requir,"= OWNED auto subject to a 
 COMPULSORY uninsured motorists law only those auto you own that 
 because of the law in the state where they be 
 license or principally garage be require to 
 have and can not reject Uninsured Motorists 
 Coverage this include those auto you acquire ownership of after the policy begin 
 provide they be subject to the same state 
 uninsured motorist requirement",= own auto subject to a compulsori uninsur motorist law onli those auto you own that becaus of the law in the state where they be licen or princip garag be requir to have and can not reject uninsur motorist coverag this includ those auto you acquir ownership of after the polici begin provid they be subject to the same state uninsur motorist requir
"= SPECIFICALLY DESCRIBED AUTOS
Only those autos described in Item Three of
the Declarations for which a premium charge
is shown and for Liability Coverage any
trailers you don’t own while attached to any
power unit described in Item Three",= specif describ auto onli those auto describ in item three of the declar for which a premium charg is shown and for liabil coverag ani trailer you don't own while attach to ani power unit describ in item three,"= SPECIFICALLY describe auto 
 only those auto describe in Item three of 
 the Declarations for which a premium charge 
 be show and for Liability Coverage any 
 trailer you do not own while attach to any 
 power unit describe in Item three",= specif describ auto onli those auto describ in item three of the declar for which a premium charg be show and for liabil coverag ani trailer you do not own while attach to ani power unit describ in item three
"= HIRED AUTOS ONLY Only those autos you lease hire rent or borrow This does
not include any auto you lease hire rent or
borrow from any of your employees  partners
if you are a partnership members if you are
a limited liability company or members of
their households but only while used in your
business or your personal affairs",= hire auto onli onli those auto you leas hire rent or borrow this doe not includ ani auto you leas hire rent or borrow from ani of your employe partner if you are a partnership member if you are a limit liabil compani or member of their household but onli while use in your busi or your person affair,"= HIRED auto only only those auto you lease hire rent or borrow this do 
 not include any auto you lease hire rent or 
 borrow from any of your employee   partner 
 if you be a partnership member if you be 
 a limited liability company or member of 
 their household but only while use in your 
 business or your personal affair",= hire auto onli onli those auto you lea hire rent or borrow this doe not includ ani auto you lea hire rent or borrow from ani of your employe partner if you be a partnership member if you be a limit liabil compani or member of their household but onli while use in your busi or your person affair
"Other words and phrases that appear in boldface have
special meaning Refer to Section V  Definitions
Section I  Covered Autos",other word and phrase that appear in boldfac have special mean refer to section v definit section i cover auto,"other word and phrase that appear in boldface have 
 special meaning Refer to Section V   Definitions 
 Section I   covered auto",other word and phrase that appear in boldfac have special mean refer to section v definit section I cover auto
"Item Two of the Declarations shows the autos that are
covered autos for each of your coverages The following numerical symbols describe the autos that may be
covered autos The symbols entered next to a coverage
on the Declarations designate the only autos that are
covered autos
A Description of Covered Auto Designation Symbols
Symbol",item two of the declar show the auto that are cover auto for each of your coverag the follow numer symbol describ the auto that may be cover auto the symbol enter next to a coverag on the declar design the onli auto that are cover auto a descript of cover auto design symbol symbol,"item two of the Declarations show the auto that be 
 cover auto for each of your coverage the follow numerical symbol describe the auto that may be 
 cover auto the symbol enter next to a coverage 
 on the Declarations designate the only auto that be 
 cover auto 
 a description of Covered Auto Designation Symbols 
 symbol",item two of the declar show the auto that be cover auto for each of your coverag the follow numer symbol describ the auto that may be cover auto the symbol enter next to a coverag on the declar design the onli auto that be cover auto a descript of cover auto design symbol symbol
"= OWNED AUTOS ONLY Only those
autos you own and for Liability Coverage
any trailers you don’t own while attached to
power units you own This includes those
autos you acquire ownership of after the policy begins",= own auto onli onli those auto you own and for liabil coverag ani trailer you don't own while attach to power unit you own this includ those auto you acquir ownership of after the polici begin,"= OWNED auto only only those 
 auto you own and for Liability Coverage 
 any trailer you do not own while attach to 
 power unit you own this include those 
 auto you acquire ownership of after the policy begin",= own auto onli onli those auto you own and for liabil coverag ani trailer you do not own while attach to power unit you own this includ those auto you acquir ownership of after the polici begin
"AUTOS ONLY Only the private passenger
autos you own This includes those private
passenger autos you acquire ownership of af",auto onli onli the privat passeng auto you own this includ those privat passeng auto you acquir ownership of af,"auto only only the private passenger 
 auto you own this include those private 
 passenger auto you acquire ownership of af",auto onli onli the privat passeng auto you own this includ those privat passeng auto you acquir ownership of af
