paragraph,stemmed,tokenized,stemmed_and_tokenized
"DECLARATIONS PAGE
Your Name and Address
Your Auto or Trailer
Policy Period
Coverages and Amounts of Insurance
AGREEMENT
DEFINITIONS",declar page your name and address your auto or trailer polici period coverag and amount of insur agreement definit,"DECLARATIONS PAGE 
 your name and Address 
 your Auto or Trailer 
 Policy Period 
 Coverages and amount of Insurance 
 agreement 
 definition",declar page your name and address your auto or trailer polici period coverag and amount of insur agreement definit
"Insuring Agreement
Supplementary Payments
Exclusions
Limit of Liability
Out of State Coverage
Financial Responsibility
Other Insurance",insur agreement supplementari payment exclus limit of liabil out of state coverag financi respons other insur,"insure Agreement 
 Supplementary Payments 
 exclusion 
 Limit of Liability 
 out of State Coverage 
 Financial Responsibility 
 other insurance",insur agreement supplementari payment exclus limit of liabil out of state coverag financi respon other insur
"Insuring Agreement
Transportation Expenses
Exclusions
Limit of Liability
Payment of Loss
Loss Payable Clause
No Benefit to Bailee
Other Insurance
Appraisal",insur agreement transport expens exclus limit of liabil payment of loss loss payabl claus no benefit to baile other insur apprais,"insure Agreement 
 Transportation expense 
 exclusion 
 Limit of Liability 
 Payment of loss 
 Loss Payable clause 
 No benefit to bailee 
 other Insurance 
 appraisal",insur agreement transport expen exclus limit of liabil payment of loss loss payabl claus no benefit to baile other insur apprais
"General Duties
Additional Duties for Uninsured Motorists Coverage
Additional Duties for Collision and Comprehensive
Coverages",general duti addit duti for uninsur motorist coverag addit duti for collis and comprehens coverag,"General Duties 
 Additional Duties for Uninsured Motorists Coverage 
 additional Duties for Collision and Comprehensive 
 coverage",general duti addit duti for uninsur motorist coverag addit duti for colli and comprehens coverag
"Bankruptcy
Changes
Fraud
Legal Action Against Us
Our Right to Recover Payment
Policy Period and Territory
Termination
Transfer of your Interest in this Policy
Two or More Auto Policies",bankruptci chang fraud legal action against us our right to recov payment polici period and territori termin transfer of your interest in this polici two or more auto polici,"bankruptcy 
 change 
 fraud 
 Legal Action against Us 
 our right to Recover Payment 
 Policy Period and Territory 
 Termination 
 Transfer of your interest in this policy 
 two or More Auto policy",bankruptci chang fraud legal action against we our right to recov payment polici period and territori termin transfer of your interest in this polici two or more auto polici
"PERSONAL AUTO POLICY
Travelers Property Casualty Companies
Hartford Connecticut
Each a Stock Insurance Company",person auto polici travel properti casualti compani hartford connecticut each a stock insur compani,"PERSONAL AUTO POLICY 
 Travelers Property Casualty Companies 
 Hartford Connecticut 
 Each a Stock Insurance Company",person auto polici travel properti casualti compani hartford connecticut each a stock insur compani
"AGREEMENT
In return for payment of the premium and subject to all the terms of this policy we will provide the
coverages you have selected These are shown by premium entries in the Declarations The Declarations is a
part of this policy",agreement in return for payment of the premium and subject to all the term of this polici we will provid the coverag you have select these are shown by premium entri in the declar the declar is a part of this polici,"agreement 
 in return for payment of the premium and subject to all the term of this policy we will provide the 
 coverage you have select these be show by premium entry in the Declarations the Declarations be a 
 part of this policy",agreement in return for payment of the premium and subject to all the term of this polici we will provid the coverag you have select these be show by premium entri in the declar the declar be a part of this polici
"Trailer means a vehicle designed to be pulled
by a
1 Private passenger auto or
2 Pickup or van",trailer mean a vehicl design to be pull by a 1 privat passeng auto or 2 pickup or van,"trailer mean a vehicle design to be pull 
 by a 
 1 private passenger auto or 
 2 Pickup or van",trailer mean a vehicl design to be pull by a 1 privat passeng auto or 2 pickup or van
"C For purposes of this policy a private passenger
type auto shall be deemed to be owned by a
person if leased
1 Under a written agreement to that person
and
2 For a continuous period of at least 6
months",c for purpos of this polici a privat passeng type auto shall be deem to be own by a person if leas 1 under a written agreement to that person and 2 for a continu period of at least 6 month,"c for purpose of this policy a private passenger 
 type auto shall be deem to be own by a 
 person if lease 
 1 under a write agreement to that person 
 and 
 2 for a continuous period of at least 6 
 month",c for purpo of this polici a privat passeng type auto shall be deem to be own by a person if leas 1 under a write agreement to that person and 2 for a continu period of at least 6 month
"2 Any of the following types of vehicles on
the date you become the owner
a a private passenger auto or
b a pickup or van
This provision J2 applies only if
a you acquire the vehicle during the
policy period",2 ani of the follow type of vehicl on the date you becom the owner a a privat passeng auto or b a pickup or van this provis j2 appli onli if a you acquir the vehicl dure the polici period,"2 any of the follow type of vehicle on 
 the date you become the owner 
 a a private passenger auto or 
 b a pickup or van 
 this provision J2 apply only if 
 a you acquire the vehicle during the 
 policy period",2 ani of the follow type of vehicl on the date you becom the owner a a privat passeng auto or b a pickup or van this provi j2 appli onli if a you acquir the vehicl dure the polici period
"E Business includes trade profession or occupation
F Family member means a person related to
you by blood marriage or adoption who is a
resident of your household This includes a
ward or foster child
G Occupying means in upon getting in on out
or off
H Property damage means physical injury to
destruction of or loss of use of tangible property
PL6000 387",e busi includ trade profess or occup f famili member mean a person relat to you by blood marriag or adopt who is a resid of your household this includ a ward or foster child g occupi mean in upon get in on out or off h properti damag mean physic injuri to destruct of or loss of use of tangibl properti pl6000 387,"E Business include trade profession or occupation 
 F Family member mean a person relate to 
 you by blood marriage or adoption who be a 
 resident of your household this include a 
 ward or foster child 
 G Occupying mean in upon get in on out 
 or off 
 H Property damage mean physical injury to 
 destruction of or loss of use of tangible property 
 pl6000 387",e busi includ trade profess or occup f famili member mean a person relat to you by blood marriag or adopt who be a resid of your household this includ a ward or foster child g occupi mean in upon get in on out or off h properti damag mean physic injuri to destruct of or loss of use of tangibl properti pl6000 387
"If the vehicle you acquire replaces one
shown in the Declarations it will have the
same coverage as the vehicle it replaced
You must ask us to insure a replacement
vehicle within 30 days only if
a you wish to add or continue Damage to
Your Auto Coverages or
b it is a pickup or van used in any business other than farming or ranching",if the vehicl you acquir replac one shown in the declar it will have the same coverag as the vehicl it replac you must ask us to insur a replac vehicl within 30 day onli if a you wish to add or continu damag to your auto coverag or b it is a pickup or van use in ani busi other than farm or ranch,"if the vehicle you acquire replace one 
 show in the declaration it will have the 
 same coverage as the vehicle it replace 
 you must ask we to insure a replacement 
 vehicle within 30 day only if 
 a you wish to add or continue damage to 
 your Auto Coverages or 
 b it be a pickup or van use in any business other than farm or ranch",if the vehicl you acquir replac one show in the declar it will have the same coverag as the vehicl it replac you must ask we to insur a replac vehicl within 30 day onli if a you wish to add or continu damag to your auto coverag or b it be a pickup or van use in ani busi other than farm or ranch
