paragraph,stemmed,tokenized
"PERSONAL AUTO POLICY
AGREEMENT
In return for payment of the premium and subject to all the terms of this policy we agree with you as follows
DEFINITIONS
A Throughout this policy you and your refer to
1 The named insured shown in the Declarations and
2 The spouse if a resident of the same household
If the spouse ceases to be a resident of the same
household during the policy period or prior to the
inception of this policy the spouse will be considered you and your under this policy but only
until the earlier of
1 The end of 90 days following the spouses
change of residency
2 The effective date of another policy listing the
spouse as a named insured or
3 The end of the policy period
B We us and our refer to the Company providing this insurance
C For purposes of this policy a private passenger
type auto pickup or van shall be deemed to be
owned by a person if leased
1 Under a written agreement to that person and
2 For a continuous period of at least 6 months
Other words and phrases are defined They are in
quotation marks when used
D Bodily injury means bodily harm sickness or
disease including death that results
E Business includes trade profession or occupation
F Family member means a person related to you
by blood marriage or adoption who is a resident
of your household This includes a ward or foster
child
G Occupying means in upon getting in on out or
off
H Property damage means physical injury to destruction of or loss of use of tangible property
I Trailer means a vehicle designed to be pulled by
a
1 Private passenger auto or
2 Pickup or van
It also means a farm wagon or farm implement
while towed by a vehicle listed in 1 or 2 above
J Your covered auto means
1 Any vehicle shown in the Declarations
2 A newly acquired auto
PP 00 01 06 98",person auto polici agreement in return for payment of the premium and subject to all the term of this polici we agre with you as follow definit a throughout this polici you and your refer to 1 the name insur shown in the declar and 2 the spous if a resid of the same household if the spous ceas to be a resid of the same household dure the polici period or prior to the incept of this polici the spous will be consid you and your under this polici but onli until the earlier of 1 the end of 90 day follow the spous chang of resid 2 the effect date of anoth polici list the spous as a name insur or 3 the end of the polici period b we us and our refer to the compani provid this insur c for purpos of this polici a privat passeng type auto pickup or van shall be deem to be own by a person if leas 1 under a written agreement to that person and 2 for a continu period of at least 6 month other word and phrase are defin they are in quotat mark when use d bodili injuri mean bodili harm sick or diseas includ death that result e busi includ trade profess or occup f famili member mean a person relat to you by blood marriag or adopt who is a resid of your household this includ a ward or foster child g occupi mean in upon get in on out or off h properti damag mean physic injuri to destruct of or loss of use of tangibl properti i trailer mean a vehicl design to be pull by a 1 privat passeng auto or 2 pickup or van it also mean a farm wagon or farm implement while tow by a vehicl list in 1 or 2 abov j your cover auto mean 1 ani vehicl shown in the declar 2 a newli acquir auto pp 00 01 06 98,"PERSONAL AUTO POLICY 
 agreement 
 in return for payment of the premium and subject to all the term of this policy we agree with you as follow 
 definition 
 a throughout this policy you and your refer to 
 1 the name insure show in the Declarations and 
 2 the spouse if a resident of the same household 
 if the spouse cease to be a resident of the same 
 household during the policy period or prior to the 
 inception of this policy the spouse will be consider you and your under this policy but only 
 until the early of 
 1 the end of 90 day follow the spouse 
 change of residency 
 2 the effective date of another policy list the 
 spouse as a name insure or 
 3 the end of the policy period 
 b We we and our refer to the Company provide this insurance 
 c for purpose of this policy a private passenger 
 type auto pickup or van shall be deem to be 
 own by a person if lease 
 1 under a write agreement to that person and 
 2 for a continuous period of at least 6 month 
 other word and phrase be define they be in 
 quotation mark when use 
 d Bodily injury mean bodily harm sickness or 
 disease include death that result 
 E business include trade profession or occupation 
 F Family member mean a person relate to you 
 by blood marriage or adoption who be a resident 
 of your household this include a ward or foster 
 child 
 G Occupying mean in upon get in on out or 
 off 
 H property damage mean physical injury to destruction of or loss of use of tangible property 
 I Trailer mean a vehicle design to be pull by 
 a 
 1 private passenger auto or 
 2 Pickup or van 
 it also mean a farm wagon or farm implement 
 while tow by a vehicle list in 1 or 2 above 
 J your covered auto mean 
 1 any vehicle show in the declaration 
 2 a newly acquire auto 
 PP 00 01 06 98"
"3 Any trailer you own
4 Any auto or trailer you do not own while used
as a temporary substitute for any other vehicle
described in this definition which is out of normal use because of its
a Breakdown
b Repair
c Servicing
d Loss or
e Destruction
This Provision J4 does not apply to Coverage For Damage To Your Auto
K Newly acquired auto
1 Newly acquired auto means any of the following types of vehicles you become the owner of
during the policy period
a A private passenger auto or
b A pickup or van for which no other insurance policy provides coverage that
1 Has a Gross Vehicle Weight of less
than 10000 lbs and
2 Is not used for the delivery or transportation of goods and materials unless
such use is
a Incidental to your business of installing maintaining or repairing
furnishings or equipment or
b For farming or ranching
2 Coverage for a newly acquired auto is provided as described below If you ask us to insure a newly acquired auto after a specified
time period described below has elapsed any
coverage we provide for a newly acquired
auto will begin at the time you request the
coverage
a For any coverage provided in this policy
except Coverage For Damage To Your
Auto a newly acquired auto will have the
broadest coverage we now provide for any
vehicle shown in the Declarations Coverage begins on the date you become the
owner However for this coverage to apply
to a newly acquired auto which is in addition to any vehicle shown in the Declarations you must ask us to insure it within 14
days after you become the owner",3 ani trailer you own 4 ani auto or trailer you do not own while use as a temporari substitut for ani other vehicl describ in this definit which is out of normal use becaus of it a breakdown b repair c servic d loss or e destruct this provis j4 doe not appli to coverag for damag to your auto k newli acquir auto 1 newli acquir auto mean ani of the follow type of vehicl you becom the owner of dure the polici period a a privat passeng auto or b a pickup or van for which no other insur polici provid coverag that 1 has a gross vehicl weight of less than 10000 lbs and 2 is not use for the deliveri or transport of good and materi unless such use is a incident to your busi of instal maintain or repair furnish or equip or b for farm or ranch 2 coverag for a newli acquir auto is provid as describ below if you ask us to insur a newli acquir auto after a specifi time period describ below has elaps ani coverag we provid for a newli acquir auto will begin at the time you request the coverag a for ani coverag provid in this polici except coverag for damag to your auto a newli acquir auto will have the broadest coverag we now provid for ani vehicl shown in the declar coverag begin on the date you becom the owner howev for this coverag to appli to a newli acquir auto which is in addit to ani vehicl shown in the declar you must ask us to insur it within 14 day after you becom the owner,"3 any trailer you own 
 4 any auto or trailer you do not own while use 
 as a temporary substitute for any other vehicle 
 describe in this definition which be out of normal use because of its 
 a Breakdown 
 b Repair 
 c servicing 
 d loss or 
 e destruction 
 this provision J4 do not apply to coverage for damage to your Auto 
 K Newly acquire auto 
 1 newly acquire auto mean any of the follow type of vehicle you become the owner of 
 during the policy period 
 a a private passenger auto or 
 b a pickup or van for which no other insurance policy provide coverage that 
 1 have a Gross Vehicle Weight of less 
 than 10000 lb and 
 2 be not use for the delivery or transportation of good and material unless 
 such use be 
 a incidental to your business of instal maintain or repair 
 furnishing or equipment or 
 b for farm or ranch 
 2 Coverage for a newly acquire auto be provide as describe below if you ask we to insure a newly acquire auto after a specify 
 time period describe below have elapse any 
 coverage we provide for a newly acquire 
 auto will begin at the time you request the 
 coverage 
 a for any coverage provide in this policy 
 except Coverage for damage to your 
 Auto a newly acquire auto will have the 
 broad coverage we now provide for any 
 vehicle show in the Declarations Coverage begin on the date you become the 
 owner however for this coverage to apply 
 to a newly acquire auto which be in addition to any vehicle show in the declaration you must ask we to insure it within 14 
 day after you become the owner"
"If a newly acquired auto replaces a vehicle shown in the Declarations coverage is
provided for this vehicle without your having to ask us to insure it
b Collision Coverage for a newly acquired
auto begins on the date you become the
owner However for this coverage to apply
you must ask us to insure it within
1 14 days after you become the owner if
the Declarations indicate that Collision
Coverage applies to at least one auto
In this case the newly acquired auto
will have the broadest coverage we now
provide for any auto shown in the Declarations
2 Four days after you become the owner
if the Declarations do not indicate that
Collision Coverage applies to at least
one auto If you comply with the 4 day
requirement and a loss occurred before
you asked us to insure the newly acquired auto a Collision deductible of
500 will apply",if a newli acquir auto replac a vehicl shown in the declar coverag is provid for this vehicl without your have to ask us to insur it b collis coverag for a newli acquir auto begin on the date you becom the owner howev for this coverag to appli you must ask us to insur it within 1 14 day after you becom the owner if the declar indic that collis coverag appli to at least one auto in this case the newli acquir auto will have the broadest coverag we now provid for ani auto shown in the declar 2 four day after you becom the owner if the declar do not indic that collis coverag appli to at least one auto if you compli with the 4 day requir and a loss occur befor you ask us to insur the newli acquir auto a collis deduct of 500 will appli,"if a newly acquire auto replace a vehicle show in the Declarations coverage be 
 provide for this vehicle without your have to ask we to insure it 
 b Collision Coverage for a newly acquire 
 auto begin on the date you become the 
 owner however for this coverage to apply 
 you must ask we to insure it within 
 1 14 day after you become the owner if 
 the Declarations indicate that collision 
 Coverage apply to at least one auto 
 in this case the newly acquire auto 
 will have the broad coverage we now 
 provide for any auto show in the declaration 
 2 four day after you become the owner 
 if the Declarations do not indicate that 
 Collision Coverage apply to at least 
 one auto if you comply with the 4 day 
 requirement and a loss occur before 
 you ask we to insure the newly acquire auto a collision deductible of 
 500 will apply"
"c Other Than Collision Coverage for a newly
acquired auto begins on the date you become the owner However for this coverage to apply you must ask us to insure it
within
1 14 days after you become the owner if
the Declarations indicate that Other
Than Collision Coverage applies to at
least one auto In this case the newly
acquired auto will have the broadest
coverage we now provide for any auto
shown in the Declarations
2 Four days after you become the owner
if the Declarations do not indicate that
Other Than Collision Coverage applies
to at least one auto If you comply with
the 4 day requirement and a loss occurred before you asked us to insure the
newly acquired auto an Other Than
Collision deductible of 500 will apply",c other than collis coverag for a newli acquir auto begin on the date you becom the owner howev for this coverag to appli you must ask us to insur it within 1 14 day after you becom the owner if the declar indic that other than collis coverag appli to at least one auto in this case the newli acquir auto will have the broadest coverag we now provid for ani auto shown in the declar 2 four day after you becom the owner if the declar do not indic that other than collis coverag appli to at least one auto if you compli with the 4 day requir and a loss occur befor you ask us to insur the newli acquir auto an other than collis deduct of 500 will appli,"c other than Collision Coverage for a newly 
 acquire auto begin on the date you become the owner however for this coverage to apply you must ask we to insure it 
 within 
 1 14 day after you become the owner if 
 the Declarations indicate that other 
 than Collision Coverage apply to at 
 least one auto in this case the newly 
 acquire auto will have the broad 
 coverage we now provide for any auto 
 show in the declaration 
 2 four day after you become the owner 
 if the Declarations do not indicate that 
 other than Collision Coverage apply 
 to at least one auto if you comply with 
 the 4 day requirement and a loss occur before you ask we to insure the 
 newly acquire auto an other than 
 collision deductible of 500 will apply"
"PART A – LIABILITY COVERAGE
INSURING AGREEMENT
A We will pay damages for bodily injury or
property damage for which any insured becomes legally responsible because of an auto accident Damages include prejudgment interest
awarded against the insured We will settle or
defend as we consider appropriate any claim or
suit asking for these damages In addition to our
limit of liability we will pay all defense costs we
incur Our duty to settle or defend ends when our
limit of liability for this coverage has been exhausted by payment of judgments or settlements
We have no duty to defend any suit or settle any
claim for bodily injury or property damage not
covered under this policy
B Insured as used in this Part means
1 You or any family member for the ownership
maintenance or use of any auto or trailer
2 Any person using your covered auto
3 For your covered auto any person or organization but only with respect to legal responsibility for acts or omissions of a person for
whom coverage is afforded under this Part
4 For any auto or trailer other than your covered auto any other person or organization
but only with respect to legal responsibility for
acts or omissions of you or any family member for whom coverage is afforded under this
Part This Provision B4 applies only if the
person or organization does not own or hire the
auto or trailer",part a – liabil coverag insur agreement a we will pay damag for bodili injuri or properti damag for which ani insur becom legal respons becaus of an auto accid damag includ prejudg interest award against the insur we will settl or defend as we consid appropri ani claim or suit ask for these damag in addit to our limit of liabil we will pay all defens cost we incur our duti to settl or defend end when our limit of liabil for this coverag has been exhaust by payment of judgment or settlement we have no duti to defend ani suit or settl ani claim for bodili injuri or properti damag not cover under this polici b insur as use in this part mean 1 you or ani famili member for the ownership mainten or use of ani auto or trailer 2 ani person use your cover auto 3 for your cover auto ani person or organ but onli with respect to legal respons for act or omiss of a person for whom coverag is afford under this part 4 for ani auto or trailer other than your cover auto ani other person or organ but onli with respect to legal respons for act or omiss of you or ani famili member for whom coverag is afford under this part this provis b4 appli onli if the person or organ doe not own or hire the auto or trailer,"PART A – LIABILITY coverage 
 insuring agreement 
 a we will pay damage for bodily injury or 
 property damage for which any insure become legally responsible because of an auto accident damage include prejudgment interest 
 award against the insured we will settle or 
 defend as we consider appropriate any claim or 
 suit ask for these damage in addition to our 
 limit of liability we will pay all defense cost we 
 incur our duty to settle or defend end when our 
 limit of liability for this coverage have be exhaust by payment of judgment or settlement 
 we have no duty to defend any suit or settle any 
 claim for bodily injury or property damage not 
 cover under this policy 
 b insure as use in this part mean 
 1 you or any family member for the ownership 
 maintenance or use of any auto or trailer 
 2 any person use your covered auto 
 3 for your covered auto any person or organization but only with respect to legal responsibility for act or omission of a person for 
 whom coverage be afford under this part 
 4 for any auto or trailer other than your cover auto any other person or organization 
 but only with respect to legal responsibility for 
 act or omission of you or any family member for whom coverage be afford under this 
 Part this provision b4 apply only if the 
 person or organization do not own or hire the 
 auto or trailer"
"SUPPLEMENTARY PAYMENTS
In addition to our limit of liability we will pay on behalf of an insured
1 Up to 250 for the cost of bail bonds required
because of an accident including related traffic law violations The accident must result in
bodily injury or property damage covered
under this policy
2 Premiums on appeal bonds and bonds to release attachments in any suit we defend
3 Interest accruing after a judgment is entered in
any suit we defend Our duty to pay interest
ends when we offer to pay that part of the
judgment which does not exceed our limit of liability for this coverage
4 Up to 200 a day for loss of earnings but not
other income because of attendance at hearings or trials at our request
5 Other reasonable expenses incurred at our
request
EXCLUSIONS
A We do not provide Liability Coverage for any
insured
1 Who intentionally causes bodily injury or
property damage
2 For property damage to property owned or
being transported by that insured",supplementari payment in addit to our limit of liabil we will pay on behalf of an insur 1 up to 250 for the cost of bail bond requir becaus of an accid includ relat traffic law violat the accid must result in bodili injuri or properti damag cover under this polici 2 premium on appeal bond and bond to releas attach in ani suit we defend 3 interest accru after a judgment is enter in ani suit we defend our duti to pay interest end when we offer to pay that part of the judgment which doe not exceed our limit of liabil for this coverag 4 up to 200 a day for loss of earn but not other incom becaus of attend at hear or trial at our request 5 other reason expens incur at our request exclus a we do not provid liabil coverag for ani insur 1 who intent caus bodili injuri or properti damag 2 for properti damag to properti own or be transport by that insur,"SUPPLEMENTARY payment 
 in addition to our limit of liability we will pay on behalf of an insure 
 1 up to 250 for the cost of bail bond require 
 because of an accident include related traffic law violation the accident must result in 
 bodily injury or property damage cover 
 under this policy 
 2 premium on appeal bond and bond to release attachment in any suit we defend 
 3 interest accrue after a judgment be enter in 
 any suit we defend our duty to pay interest 
 end when we offer to pay that part of the 
 judgment which do not exceed our limit of liability for this coverage 
 4 up to 200 a day for loss of earning but not 
 other income because of attendance at hearing or trial at our request 
 5 other reasonable expense incur at our 
 request 
 exclusion 
 a we do not provide Liability Coverage for any 
 insure 
 1 who intentionally cause bodily injury or 
 property damage 
 2 for property damage to property own or 
 be transport by that insure"
"3 For property damage to property
a Rented to
b Used by or
c In the care of
that insured
This Exclusion A3 does not apply to
property damage to a residence or private
garage
4 For bodily injury to an employee of that
insured during the course of employment
This Exclusion A4 does not apply to bodily
injury to a domestic employee unless workers
compensation benefits are required or available for that domestic employee
5 For that insureds liability arising out of the
ownership or operation of a vehicle while it is
being used as a public or livery conveyance
This Exclusion A5 does not apply to a
sharetheexpense car pool
6 While employed or otherwise engaged in the
business of
a Selling
b Repairing
c Servicing
d Storing or
e Parking
vehicles designed for use mainly on public
highways This includes road testing and delivery This Exclusion A6 does not apply to the
ownership maintenance or use of your covered auto by
a You
b Any family member or
c Any partner agent or employee of you or
any family member
7 Maintaining or using any vehicle while that
insured is employed or otherwise engaged in
any business other than farming or ranching
not described in Exclusion A6
This Exclusion A7 does not apply to the
maintenance or use of a
a Private passenger auto
b Pickup or van or
c Trailer used with a vehicle described in a
or b above
8 Using a vehicle without a reasonable belief
that that insured is entitled to do so This
Exclusion A8 does not apply to a family
member using your covered auto which is
owned by you",3 for properti damag to properti a rent to b use by or c in the care of that insur this exclus a3 doe not appli to properti damag to a resid or privat garag 4 for bodili injuri to an employe of that insur dure the cours of employ this exclus a4 doe not appli to bodili injuri to a domest employe unless worker compens benefit are requir or avail for that domest employe 5 for that insur liabil aris out of the ownership or oper of a vehicl while it is be use as a public or liveri convey this exclus a5 doe not appli to a sharetheexpens car pool 6 while employ or otherwis engag in the busi of a sell b repair c servic d store or e park vehicl design for use main on public highway this includ road test and deliveri this exclus a6 doe not appli to the ownership mainten or use of your cover auto by a you b ani famili member or c ani partner agent or employe of you or ani famili member 7 maintain or use ani vehicl while that insur is employ or otherwis engag in ani busi other than farm or ranch not describ in exclus a6 this exclus a7 doe not appli to the mainten or use of a a privat passeng auto b pickup or van or c trailer use with a vehicl describ in a or b abov 8 use a vehicl without a reason belief that that insur is entitl to do so this exclus a8 doe not appli to a famili member use your cover auto which is own by you,"3 for property damage to property 
 a Rented to 
 b use by or 
 c in the care of 
 that insure 
 this Exclusion a3 do not apply to 
 property damage to a residence or private 
 garage 
 4 for bodily injury to an employee of that 
 insure during the course of employment 
 this Exclusion a4 do not apply to bodily 
 injury to a domestic employee unless worker 
 compensation benefit be require or available for that domestic employee 
 5 for that insured liability arise out of the 
 ownership or operation of a vehicle while it be 
 be use as a public or livery conveyance 
 this Exclusion A5 do not apply to a 
 sharetheexpense car pool 
 6 while employ or otherwise engage in the 
 business of 
 a sell 
 b repair 
 c servicing 
 d store or 
 e parking 
 vehicle design for use mainly on public 
 highway this include road testing and delivery this Exclusion A6 do not apply to the 
 ownership maintenance or use of your covered auto by 
 a you 
 b any family member or 
 c any partner agent or employee of you or 
 any family member 
 7 maintaining or use any vehicle while that 
 insure be employ or otherwise engage in 
 any business other than farm or ranch 
 not describe in Exclusion A6 
 this Exclusion a7 do not apply to the 
 maintenance or use of a 
 a private passenger auto 
 b Pickup or van or 
 c Trailer use with a vehicle describe in a 
 or b above 
 8 use a vehicle without a reasonable belief 
 that that insure be entitle to do so this 
 Exclusion a8 do not apply to a family 
 member use your cover auto which be 
 own by you"
"9 For bodily injury or property damage for
which that insured
a Is an insured under a nuclear energy liability policy or
b Would be an insured under a nuclear energy liability policy but for its termination
upon exhaustion of its limit of liability
A nuclear energy liability policy is a policy issued by any of the following or their successors
a Nuclear Energy Liability Insurance Association
b Mutual Atomic Energy Liability Underwriters or
c Nuclear Insurance Association of Canada
B We do not provide Liability Coverage for the ownership maintenance or use of
1 Any vehicle which
a Has fewer than four wheels or
b Is designed mainly for use off public roads
This Exclusion B1 does not apply
a While such vehicle is being used by an
insured in a medical emergency
b To any trailer or
c To any nonowned golf cart
2 Any vehicle other than your covered auto
which is
a Owned by you or
b Furnished or available for your regular use
3 Any vehicle other than your covered auto
which is
a Owned by any family member or
b Furnished or available for the regular use
of any family member
However this Exclusion B3 does not apply
to you while you are maintaining or
occupying any vehicle which is
a Owned by a family member or
b Furnished or available for the regular use
of a family member
4 Any vehicle located inside a facility designed
for racing for the purpose of
a Competing in or
b Practicing or preparing for
any prearranged or organized racing or speed
contest",9 for bodili injuri or properti damag for which that insur a is an insur under a nuclear energi liabil polici or b would be an insur under a nuclear energi liabil polici but for it termin upon exhaust of it limit of liabil a nuclear energi liabil polici is a polici issu by ani of the follow or their successor a nuclear energi liabil insur associ b mutual atom energi liabil underwrit or c nuclear insur associ of canada b we do not provid liabil coverag for the ownership mainten or use of 1 ani vehicl which a has fewer than four wheel or b is design main for use off public road this exclus b1 doe not appli a while such vehicl is be use by an insur in a medic emerg b to ani trailer or c to ani nonown golf cart 2 ani vehicl other than your cover auto which is a own by you or b furnish or avail for your regular use 3 ani vehicl other than your cover auto which is a own by ani famili member or b furnish or avail for the regular use of ani famili member howev this exclus b3 doe not appli to you while you are maintain or occupi ani vehicl which is a own by a famili member or b furnish or avail for the regular use of a famili member 4 ani vehicl locat insid a facil design for race for the purpos of a compet in or b practic or prepar for ani prearrang or organ race or speed contest,"9 for bodily injury or property damage for 
 which that insure 
 a be an insure under a nuclear energy liability policy or 
 b would be an insure under a nuclear energy liability policy but for its termination 
 upon exhaustion of its limit of liability 
 a nuclear energy liability policy be a policy issue by any of the follow or their successor 
 a Nuclear Energy Liability Insurance Association 
 b Mutual Atomic Energy Liability Underwriters or 
 c Nuclear Insurance Association of Canada 
 B we do not provide Liability Coverage for the ownership maintenance or use of 
 1 any vehicle which 
 a have few than four wheel or 
 b be design mainly for use off public road 
 this exclusion b1 do not apply 
 a while such vehicle be be use by an 
 insure in a medical emergency 
 b to any trailer or 
 c to any nonowne golf cart 
 2 any vehicle other than your cover auto 
 which be 
 a own by you or 
 b furnished or available for your regular use 
 3 any vehicle other than your cover auto 
 which be 
 a own by any family member or 
 b furnished or available for the regular use 
 of any family member 
 however this Exclusion b3 do not apply 
 to you while you be maintain or 
 occupy any vehicle which be 
 a own by a family member or 
 b furnished or available for the regular use 
 of a family member 
 4 any vehicle locate inside a facility design 
 for race for the purpose of 
 a competing in or 
 b practicing or prepare for 
 any prearranged or organized racing or speed 
 contest"
"LIMIT OF LIABILITY
A The limit of liability shown in the Declarations for
each person for Bodily Injury Liability is our
maximum limit of liability for all damages including damages for care loss of services or death
arising out of bodily injury sustained by any one
person in any one auto accident Subject to this
limit for each person the limit of liability shown in
the Declarations for each accident for Bodily Injury Liability is our maximum limit of liability for all
damages for bodily injury resulting from any one
auto accident
The limit of liability shown in the Declarations for
each accident for Property Damage Liability is our
maximum limit of liability for all property damage resulting from any one auto accident
This is the most we will pay regardless of the
number of
1 Insureds
2 Claims made
3 Vehicles or premiums shown in the Declarations or
4 Vehicles involved in the auto accident
B No one will be entitled to receive duplicate payments for the same elements of loss under this
coverage and
1 Part B or Part C of this policy or
2 Any Underinsured Motorists Coverage provided by this policy",limit of liabil a the limit of liabil shown in the declar for each person for bodili injuri liabil is our maximum limit of liabil for all damag includ damag for care loss of servic or death aris out of bodili injuri sustain by ani one person in ani one auto accid subject to this limit for each person the limit of liabil shown in the declar for each accid for bodili injuri liabil is our maximum limit of liabil for all damag for bodili injuri result from ani one auto accid the limit of liabil shown in the declar for each accid for properti damag liabil is our maximum limit of liabil for all properti damag result from ani one auto accid this is the most we will pay regardless of the number of 1 insur 2 claim made 3 vehicl or premium shown in the declar or 4 vehicl involv in the auto accid b no one will be entitl to receiv duplic payment for the same element of loss under this coverag and 1 part b or part c of this polici or 2 ani underinsur motorist coverag provid by this polici,"LIMIT of LIABILITY 
 a the limit of liability show in the Declarations for 
 each person for Bodily Injury Liability be our 
 maximum limit of liability for all damage include damage for care loss of service or death 
 arise out of bodily injury sustain by any one 
 person in any one auto accident Subject to this 
 limit for each person the limit of liability show in 
 the Declarations for each accident for Bodily Injury Liability be our maximum limit of liability for all 
 damage for bodily injury result from any one 
 auto accident 
 the limit of liability show in the Declarations for 
 each accident for Property Damage Liability be our 
 maximum limit of liability for all property damage result from any one auto accident 
 this be the most we will pay regardless of the 
 number of 
 1 insured 
 2 claim make 
 3 vehicle or premium show in the Declarations or 
 4 Vehicles involve in the auto accident 
 B no one will be entitle to receive duplicate payment for the same element of loss under this 
 coverage and 
 1 Part B or Part C of this policy or 
 2 any underinsured Motorists Coverage provide by this policy"
"OUT OF STATE COVERAGE
If an auto accident to which this policy applies occurs
in any state or province other than the one in which
your covered auto is principally garaged we will
interpret your policy for that accident as follows
A If the state or province has
1 A financial responsibility or similar law specifying limits of liability for bodily injury or
property damage higher than the limit shown
in the Declarations your policy will provide the
higher specified limit
2 A compulsory insurance or similar law requiring a nonresident to maintain insurance whenever the nonresident uses a vehicle in that
state or province your policy will provide at
least the required minimum amounts and types
of coverage
B No one will be entitled to duplicate payments for
the same elements of loss
FINANCIAL RESPONSIBILITY
When this policy is certified as future proof of financial responsibility this policy shall comply with the
law to the extent required
OTHER INSURANCE
If there is other applicable liability insurance we will
pay only our share of the loss Our share is the proportion that our limit of liability bears to the total of all
applicable limits However any insurance we provide
for a vehicle you do not own shall be excess over any
other collectible insurance",out of state coverag if an auto accid to which this polici appli occur in ani state or provinc other than the one in which your cover auto is princip garag we will interpret your polici for that accid as follow a if the state or provinc has 1 a financi respons or similar law specifi limit of liabil for bodili injuri or properti damag higher than the limit shown in the declar your polici will provid the higher specifi limit 2 a compulsori insur or similar law requir a nonresid to maintain insur whenev the nonresid use a vehicl in that state or provinc your polici will provid at least the requir minimum amount and type of coverag b no one will be entitl to duplic payment for the same element of loss financi respons when this polici is certifi as futur proof of financi respons this polici shall compli with the law to the extent requir other insur if there is other applic liabil insur we will pay onli our share of the loss our share is the proport that our limit of liabil bear to the total of all applic limit howev ani insur we provid for a vehicl you do not own shall be excess over ani other collect insur,"out of STATE COVERAGE 
 if an auto accident to which this policy apply occur 
 in any state or province other than the one in which 
 your covered auto be principally garage we will 
 interpret your policy for that accident as follow 
 a if the state or province have 
 1 a financial responsibility or similar law specify limit of liability for bodily injury or 
 property damage high than the limit show 
 in the Declarations your policy will provide the 
 high specify limit 
 2 a compulsory insurance or similar law require a nonresident to maintain insurance whenever the nonresident use a vehicle in that 
 state or province your policy will provide at 
 least the require minimum amount and type 
 of coverage 
 b no one will be entitle to duplicate payment for 
 the same element of loss 
 FINANCIAL RESPONSIBILITY 
 when this policy be certify as future proof of financial responsibility this policy shall comply with the 
 law to the extent require 
 other insurance 
 if there be other applicable liability insurance we will 
 pay only our share of the loss our share be the proportion that our limit of liability bear to the total of all 
 applicable limit however any insurance we provide 
 for a vehicle you do not own shall be excess over any 
 other collectible insurance"
