paragraph,stemmed,tokenized,posting_list,posting_list_stemmed
"Property Owners Insurance
Policy Document
Please read this document carefully and keep for future reference",properti owner insur polici document pleas read this document care and keep for futur refer,"Property Owners Insurance 
 Policy document 
 please read this document carefully and keep for future reference","['and', 'carefully', 'document', 'document', 'for', 'future', 'insurance', 'keep', 'owners', 'please', 'policy', 'property', 'read', 'reference', 'this']","['and', 'care', 'document', 'document', 'for', 'futur', 'insur', 'keep', 'owner', 'pleas', 'polici', 'properti', 'read', 'refer', 'this']"
"About Your Policy
This Policy has been prepared in accordance with Your instructions It is a legal contract Please read it carefully
to ensure that it is in accordance with Your requirements and that You understand its limits terms conditions and
exclusions The insurance broker or other intermediary who arranged this Insurance should be contacted
immediately if any correction is necessary
This Policy consists of
•",about your polici this polici has been prepar in accord with your instruct it is a legal contract pleas read it care to ensur that it is in accord with your requir and that you understand it limit term condit and exclus the insur broker or other intermediari who arrang this insur should be contact immedi if ani correct is necessari this polici consist of •,"about your policy 
 this Policy have be prepare in accordance with your instruction it be a legal contract please read it carefully 
 to ensure that it be in accordance with your requirement and that you understand its limit term condition and 
 exclusion the insurance broker or other intermediary who arrange this insurance should be contact 
 immediately if any correction be necessary 
 this policy consist of 
 •","['a', 'about', 'accordance', 'accordance', 'and', 'and', 'any', 'arrange', 'be', 'be', 'be', 'be', 'be', 'broker', 'carefully', 'condition', 'consist', 'contact', 'contract', 'correction', 'ensure', 'exclusion', 'have', 'if', 'immediately', 'in', 'in', 'instruction', 'insurance', 'insurance', 'intermediary', 'it', 'it', 'it', 'its', 'legal', 'limit', 'necessary', 'of', 'or', 'other', 'please', 'policy', 'policy', 'policy', 'prepare', 'read', 'requirement', 'should', 'term', 'that', 'that', 'the', 'this', 'this', 'this', 'to', 'understand', 'who', 'with', 'with', 'you', 'your', 'your', 'your', '•']","['a', 'about', 'accord', 'accord', 'and', 'and', 'ani', 'arrang', 'be', 'been', 'broker', 'care', 'condit', 'consist', 'contact', 'contract', 'correct', 'ensur', 'exclus', 'has', 'if', 'immedi', 'in', 'in', 'instruct', 'insur', 'insur', 'intermediari', 'is', 'is', 'is', 'it', 'it', 'it', 'it', 'legal', 'limit', 'necessari', 'of', 'or', 'other', 'pleas', 'polici', 'polici', 'polici', 'prepar', 'read', 'requir', 'should', 'term', 'that', 'that', 'the', 'this', 'this', 'this', 'to', 'understand', 'who', 'with', 'with', 'you', 'your', 'your', 'your', '•']"
"the Schedule which states who the Insured is the Business being covered and other particulars such as the
Period of Insurance and details of which Sections of the Policy are operative It also shows such details as
the occurrences Insured Limits of Liability and matters and amounts for which You are responsible",the schedul which state who the insur is the busi be cover and other particular such as the period of insur and detail of which section of the polici are oper it also show such detail as the occurr insur limit of liabil and matter and amount for which you are respons,"the Schedule which state who the Insured be the Business be cover and other particular such as the 
 Period of Insurance and detail of which section of the Policy be operative it also show such detail as 
 the occurrence Insured Limits of Liability and matter and amount for which you be responsible","['also', 'amount', 'and', 'and', 'and', 'and', 'as', 'as', 'be', 'be', 'be', 'be', 'business', 'cover', 'detail', 'detail', 'for', 'insurance', 'insured', 'insured', 'it', 'liability', 'limits', 'matter', 'occurrence', 'of', 'of', 'of', 'of', 'operative', 'other', 'particular', 'period', 'policy', 'responsible', 'schedule', 'section', 'show', 'state', 'such', 'such', 'the', 'the', 'the', 'the', 'the', 'the', 'which', 'which', 'which', 'who', 'you']","['also', 'amount', 'and', 'and', 'and', 'and', 'are', 'are', 'as', 'as', 'be', 'busi', 'cover', 'detail', 'detail', 'for', 'insur', 'insur', 'insur', 'is', 'it', 'liabil', 'limit', 'matter', 'occurr', 'of', 'of', 'of', 'of', 'oper', 'other', 'particular', 'period', 'polici', 'respons', 'schedul', 'section', 'show', 'state', 'such', 'such', 'the', 'the', 'the', 'the', 'the', 'the', 'which', 'which', 'which', 'who', 'you']"
"Definitions which define particular words and expressions applying to the whole of this Policy or where
specifically stated applying to a particular Section",definit which defin particular word and express appli to the whole of this polici or where specif state appli to a particular section,"definition which define particular word and expression apply to the whole of this Policy or where 
 specifically state apply to a particular section","['a', 'and', 'apply', 'apply', 'define', 'definition', 'expression', 'of', 'or', 'particular', 'particular', 'policy', 'section', 'specifically', 'state', 'the', 'this', 'to', 'to', 'where', 'which', 'whole', 'word']","['a', 'and', 'appli', 'appli', 'defin', 'definit', 'express', 'of', 'or', 'particular', 'particular', 'polici', 'section', 'specif', 'state', 'the', 'this', 'to', 'to', 'where', 'which', 'whole', 'word']"
"the Extension to all Specified Sections of the Policy detail the extensions provided to the coverage under
the Sections",the extens to all specifi section of the polici detail the extens provid to the coverag under the section,"the extension to all specified Sections of the Policy detail the extension provide to the coverage under 
 the section","['all', 'coverage', 'detail', 'extension', 'extension', 'of', 'policy', 'provide', 'section', 'sections', 'specified', 'the', 'the', 'the', 'the', 'the', 'to', 'to', 'under']","['all', 'coverag', 'detail', 'extens', 'extens', 'of', 'polici', 'provid', 'section', 'section', 'specifi', 'the', 'the', 'the', 'the', 'the', 'to', 'to', 'under']"
"the General Conditions and General Exclusions of cover applying to the whole of this Policy or where
specifically stated applying to a particular Section",the general condit and general exclus of cover appli to the whole of this polici or where specif state appli to a particular section,"the General Conditions and General Exclusions of cover apply to the whole of this Policy or where 
 specifically state apply to a particular section","['a', 'and', 'apply', 'apply', 'conditions', 'cover', 'exclusions', 'general', 'general', 'of', 'of', 'or', 'particular', 'policy', 'section', 'specifically', 'state', 'the', 'the', 'this', 'to', 'to', 'where', 'whole']","['a', 'and', 'appli', 'appli', 'condit', 'cover', 'exclus', 'general', 'general', 'of', 'of', 'or', 'particular', 'polici', 'section', 'specif', 'state', 'the', 'the', 'this', 'to', 'to', 'where', 'whole']"
"any Endorsements which might apply to the Policy or individual Sections and which incorporate Extensions
limitations amendments and such like",ani endors which might appli to the polici or individu section and which incorpor extens limit amend and such like,"any endorsement which might apply to the Policy or individual section and which incorporate extension 
 limitation amendment and such like","['amendment', 'and', 'and', 'any', 'apply', 'endorsement', 'extension', 'incorporate', 'individual', 'like', 'limitation', 'might', 'or', 'policy', 'section', 'such', 'the', 'to', 'which', 'which']","['amend', 'and', 'and', 'ani', 'appli', 'endors', 'extens', 'incorpor', 'individu', 'like', 'limit', 'might', 'or', 'polici', 'section', 'such', 'the', 'to', 'which', 'which']"
"You should immediately notify the Insurer via Your insurance broker or other intermediary of any changes which
may affect the insurance provided by this Policy
Alterations to the cover required after issue of the Policy will be confirmed by separate Schedules andor
Endorsements which You should file with the Policy You should refer to these Schedules andor Endorsements
and the Policy to ascertain precise details of cover currently in force",you should immedi notifi the insur via your insur broker or other intermediari of ani chang which may affect the insur provid by this polici alter to the cover requir after issu of the polici will be confirm by separ schedul andor endors which you should file with the polici you should refer to these schedul andor endors and the polici to ascertain precis detail of cover current in forc,"you should immediately notify the Insurer via your insurance broker or other intermediary of any change which 
 may affect the insurance provide by this policy 
 Alterations to the cover require after issue of the policy will be confirm by separate Schedules andor 
 endorsement which you should file with the policy you should refer to these Schedules andor endorsement 
 and the policy to ascertain precise detail of cover currently in force","['affect', 'after', 'alterations', 'and', 'andor', 'andor', 'any', 'ascertain', 'be', 'broker', 'by', 'by', 'change', 'confirm', 'cover', 'cover', 'currently', 'detail', 'endorsement', 'endorsement', 'file', 'force', 'immediately', 'in', 'insurance', 'insurance', 'insurer', 'intermediary', 'issue', 'may', 'notify', 'of', 'of', 'of', 'or', 'other', 'policy', 'policy', 'policy', 'policy', 'precise', 'provide', 'refer', 'require', 'schedules', 'schedules', 'separate', 'should', 'should', 'should', 'the', 'the', 'the', 'the', 'the', 'the', 'these', 'this', 'to', 'to', 'to', 'via', 'which', 'which', 'will', 'with', 'you', 'you', 'you', 'your']","['affect', 'after', 'alter', 'and', 'andor', 'andor', 'ani', 'ascertain', 'be', 'broker', 'by', 'by', 'chang', 'confirm', 'cover', 'cover', 'current', 'detail', 'endors', 'endors', 'file', 'forc', 'immedi', 'in', 'insur', 'insur', 'insur', 'intermediari', 'issu', 'may', 'notifi', 'of', 'of', 'of', 'or', 'other', 'polici', 'polici', 'polici', 'polici', 'precis', 'provid', 'refer', 'requir', 'schedul', 'schedul', 'separ', 'should', 'should', 'should', 'the', 'the', 'the', 'the', 'the', 'the', 'these', 'this', 'to', 'to', 'to', 'via', 'which', 'which', 'will', 'with', 'you', 'you', 'you', 'your']"
"Contents
About Your Policy  2
General Insuring Clause  4
Definitions  5
Insured Perils  13
Section 1
Property Damage  14
Insuring Clause  14
Property Insured 14
Limit of Liability 14
Extensions to Section 1 14
Conditions to Sections 1  20
Section 2
Loss of Rent  23
Insuring Clause  23
Limit of Liability 23
Extensions to Section 2 23
Conditions to Section 2  25
Exclusions to Sections 1 and 2 27
Section 3
Terrorism
 30
Insuring Clause  30
Limit of Liability 30
Exclusions to Section 3  30
Section 4
Property Owners Liability 32
Insuring Clause  32
Limit of Liability and Legal Costs  32
Extensions to Section 4 33
Exclusions to Section 4  35
Section 5
Employers’ Liability  36
Insuring Clause  36
Limit of Liability 36
Extension to Section 5  36
Exclusions to Section 5  37
Extensions to Sections 4 and 5  38
Exclusions to Section 4 and 5 39
Section 6
Legal Expenses  41
Insuring Clause  41
Limit of Liability 41
Exclusions to Section 6  42
Conditions to Section 6  42
General Exclusions  45
Claims Conditions 47
General Conditions  49
Further Information  53",content about your polici 2 general insur claus 4 definit 5 insur peril 13 section 1 properti damag 14 insur claus 14 properti insur 14 limit of liabil 14 extens to section 1 14 condit to section 1 20 section 2 loss of rent 23 insur claus 23 limit of liabil 23 extens to section 2 23 condit to section 2 25 exclus to section 1 and 2 27 section 3 terror 30 insur claus 30 limit of liabil 30 exclus to section 3 30 section 4 properti owner liabil 32 insur claus 32 limit of liabil and legal cost 32 extens to section 4 33 exclus to section 4 35 section 5 employ liabil 36 insur claus 36 limit of liabil 36 extens to section 5 36 exclus to section 5 37 extens to section 4 and 5 38 exclus to section 4 and 5 39 section 6 legal expens 41 insur claus 41 limit of liabil 41 exclus to section 6 42 condit to section 6 42 general exclus 45 claim condit 47 general condit 49 further inform 53,"content 
 about your Policy   2 
 General Insuring Clause   4 
 definition   5 
 Insured Perils   13 
 section 1 
 Property Damage   14 
 Insuring Clause   14 
 Property insure 14 
 Limit of Liability 14 
 Extensions to Section 1 14 
 condition to section 1   20 
 section 2 
 loss of Rent   23 
 Insuring Clause   23 
 Limit of Liability 23 
 Extensions to section 2 23 
 condition to Section 2   25 
 Exclusions to section 1 and 2 27 
 section 3 
 Terrorism 
  30 
 Insuring Clause   30 
 Limit of Liability 30 
 exclusion to Section 3   30 
 Section 4 
 Property Owners Liability 32 
 Insuring Clause   32 
 Limit of Liability and Legal Costs   32 
 Extensions to section 4 33 
 exclusion to Section 4   35 
 section 5 
 Employers ' Liability   36 
 Insuring Clause   36 
 Limit of Liability 36 
 Extension to Section 5   36 
 exclusion to Section 5   37 
 Extensions to section 4 and 5   38 
 exclusion to section 4 and 5 39 
 section 6 
 Legal Expenses   41 
 Insuring Clause   41 
 Limit of Liability 41 
 exclusion to Section 6   42 
 condition to Section 6   42 
 General Exclusions   45 
 Claims Conditions 47 
 General Conditions   49 
 Further Information   53","[""'"", '1', '1', '1', '1', '13', '14', '14', '14', '14', '14', '2', '2', '2', '2', '2', '20', '23', '23', '23', '23', '25', '27', '3', '3', '30', '30', '30', '30', '32', '32', '32', '33', '35', '36', '36', '36', '36', '37', '38', '39', '4', '4', '4', '4', '4', '4', '41', '41', '41', '42', '42', '45', '47', '49', '5', '5', '5', '5', '5', '5', '53', '6', '6', '6', 'about', 'and', 'and', 'and', 'and', 'claims', 'clause', 'clause', 'clause', 'clause', 'clause', 'clause', 'clause', 'condition', 'condition', 'condition', 'conditions', 'conditions', 'content', 'costs', 'damage', 'definition', 'employers', 'exclusion', 'exclusion', 'exclusion', 'exclusion', 'exclusion', 'exclusions', 'exclusions', 'expenses', 'extension', 'extensions', 'extensions', 'extensions', 'extensions', 'further', 'general', 'general', 'general', 'information', 'insure', 'insured', 'insuring', 'insuring', 'insuring', 'insuring', 'insuring', 'insuring', 'insuring', 'legal', 'legal', 'liability', 'liability', 'liability', 'liability', 'liability', 'liability', 'liability', 'liability', 'limit', 'limit', 'limit', 'limit', 'limit', 'limit', 'loss', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'owners', 'perils', 'policy', 'property', 'property', 'property', 'rent', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'terrorism', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'your']","['1', '1', '1', '1', '13', '14', '14', '14', '14', '14', '2', '2', '2', '2', '2', '20', '23', '23', '23', '23', '25', '27', '3', '3', '30', '30', '30', '30', '32', '32', '32', '33', '35', '36', '36', '36', '36', '37', '38', '39', '4', '4', '4', '4', '4', '4', '41', '41', '41', '42', '42', '45', '47', '49', '5', '5', '5', '5', '5', '5', '53', '6', '6', '6', 'about', 'and', 'and', 'and', 'and', 'claim', 'claus', 'claus', 'claus', 'claus', 'claus', 'claus', 'claus', 'condit', 'condit', 'condit', 'condit', 'condit', 'content', 'cost', 'damag', 'definit', 'employ', 'exclus', 'exclus', 'exclus', 'exclus', 'exclus', 'exclus', 'exclus', 'expens', 'extens', 'extens', 'extens', 'extens', 'extens', 'further', 'general', 'general', 'general', 'inform', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'legal', 'legal', 'liabil', 'liabil', 'liabil', 'liabil', 'liabil', 'liabil', 'liabil', 'liabil', 'limit', 'limit', 'limit', 'limit', 'limit', 'limit', 'loss', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'owner', 'peril', 'polici', 'properti', 'properti', 'properti', 'rent', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'section', 'terror', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'your']"
"Property Owners Insurance
Policy Document
General Insuring Clause
This Property Owners Insurance Policy Contract is underwritten by the Insurer in consideration of the payment of
premium The Insurer agrees to provide insurance in accordance with the terms and conditions of this Policy
during the Period of Insurance based on all written information provided and representations made by or on
behalf of the Insured in the application of this insurance which shall include but not be limited to the proposal
form and all written materials provided in support thereof
The Insurer’s obligations under this Policy in accordance with the terms and conditions contained herein or
endorsed hereon are several and not joint The Insurer is limited solely to the extent of their individual
subscriptions and are not jointly liable for the proportion of any cosubscribing insurer who for any reason do not
satisfy all or part of its obligations
This Policy the Market Reform Contract if any Schedule Proposal any Endorsements or Memoranda
including any documents issued in addition or substitution thereof shall be considered one document and shall
embody the legal agreement between the Insured and the Insurer Any word or expression to which a specific
meaning is attached shall bear such meaning wherever it appears",properti owner insur polici document general insur claus this properti owner insur polici contract is underwritten by the insur in consider of the payment of premium the insur agre to provid insur in accord with the term and condit of this polici dure the period of insur base on all written inform provid and represent made by or on behalf of the insur in the applic of this insur which shall includ but not be limit to the propos form and all written materi provid in support thereof the insur oblig under this polici in accord with the term and condit contain herein or endors hereon are sever and not joint the insur is limit sole to the extent of their individu subscript and are not joint liabl for the proport of ani cosubscrib insur who for ani reason do not satisfi all or part of it oblig this polici the market reform contract if ani schedul propos ani endors or memoranda includ ani document issu in addit or substitut thereof shall be consid one document and shall embodi the legal agreement between the insur and the insur ani word or express to which a specif mean is attach shall bear such mean wherev it appear,"Property Owners Insurance 
 Policy document 
 General Insuring Clause 
 this Property Owners Insurance Policy Contract be underwrite by the Insurer in consideration of the payment of 
 premium the Insurer agree to provide insurance in accordance with the term and condition of this policy 
 during the Period of Insurance base on all write information provide and representation make by or on 
 behalf of the Insured in the application of this insurance which shall include but not be limit to the proposal 
 form and all write material provide in support thereof 
 the insurer ’s obligation under this policy in accordance with the term and condition contain herein or 
 endorsed hereon be several and not joint the Insurer be limit solely to the extent of their individual 
 subscription and be not jointly liable for the proportion of any cosubscribe insurer who for any reason do not 
 satisfy all or part of its obligation 
 this policy the Market Reform Contract if any Schedule Proposal any Endorsements or Memoranda 
 include any document issue in addition or substitution thereof shall be consider one document and shall 
 embody the legal agreement between the Insured and the Insurer any word or expression to which a specific 
 meaning be attach shall bear such meaning wherever it appear","['a', 'accordance', 'accordance', 'addition', 'agree', 'agreement', 'all', 'all', 'all', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'any', 'any', 'any', 'any', 'any', 'any', 'appear', 'application', 'attach', 'base', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'bear', 'behalf', 'between', 'but', 'by', 'by', 'clause', 'condition', 'condition', 'consider', 'consideration', 'contain', 'contract', 'contract', 'cosubscribe', 'do', 'document', 'document', 'document', 'during', 'embody', 'endorsed', 'endorsements', 'expression', 'extent', 'for', 'for', 'form', 'general', 'herein', 'hereon', 'if', 'in', 'in', 'in', 'in', 'in', 'in', 'include', 'include', 'individual', 'information', 'insurance', 'insurance', 'insurance', 'insurance', 'insurance', 'insured', 'insured', 'insurer', 'insurer', 'insurer', 'insurer', 'insurer', 'insurer', 'insuring', 'issue', 'it', 'its', 'joint', 'jointly', 'legal', 'liable', 'limit', 'limit', 'make', 'market', 'material', 'meaning', 'meaning', 'memoranda', 'not', 'not', 'not', 'not', 'obligation', 'obligation', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'on', 'on', 'one', 'or', 'or', 'or', 'or', 'or', 'or', 'owners', 'owners', 'part', 'payment', 'period', 'policy', 'policy', 'policy', 'policy', 'policy', 'premium', 'property', 'property', 'proportion', 'proposal', 'proposal', 'provide', 'provide', 'provide', 'reason', 'reform', 'representation', 'satisfy', 'schedule', 'several', 'shall', 'shall', 'shall', 'shall', 'solely', 'specific', 'subscription', 'substitution', 'such', 'support', 'term', 'term', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'their', 'thereof', 'thereof', 'this', 'this', 'this', 'this', 'this', 'to', 'to', 'to', 'to', 'under', 'underwrite', 'wherever', 'which', 'which', 'who', 'with', 'with', 'word', 'write', 'write', '’s']","['a', 'accord', 'accord', 'addit', 'agre', 'agreement', 'all', 'all', 'all', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'and', 'ani', 'ani', 'ani', 'ani', 'ani', 'ani', 'appear', 'applic', 'are', 'are', 'attach', 'base', 'be', 'be', 'bear', 'behalf', 'between', 'but', 'by', 'by', 'claus', 'condit', 'condit', 'consid', 'consider', 'contain', 'contract', 'contract', 'cosubscrib', 'do', 'document', 'document', 'document', 'dure', 'embodi', 'endors', 'endors', 'express', 'extent', 'for', 'for', 'form', 'general', 'herein', 'hereon', 'if', 'in', 'in', 'in', 'in', 'in', 'in', 'includ', 'includ', 'individu', 'inform', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'is', 'is', 'is', 'issu', 'it', 'it', 'joint', 'joint', 'legal', 'liabl', 'limit', 'limit', 'made', 'market', 'materi', 'mean', 'mean', 'memoranda', 'not', 'not', 'not', 'not', 'oblig', 'oblig', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'on', 'on', 'one', 'or', 'or', 'or', 'or', 'or', 'or', 'owner', 'owner', 'part', 'payment', 'period', 'polici', 'polici', 'polici', 'polici', 'polici', 'premium', 'properti', 'properti', 'proport', 'propos', 'propos', 'provid', 'provid', 'provid', 'reason', 'reform', 'represent', 'satisfi', 'schedul', 'sever', 'shall', 'shall', 'shall', 'shall', 'sole', 'specif', 'subscript', 'substitut', 'such', 'support', 'term', 'term', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'their', 'thereof', 'thereof', 'this', 'this', 'this', 'this', 'this', 'to', 'to', 'to', 'to', 'under', 'underwritten', 'wherev', 'which', 'which', 'who', 'with', 'with', 'word', 'written', 'written']"
