paragraph,stemmed,tokenized
"Barclays works with Allianz – one of the largest general insurers in
the UK – to ensure you receive the highest levels of product and
service excellence Their technical experts understand in detail how
to protect you against the risks that businesses face",barclay work with allianz – one of the largest general insur in the uk – to ensur you receiv the highest level of product and servic excel their technic expert understand in detail how to protect you against the risk that busi face,"barclay work with Allianz – one of the large general insurer in 
 the UK – to ensure you receive the high level of product and 
 service excellence their technical expert understand in detail how 
 to protect you against the risk that business face"
"This document provides details of your policy
and the terms and conditions that apply Please
read it carefully and keep it in a safe place",this document provid detail of your polici and the term and condit that appli pleas read it care and keep it in a safe place,"this document provide detail of your policy 
 and the term and condition that apply please 
 read it carefully and keep it in a safe place"
"You’re in safe hands if you need to make a claim Allianz’s
professionally trained staff are ready to deal with any issues
promptly and fairly
If you need further information or if you have any questions about
your policy call Allianz on 0344 209 6096",you'r in safe hand if you need to make a claim allianz profession train staff are readi to deal with ani issu prompt and fair if you need further inform or if you have ani question about your polici call allianz on 0344 209 6096,"you ’re in safe hand if you need to make a claim Allianz ’ 
 professionally train staff be ready to deal with any issue 
 promptly and fairly 
 if you need further information or if you have any question about 
 your policy call Allianz on 0344 209 6096"
"Introduction
Your Complete Property Owners Insurance Policy is made
up of several parts which must be read together as they
form your contract of insurance with the Insurer Please
take time to read all parts of the Policy to make sure they
meet and continue to meet your needs and that you
understand the terms exclusions and conditions If you
wish to change anything or if there is anything you do not
understand please let Allianz know – adjustments are
easily made and Allianz will be pleased to help
The parts of the Policy are",introduct your complet properti owner insur polici is made up of sever part which must be read togeth as they form your contract of insur with the insur pleas take time to read all part of the polici to make sure they meet and continu to meet your need and that you understand the term exclus and condit if you wish to chang anyth or if there is anyth you do not understand pleas let allianz know – adjust are easili made and allianz will be pleas to help the part of the polici are,"introduction 
 your Complete Property Owners Insurance Policy be make 
 up of several part which must be read together as they 
 form your contract of insurance with the Insurer please 
 take time to read all part of the policy to make sure they 
 meet and continue to meet your need and that you 
 understand the term exclusion and condition if you 
 wish to change anything or if there be anything you do not 
 understand please let Allianz know – adjustment be 
 easily make and Allianz will be pleased to help 
 the part of the policy be"
"Changes to your circumstances
Please tell us as soon as reasonably possible if there are
any changes to your circumstances which could affect
your insurance
Please refer to Policy Condition 16 on page 12 of this
Policy wording
If your circumstances change and you do not tell Allianz
you may find that you are not covered if you need to
claim",chang to your circumst pleas tell us as soon as reason possibl if there are ani chang to your circumst which could affect your insur pleas refer to polici condit 16 on page 12 of this polici word if your circumst chang and you do not tell allianz you may find that you are not cover if you need to claim,"change to your circumstance 
 please tell we as soon as reasonably possible if there be 
 any change to your circumstance which could affect 
 your insurance 
 please refer to Policy Condition 16 on page 12 of this 
 policy wording 
 if your circumstance change and you do not tell Allianz 
 you may find that you be not cover if you need to 
 claim"
"• the Statement of Fact
• this Policy Wording which contains
– this Introduction the Insuring Clause the Policy
Definitions the Policy Exclusions and the Policy
Conditions all of which apply to all Sections of the
Policy
– the Sections of cover provided including the Section
Definitions Extensions Conditions and Exclusions
• the Schedule which confirms the Sections of cover that
are insured and includes any additional clauses applied
to the Policy",• the statement of fact • this polici word which contain – this introduct the insur claus the polici definit the polici exclus and the polici condit all of which appli to all section of the polici – the section of cover provid includ the section definit extens condit and exclus • the schedul which confirm the section of cover that are insur and includ ani addit claus appli to the polici,"• the statement of Fact 
 • this Policy Wording which contain 
 – this introduction the Insuring Clause the policy 
 Definitions the Policy Exclusions and the policy 
 Conditions all of which apply to all section of the 
 policy 
 – the Sections of cover provide include the Section 
 Definitions Extensions Conditions and Exclusions 
 • the Schedule which confirm the Sections of cover that 
 be insure and include any additional clause apply 
 to the policy"
"Financial Services Compensation
Scheme
As the insurance underwriter Allianz contributes to the
Financial Services Compensation Scheme FSCS
You may be entitled to compensation from the FSCS if we
are unable to meet our liabilities Further information about
compensation scheme arrangements is available at
wwwfscsorguk by emailing enquiriesfscsorguk or by
phoning the FSCS on 0800 678 1100 or 0207 741 4100",financi servic compens scheme as the insur underwrit allianz contribut to the financi servic compens scheme fscs you may be entitl to compens from the fscs if we are unabl to meet our liabil further inform about compens scheme arrang is avail at wwwfscsorguk by email enquiriesfscsorguk or by phone the fscs on 0800 678 1100 or 0207 741 4100,"Financial Services Compensation 
 Scheme 
 as the insurance underwriter Allianz contribute to the 
 Financial Services Compensation Scheme fscs 
 you may be entitle to compensation from the fscs if we 
 be unable to meet our liability further information about 
 compensation scheme arrangement be available at 
 wwwfscsorguk by email enquiriesfscsorguk or by 
 phone the fscs on 0800 678 1100 or 0207 741 4100"
"Any Section stated to be ‘not insured’ in the Schedule shall
be inoperative
Any word or expression in the Policy which has a specific
meaning under the Policy or Section Definitions has the
same meaning wherever it appears in the Policy",ani section state to be not insur in the schedul shall be inop ani word or express in the polici which has a specif mean under the polici or section definit has the same mean wherev it appear in the polici,"any section state to be ' not insure ' in the Schedule shall 
 be inoperative 
 any word or expression in the policy which have a specific 
 meaning under the Policy or Section definition have the 
 same meaning wherever it appear in the policy"
"How to Make a Claim
If you need to claim the team will help and guide you
through the process
You can notify Allianz of a claim by
Telephone 0344 893 9639
Post Barclays Claims Centre
500 Avebury Boulevard
Milton Keynes
MK9 2XX
Online wwwbarclayscoukBusinessinsurance
Our claims helpline is available 24 hours a day 7 days a week",how to make a claim if you need to claim the team will help and guid you through the process you can notifi allianz of a claim by telephon 0344 893 9639 post barclay claim centr 500 aveburi boulevard milton keyn mk9 2xx onlin wwwbarclayscoukbusinessinsur our claim helplin is avail 24 hour a day 7 day a week,"how to make a claim 
 if you need to claim the team will help and guide you 
 through the process 
 you can notify Allianz of a claim by 
 Telephone 0344 893 9639 
 Post Barclays claim Centre 
 500 Avebury Boulevard 
 Milton Keynes 
 MK9 2xx 
 Online wwwbarclayscoukbusinessinsurance 
 our claim helpline be available 24 hour a day 7 day a week"
"If you have a Commercial Legal Expenses claim you can
notify Allianz Legal Protection by contacting the
Lawphone Legal Advice Helpline on 0344 854 1774
quoting the Master Policy reference shown in the policy
schedule
Post The Claims Department
Allianz Legal Protection
2530 The Quadrant
Aztec West
Almondsbury
Bristol
BS32 4AW
Lines are open 24 hours a day 7 days a week",if you have a commerci legal expens claim you can notifi allianz legal protect by contact the lawphon legal advic helplin on 0344 854 1774 quot the master polici refer shown in the polici schedul post the claim depart allianz legal protect 2530 the quadrant aztec west almondsburi bristol bs32 4aw line are open 24 hour a day 7 day a week,"if you have a commercial Legal Expenses claim you can 
 notify Allianz Legal Protection by contact the 
 Lawphone Legal Advice Helpline on 0344 854 1774 
 quote the Master Policy reference show in the policy 
 schedule 
 Post The Claims Department 
 Allianz Legal Protection 
 2530 the quadrant 
 aztec West 
 Almondsbury 
 Bristol 
 BS32 4aw 
 line be open 24 hour a day 7 day a week"
"Please try to notify Allianz of a claim promptly after the incident or immediately in the event of a serious
accident loss or damage",pleas tri to notifi allianz of a claim prompt after the incid or immedi in the event of a serious accid loss or damag,"please try to notify Allianz of a claim promptly after the incident or immediately in the event of a serious 
 accident loss or damage"
"Allianz aims to deal with your claim promptly and fairly
We will update you on the progress of your claim by email
mail or by phone – whichever you prefer",allianz aim to deal with your claim prompt and fair we will updat you on the progress of your claim by email mail or by phone – whichev you prefer,"Allianz aim to deal with your claim promptly and fairly 
 we will update you on the progress of your claim by email 
 mail or by phone – whichever you prefer"
"Depending on the type of claim and value involved
we may
• forward a claim form for you to complete and sign",depend on the type of claim and valu involv we may • forward a claim form for you to complet and sign,"depend on the type of claim and value involve 
 we may 
 • forward a claim form for you to complete and sign"
"• ask you for additional information
• appoint an independent loss adjuster to deal with
your claim loss adjusters are claims specialists who
investigate large or complex claims usually at the
scene of an incident to establish the cause of the loss
and assist the insurer in dealing with your claim
• arrange for a member of our claims team to visit you",• ask you for addit inform • appoint an independ loss adjust to deal with your claim loss adjust are claim specialist who investig larg or complex claim usual at the scene of an incid to establish the caus of the loss and assist the insur in deal with your claim • arrang for a member of our claim team to visit you,"• ask you for additional information 
 • appoint an independent loss adjuster to deal with 
 your claim loss adjuster be claim specialist who 
 investigate large or complex claim usually at the 
 scene of an incident to establish the cause of the loss 
 and assist the insurer in deal with your claim 
 • arrange for a member of our claim team to visit you"
"Policy type and policy number
Date the loss occurred
Name and address of injured party
Description of the injury where and how it occurred",polici type and polici number date the loss occur name and address of injur parti descript of the injuri where and how it occur,"policy type and policy number 
 date the loss occur 
 name and address of injure party 
 Description of the injury where and how it occur"
"Commercial Legal Expenses Claims
Your contact information including address and
telephone numbers
Master Policy reference shown in the policy schedule",commerci legal expens claim your contact inform includ address and telephon number master polici refer shown in the polici schedul,"commercial Legal Expenses claim 
 your contact information include address and 
 telephone number 
 Master Policy reference show in the policy schedule"
"Other than in respect of Commercial Legal Expenses
claims once your claim has been resolved we will pay you
or the appropriate person by electronic bank transfer
instead of cheque This ensures that you get paid quicker
However should you wish to receive a cheque please let
your dedicated claims handler know",other than in respect of commerci legal expens claim onc your claim has been resolv we will pay you or the appropri person by electron bank transfer instead of chequ this ensur that you get paid quicker howev should you wish to receiv a chequ pleas let your dedic claim handler know,"other than in respect of Commercial Legal Expenses 
 claim once your claim have be resolve we will pay you 
 or the appropriate person by electronic bank transfer 
 instead of cheque this ensure that you get pay quick 
 however should you wish to receive a cheque please let 
 your dedicated claim handler know"
"Commercial Legal Expenses
In addition to the above the following will apply to enable
Allianz Legal Protection to deal with a claim under the
Commercial Legal Expenses section",commerci legal expens in addit to the abov the follow will appli to enabl allianz legal protect to deal with a claim under the commerci legal expens section,"commercial Legal Expenses 
 in addition to the above the following will apply to enable 
 Allianz Legal Protection to deal with a claim under the 
 commercial Legal Expenses section"
"Brief summary of the problem
• we will forward you a claim form for you to complete
and sign
2 | Complete Property Owners Insurance",brief summari of the problem • we will forward you a claim form for you to complet and sign 2 | complet properti owner insur,"brief summary of the problem 
 • we will forward you a claim form for you to complete 
 and sign 
 2 | Complete Property Owners insurance"
"• we will require a copy of your policy schedule
• once we have received your claim form and determined
whether your claim falls within the cover provided we
will contact you to request the payment of any excess
due We will also contact you to request payment of the
excess if we agree to your request to appoint an
alternative legal representative Please note we will not
appoint a legal representative until the excess payment
due in respect of a claim has been paid",• we will requir a copi of your polici schedul • onc we have receiv your claim form and determin whether your claim fall within the cover provid we will contact you to request the payment of ani excess due we will also contact you to request payment of the excess if we agre to your request to appoint an altern legal repres pleas note we will not appoint a legal repres until the excess payment due in respect of a claim has been paid,"• we will require a copy of your policy schedule 
 • once we have receive your claim form and determine 
 whether your claim fall within the cover provide we 
 will contact you to request the payment of any excess 
 due we will also contact you to request payment of the 
 excess if we agree to your request to appoint an 
 alternative legal representative please note we will not 
 appoint a legal representative until the excess payment 
 due in respect of a claim have be pay"
"• we will be pleased to provide advice and assistance to
find the right person or organisation to help you We
have a nationwide network of quality trade people on
call to get you up and running For large incidents we
will usually assign a loss adjuster who will manage your
repairs and has the authority to authorise repairs up to
£50000
• please do not dispose of damaged items before we
have had the opportunity to inspect them
• you should report to the Police any loss or damage
from theft arson malicious damage or riot or
civil commotion and obtain a crime reference number
from them",• we will be pleas to provid advic and assist to find the right person or organis to help you we have a nationwid network of qualiti trade peopl on call to get you up and run for larg incid we will usual assign a loss adjust who will manag your repair and has the author to authoris repair up to £50000 • pleas do not dispos of damag item befor we have had the opportun to inspect them • you should report to the polic ani loss or damag from theft arson malici damag or riot or civil commot and obtain a crime refer number from them,"• we will be pleased to provide advice and assistance to 
 find the right person or organisation to help you we 
 have a nationwide network of quality trade people on 
 call to get you up and run for large incident we 
 will usually assign a loss adjuster who will manage your 
 repair and have the authority to authorise repair up to 
 £ 50000 
 • please do not dispose of damage item before we 
 have have the opportunity to inspect they 
 • you should report to the Police any loss or damage 
 from theft arson malicious damage or riot or 
 civil commotion and obtain a crime reference number 
 from they"
"• legal expenses are only covered from the time we have
accepted the claim and appointed the legal
representative in your name and on your behalf You
must not appoint a legal representative If you have
already seen a solicitor before we have accepted your
claim we will not pay any fees or other expenses that
you have incurred",• legal expens are onli cover from the time we have accept the claim and appoint the legal repres in your name and on your behalf you must not appoint a legal repres if you have alreadi seen a solicitor befor we have accept your claim we will not pay ani fee or other expens that you have incur,"• legal expense be only cover from the time we have 
 accept the claim and appoint the legal 
 representative in your name and on your behalf you 
 must not appoint a legal representative if you have 
 already see a solicitor before we have accept your 
 claim we will not pay any fee or other expense that 
 you have incur"
"• other than where we incur legal expenses in order to
validate a claim if we decline a claim following receipt
of the claim form policy schedule and excess payment
we will refund the excess payment",• other than where we incur legal expens in order to valid a claim if we declin a claim follow receipt of the claim form polici schedul and excess payment we will refund the excess payment,"• other than where we incur legal expense in order to 
 validate a claim if we decline a claim follow receipt 
 of the claim form policy schedule and excess payment 
 we will refund the excess payment"
"You should comply with the requirements for claim
notification contained in the policy conditions which
detail your obligations and our rights in the event of a
claim If you are in any doubt please contact us",you should compli with the requir for claim notif contain in the polici condit which detail your oblig and our right in the event of a claim if you are in ani doubt pleas contact us,"you should comply with the requirement for claim 
 notification contain in the policy condition which 
 detail your obligation and our right in the event of a 
 claim if you be in any doubt please contact we"
