paragraph,stemmed,tokenized
"Residential
Property Owners
P l e a s e r e a d t h i s d o c u m e n t c a r e f u l l y
Should you have any questions please
contact your insurance agent",residenti properti owner p l e a s e r e a d t h i s d o c u m e n t c a r e f u l l y should you have ani question pleas contact your insur agent,"residential 
 Property Owners 
 p l e a s e r e a d t h I s d o c u m e n t c a r e f u l l y 
 should you have any question please 
 contact your insurance agent"
"Policy Information
We are keen to work in partnership with You and avoid any misunderstandings
This Policy has been prepared in accordance with Your instructions Please read it carefully to ensure that it meets Your
requirements
This Policy consists of
1",polici inform we are keen to work in partnership with you and avoid ani misunderstand this polici has been prepar in accord with your instruct pleas read it care to ensur that it meet your requir this polici consist of 1,"policy Information 
 we be keen to work in partnership with you and avoid any misunderstanding 
 this policy have be prepare in accordance with your instruction please read it carefully to ensure that it meet your 
 requirement 
 this policy consist of 
 1"
"2	the Schedule which shows details of the Policyholder Period of Insurance the Business being covered the
Property or Events insured Limits of Liability and certain amounts You will be responsible for and details of which
Sections are operative
3	Sections andor Subsections prepared from a proposal form or declaration or Statement of Fact that You provided
to Your insurance agent about You and Your Business upon which Your insurance Policy is based
4",2 the schedul which show detail of the policyhold period of insur the busi be cover the properti or event insur limit of liabil and certain amount you will be respons for and detail of which section are oper 3 section andor subsect prepar from a propos form or declar or statement of fact that you provid to your insur agent about you and your busi upon which your insur polici is base 4,"2 	 the Schedule which show detail of the Policyholder Period of Insurance the Business be cover the 
 Property or Events insure limit of Liability and certain amount you will be responsible for and detail of which 
 section be operative 
 3 	 section andor subsection prepare from a proposal form or declaration or statement of Fact that you provide 
 to your insurance agent about you and your Business upon which your insurance policy be base 
 4"
"Any Endorsements or Conditions Precedent which might apply to the Policy or individual Sections and which
incorporate cover amendments extensions limitations and the like",ani endors or condit preced which might appli to the polici or individu section and which incorpor cover amend extens limit and the like,"any endorsement or Conditions Precedent which might apply to the Policy or individual section and which 
 incorporate cover amendment extension limitation and the like"
"Immediate notice should be given to Us of any changes which may affect the insurance provided by this Policy
Alterations in the cover required after the issue of the Policy will be confirmed by a separate Endorsement andor Schedule
andor Statement of Fact which You should file with Your Policy You should refer to the Statement of Fact andor Schedule
and Endorsements and the Policy to ascertain precise details of cover currently in force
Should you require a hard copy of the policy schedule or policy wording please contact your broker",immedi notic should be given to us of ani chang which may affect the insur provid by this polici alter in the cover requir after the issu of the polici will be confirm by a separ endors andor schedul andor statement of fact which you should file with your polici you should refer to the statement of fact andor schedul and endors and the polici to ascertain precis detail of cover current in forc should you requir a hard copi of the polici schedul or polici word pleas contact your broker,"immediate notice should be give to we of any change which may affect the insurance provide by this policy 
 Alterations in the cover require after the issue of the policy will be confirm by a separate Endorsement andor schedule 
 andor statement of Fact which you should file with your policy you should refer to the Statement of Fact andor Schedule 
 and endorsement and the policy to ascertain precise detail of cover currently in force 
 should you require a hard copy of the policy schedule or policy wording please contact your broker"
"Our Promise to You
Our goal is to provide excellent customer service to all Our customers but we recognise that sometimes things may go wrong
We take complaints seriously and aim to resolve all of Our customers problems promptly
If this cover does not meet with your requirements please return all your documents and any Employers Liability Certificates
to your insurance agent who has arranged the cover within 14 days of receipt and We will return part of the premium
proportionate to the unexpired Period of Insurance provided that no claims have been paid or outstanding during the current
Period of Insurance
If You wish to terminate the cover at any other time please contact Your insurance agent who arranged it and any return
premium will be at the discretion of Arch Insurance UK Limited",our promis to you our goal is to provid excel custom servic to all our custom but we recognis that sometim thing may go wrong we take complaint serious and aim to resolv all of our custom problem prompt if this cover doe not meet with your requir pleas return all your document and ani employ liabil certif to your insur agent who has arrang the cover within 14 day of receipt and we will return part of the premium proportion to the unexpir period of insur provid that no claim have been paid or outstand dure the current period of insur if you wish to termin the cover at ani other time pleas contact your insur agent who arrang it and ani return premium will be at the discret of arch insur uk limit,"our promise to you 
 our goal be to provide excellent customer service to all our customer but we recognise that sometimes thing may go wrong 
 we take complaint seriously and aim to resolve all of our customer problem promptly 
 if this cover do not meet with your requirement please return all your document and any Employers Liability Certificates 
 to your insurance agent who have arrange the cover within 14 day of receipt and we will return part of the premium 
 proportionate to the unexpired Period of Insurance provide that no claim have be pay or outstanding during the current 
 Period of insurance 
 if you wish to terminate the cover at any other time please contact your insurance agent who arrange it and any return 
 premium will be at the discretion of Arch Insurance UK Limited"
"Making a Claim
To report or make a claim follow the instructions provided in the General Conditions – Claims Procedure",make a claim to report or make a claim follow the instruct provid in the general condit – claim procedur,"make a claim 
 to report or make a claim follow the instruction provide in the General Conditions – claim procedure"
"To make a legal expenses claim
Please contact ARAG in the event that you need to make a claim including if you are considering carrying out a
redundancy
Claims telephone number 0117 917 1698 or report on line at wwwaragcouknewclaims
Under no circumstances should you instruct your own lawyer or accountant as ARAG will not pay the costs incurred and it
could invalidate your cover",to make a legal expens claim pleas contact arag in the event that you need to make a claim includ if you are consid carri out a redund claim telephon number 0117 917 1698 or report on line at wwwaragcouknewclaim under no circumst should you instruct your own lawyer or account as arag will not pay the cost incur and it could invalid your cover,"to make a legal expense claim 
 please contact ARAG in the event that you need to make a claim include if you be consider carry out a 
 redundancy 
 claim telephone number 0117 917 1698 or report on line at wwwaragcouknewclaim 
 under no circumstance should you instruct your own lawyer or accountant as ARAG will not pay the cost incur and it 
 could invalidate your cover"
"All other claims
To register a claim under any other Section You should email full details of the claim including your Arch policy number to
commercialclaimsarchinsurancecouk or call 0345 258 3880",all other claim to regist a claim under ani other section you should email full detail of the claim includ your arch polici number to commercialclaimsarchinsurancecouk or call 0345 258 3880,"all other claim 
 to register a claim under any other section you should email full detail of the claim include your arch policy number to 
 commercialclaimsarchinsurancecouk or call 0345 258 3880"
"Help and Assistance
As an Arch customer you have access to a website and helplines as described below Most of these helplines are available 24
hours a day 365 days a year and are available to you at no additional charge under your Business Legal Expenses cover",help and assist as an arch custom you have access to a websit and helplin as describ below most of these helplin are avail 24 hour a day 365 day a year and are avail to you at no addit charg under your busi legal expens cover,"help and assistance 
 as an arch customer you have access to a website and helpline as describe below Most of these helpline be available 24 
 hour a day 365 day a year and be available to you at no additional charge under your Business Legal Expenses cover"
