paragraph,stemmed,tokenized,posting_list,posting_list_stemmed
"Thank you for choosing Allianz
Insurance plc We are one of the
largest general insurers in the UK
and part of the Allianz Group one of
the world’s foremost financial
services providers",thank you for choos allianz insur plc we are one of the largest general insur in the uk and part of the allianz group one of the world foremost financi servic provid,"thank you for choose Allianz 
 Insurance plc we be one of the 
 large general insurer in the UK 
 and part of the Allianz Group one of 
 the world ’s foremost financial 
 service provider","['allianz', 'allianz', 'and', 'be', 'choose', 'financial', 'for', 'foremost', 'general', 'group', 'in', 'insurance', 'insurer', 'large', 'of', 'of', 'of', 'one', 'one', 'part', 'plc', 'provider', 'service', 'thank', 'the', 'the', 'the', 'the', 'uk', 'we', 'world', 'you', '’s']","['allianz', 'allianz', 'and', 'are', 'choos', 'financi', 'for', 'foremost', 'general', 'group', 'in', 'insur', 'insur', 'largest', 'of', 'of', 'of', 'one', 'one', 'part', 'plc', 'provid', 'servic', 'thank', 'the', 'the', 'the', 'the', 'uk', 'we', 'world', 'you']"
"With Allianz Insurance plc you can be confident that
you’re insured by a company which is relentless in its
commitment to protecting and serving you You can trust
us to insure your business as we’ve been providing
leading insurance solutions in the UK for over 100 years",with allianz insur plc you can be confid that you'r insur by a compani which is relentless in it commit to protect and serv you you can trust us to insur your busi as we'v been provid lead insur solut in the uk for over 100 year,"with Allianz Insurance plc you can be confident that 
 you ’re insure by a company which be relentless in its 
 commitment to protect and serve you you can trust 
 we to insure your business as we ’ve be provide 
 lead insurance solution in the UK for over 100 year","['100', 'a', 'allianz', 'and', 'as', 'be', 'be', 'be', 'business', 'by', 'can', 'can', 'commitment', 'company', 'confident', 'for', 'in', 'in', 'insurance', 'insurance', 'insure', 'insure', 'its', 'lead', 'over', 'plc', 'protect', 'provide', 'relentless', 'serve', 'solution', 'that', 'the', 'to', 'to', 'trust', 'uk', 'we', 'we', 'which', 'with', 'year', 'you', 'you', 'you', 'you', 'your', '’re', '’ve']","['100', 'a', 'allianz', 'and', 'as', 'be', 'been', 'busi', 'by', 'can', 'can', 'commit', 'compani', 'confid', 'for', 'in', 'in', 'insur', 'insur', 'insur', 'insur', 'is', 'it', 'lead', 'over', 'plc', 'protect', 'provid', 'relentless', 'serv', 'solut', 'that', 'the', 'to', 'to', 'trust', 'uk', 'us', ""we'v"", 'which', 'with', 'year', 'you', 'you', 'you', ""you'r"", 'your']"
"We work in partnership with your insurance adviser to
ensure you receive the highest levels of product and
service excellence Our technical experts understand how
best to protect you against the risks your business faces",we work in partnership with your insur advis to ensur you receiv the highest level of product and servic excel our technic expert understand how best to protect you against the risk your busi face,"we work in partnership with your insurance adviser to 
 ensure you receive the high level of product and 
 service excellence our technical expert understand how 
 good to protect you against the risk your business face","['adviser', 'against', 'and', 'business', 'ensure', 'excellence', 'expert', 'face', 'good', 'high', 'how', 'in', 'insurance', 'level', 'of', 'our', 'partnership', 'product', 'protect', 'receive', 'risk', 'service', 'technical', 'the', 'the', 'to', 'to', 'understand', 'we', 'with', 'work', 'you', 'you', 'your', 'your']","['advis', 'against', 'and', 'best', 'busi', 'ensur', 'excel', 'expert', 'face', 'highest', 'how', 'in', 'insur', 'level', 'of', 'our', 'partnership', 'product', 'protect', 'receiv', 'risk', 'servic', 'technic', 'the', 'the', 'to', 'to', 'understand', 'we', 'with', 'work', 'you', 'you', 'your', 'your']"
"If you need to make a claim you will be in safe hands Our
professionally trained staff aim to treat you as you would
expect both promptly and fairly By listening to you and
understanding your needs we will provide you with the
most appropriate solutions to get your business trading
again as quickly as possible",if you need to make a claim you will be in safe hand our profession train staff aim to treat you as you would expect both prompt and fair by listen to you and understand your need we will provid you with the most appropri solut to get your busi trade again as quick as possibl,"if you need to make a claim you will be in safe hand our 
 professionally train staff aim to treat you as you would 
 expect both promptly and fairly by listen to you and 
 understand your need we will provide you with the 
 most appropriate solution to get your business trading 
 again as quickly as possible","['a', 'again', 'aim', 'and', 'and', 'appropriate', 'as', 'as', 'as', 'be', 'both', 'business', 'by', 'claim', 'expect', 'fairly', 'get', 'hand', 'if', 'in', 'listen', 'make', 'most', 'need', 'need', 'our', 'possible', 'professionally', 'promptly', 'provide', 'quickly', 'safe', 'solution', 'staff', 'the', 'to', 'to', 'to', 'to', 'trading', 'train', 'treat', 'understand', 'we', 'will', 'will', 'with', 'would', 'you', 'you', 'you', 'you', 'you', 'you', 'your', 'your']","['a', 'again', 'aim', 'and', 'and', 'appropri', 'as', 'as', 'as', 'be', 'both', 'busi', 'by', 'claim', 'expect', 'fair', 'get', 'hand', 'if', 'in', 'listen', 'make', 'most', 'need', 'need', 'our', 'possibl', 'profession', 'prompt', 'provid', 'quick', 'safe', 'solut', 'staff', 'the', 'to', 'to', 'to', 'to', 'trade', 'train', 'treat', 'understand', 'we', 'will', 'will', 'with', 'would', 'you', 'you', 'you', 'you', 'you', 'you', 'your', 'your']"
"Should you need further details or have any questions
your insurance adviser will be delighted to help",should you need further detail or have ani question your insur advis will be delight to help,"should you need further detail or have any question 
 your insurance adviser will be delighted to help","['adviser', 'any', 'be', 'delighted', 'detail', 'further', 'have', 'help', 'insurance', 'need', 'or', 'question', 'should', 'to', 'will', 'you', 'your']","['advis', 'ani', 'be', 'delight', 'detail', 'further', 'have', 'help', 'insur', 'need', 'or', 'question', 'should', 'to', 'will', 'you', 'your']"
"Important
This document provides
details of your policy
and the terms and
conditions that apply
Please read it carefully
and keep it in a safe
place",import this document provid detail of your polici and the term and condit that appli pleas read it care and keep it in a safe place,"important 
 this document provide 
 detail of your policy 
 and the term and 
 condition that apply 
 please read it carefully 
 and keep it in a safe 
 place","['a', 'and', 'and', 'and', 'apply', 'carefully', 'condition', 'detail', 'document', 'important', 'in', 'it', 'it', 'keep', 'of', 'place', 'please', 'policy', 'provide', 'read', 'safe', 'term', 'that', 'the', 'this', 'your']","['a', 'and', 'and', 'and', 'appli', 'care', 'condit', 'detail', 'document', 'import', 'in', 'it', 'it', 'keep', 'of', 'place', 'pleas', 'polici', 'provid', 'read', 'safe', 'term', 'that', 'the', 'this', 'your']"
"Introduction
Your Complete Property Owner Policy is made up of several parts
which must be read together as they form your contract of insurance
with the Insurer Please take time to read all parts of the Policy to make
sure they meet and continue to meet your needs and that you
understand the terms exclusions and conditions If you wish to
change anything or if there is anything you do not understand please
let your insurance adviser know
The parts of the Policy are
• the Statement of Fact
• this Policy Wording which contains
– this Introduction the Insuring Clause the Policy Definitions
the Policy Exclusions and the Policy Conditions all of which
apply to all Sections of the Policy
– the Sections of cover provided including the Section
Definitions Extensions Conditions and Exclusions
• the Schedule which confirms the Sections of cover that are
insured and includes any additional clauses applied to the Policy
Any Section stated to be ‘Not Insured’ in the Schedule shall be
inoperative",introduct your complet properti owner polici is made up of sever part which must be read togeth as they form your contract of insur with the insur pleas take time to read all part of the polici to make sure they meet and continu to meet your need and that you understand the term exclus and condit if you wish to chang anyth or if there is anyth you do not understand pleas let your insur advis know the part of the polici are • the statement of fact • this polici word which contain – this introduct the insur claus the polici definit the polici exclus and the polici condit all of which appli to all section of the polici – the section of cover provid includ the section definit extens condit and exclus • the schedul which confirm the section of cover that are insur and includ ani addit claus appli to the polici ani section state to be not insur in the schedul shall be inop,"introduction 
 your Complete Property Owner Policy be make up of several part 
 which must be read together as they form your contract of insurance 
 with the Insurer please take time to read all part of the policy to make 
 sure they meet and continue to meet your need and that you 
 understand the term exclusion and condition if you wish to 
 change anything or if there be anything you do not understand please 
 let your insurance adviser know 
 the part of the Policy be 
 • the Statement of Fact 
 • this Policy Wording which contain 
 – this introduction the Insuring Clause the Policy Definitions 
 the Policy Exclusions and the Policy Conditions all of which 
 apply to all section of the policy 
 – the Sections of cover provide include the Section 
 Definitions Extensions Conditions and Exclusions 
 • the Schedule which confirm the Sections of cover that be 
 insure and include any additional clause apply to the policy 
 any section state to be ' not insure ' in the Schedule shall be 
 inoperative","[""'"", ""'"", 'additional', 'adviser', 'all', 'all', 'all', 'and', 'and', 'and', 'and', 'and', 'and', 'any', 'any', 'anything', 'anything', 'apply', 'apply', 'as', 'be', 'be', 'be', 'be', 'be', 'be', 'be', 'change', 'clause', 'clause', 'complete', 'condition', 'conditions', 'conditions', 'confirm', 'contain', 'continue', 'contract', 'cover', 'cover', 'definitions', 'definitions', 'do', 'exclusion', 'exclusions', 'exclusions', 'extensions', 'fact', 'form', 'if', 'if', 'in', 'include', 'include', 'inoperative', 'insurance', 'insurance', 'insure', 'insure', 'insurer', 'insuring', 'introduction', 'introduction', 'know', 'let', 'make', 'make', 'meet', 'meet', 'must', 'need', 'not', 'not', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'or', 'owner', 'part', 'part', 'part', 'please', 'please', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'policy', 'property', 'provide', 'read', 'read', 'schedule', 'schedule', 'section', 'section', 'section', 'sections', 'sections', 'several', 'shall', 'state', 'statement', 'sure', 'take', 'term', 'that', 'that', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'there', 'they', 'they', 'this', 'this', 'time', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'together', 'understand', 'understand', 'up', 'which', 'which', 'which', 'which', 'wish', 'with', 'wording', 'you', 'you', 'you', 'your', 'your', 'your', 'your', '–', '–', '•', '•', '•']","['addit', 'advis', 'all', 'all', 'all', 'and', 'and', 'and', 'and', 'and', 'and', 'ani', 'ani', 'anyth', 'anyth', 'appli', 'appli', 'are', 'are', 'as', 'be', 'be', 'be', 'chang', 'claus', 'claus', 'complet', 'condit', 'condit', 'condit', 'confirm', 'contain', 'continu', 'contract', 'cover', 'cover', 'definit', 'definit', 'do', 'exclus', 'exclus', 'exclus', 'extens', 'fact', 'form', 'if', 'if', 'in', 'includ', 'includ', 'inop', 'insur', 'insur', 'insur', 'insur', 'insur', 'insur', 'introduct', 'introduct', 'is', 'is', 'know', 'let', 'made', 'make', 'meet', 'meet', 'must', 'need', 'not', 'not', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'of', 'or', 'owner', 'part', 'part', 'part', 'pleas', 'pleas', 'polici', 'polici', 'polici', 'polici', 'polici', 'polici', 'polici', 'polici', 'polici', 'properti', 'provid', 'read', 'read', 'schedul', 'schedul', 'section', 'section', 'section', 'section', 'section', 'sever', 'shall', 'state', 'statement', 'sure', 'take', 'term', 'that', 'that', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'the', 'there', 'they', 'they', 'this', 'this', 'time', 'to', 'to', 'to', 'to', 'to', 'to', 'to', 'togeth', 'understand', 'understand', 'up', 'which', 'which', 'which', 'which', 'wish', 'with', 'word', 'you', 'you', 'you', 'your', 'your', 'your', 'your', '–', '–', '•', '•', '•']"
"Changes to your circumstances
Please tell your insurance adviser as soon as reasonably possible if
there are any changes to your circumstances which could affect your
insurance
Please refer to Policy Condition 16 Change of Risk on page 11 of this
Policy
If your circumstances change and you do not tell your insurance
adviser you may find that you are not covered if you need to claim",chang to your circumst pleas tell your insur advis as soon as reason possibl if there are ani chang to your circumst which could affect your insur pleas refer to polici condit 16 chang of risk on page 11 of this polici if your circumst chang and you do not tell your insur advis you may find that you are not cover if you need to claim,"change to your circumstance 
 please tell your insurance adviser as soon as reasonably possible if 
 there be any change to your circumstance which could affect your 
 insurance 
 please refer to Policy Condition 16 Change of risk on page 11 of this 
 policy 
 if your circumstance change and you do not tell your insurance 
 adviser you may find that you be not cover if you need to claim","['11', '16', 'adviser', 'adviser', 'affect', 'and', 'any', 'as', 'as', 'be', 'be', 'change', 'change', 'change', 'change', 'circumstance', 'circumstance', 'circumstance', 'claim', 'condition', 'could', 'cover', 'do', 'find', 'if', 'if', 'if', 'insurance', 'insurance', 'insurance', 'may', 'need', 'not', 'not', 'of', 'of', 'on', 'page', 'please', 'please', 'policy', 'policy', 'possible', 'reasonably', 'refer', 'risk', 'soon', 'tell', 'tell', 'that', 'there', 'this', 'to', 'to', 'to', 'to', 'which', 'you', 'you', 'you', 'you', 'your', 'your', 'your', 'your', 'your', 'your']","['11', '16', 'advis', 'advis', 'affect', 'and', 'ani', 'are', 'are', 'as', 'as', 'chang', 'chang', 'chang', 'chang', 'circumst', 'circumst', 'circumst', 'claim', 'condit', 'could', 'cover', 'do', 'find', 'if', 'if', 'if', 'insur', 'insur', 'insur', 'may', 'need', 'not', 'not', 'of', 'of', 'on', 'page', 'pleas', 'pleas', 'polici', 'polici', 'possibl', 'reason', 'refer', 'risk', 'soon', 'tell', 'tell', 'that', 'there', 'this', 'to', 'to', 'to', 'to', 'which', 'you', 'you', 'you', 'you', 'your', 'your', 'your', 'your', 'your', 'your']"
"Financial Services Compensation Scheme
Allianz Insurance plc contributes to the Financial Services
Compensation Scheme FSCS
The Insured may be entitled to compensation from the FSCS if the
Insurer is unable to meet their liabilities Further information about
compensation scheme arrangements is available at wwwfscsorguk
by emailing enquiriesfscsorguk or by phoning the FSCS on 0800
678 1100 or 0207 741 4100",financi servic compens scheme allianz insur plc contribut to the financi servic compens scheme fscs the insur may be entitl to compens from the fscs if the insur is unabl to meet their liabil further inform about compens scheme arrang is avail at wwwfscsorguk by email enquiriesfscsorguk or by phone the fscs on 0800 678 1100 or 0207 741 4100,"Financial Services Compensation Scheme 
 Allianz Insurance plc contribute to the Financial Services 
 Compensation Scheme fscs 
 the Insured may be entitle to compensation from the fscs if the 
 Insurer be unable to meet their liability further information about 
 compensation scheme arrangement be available at wwwfscsorguk 
 by email enquiriesfscsorguk or by phone the fscs on 0800 
 678 1100 or 0207 741 4100","['0207', '0800', '1100', '4100', '678', '741', 'about', 'allianz', 'arrangement', 'at', 'available', 'be', 'be', 'be', 'by', 'by', 'compensation', 'compensation', 'compensation', 'compensation', 'contribute', 'email', 'enquiriesfscsorguk', 'entitle', 'financial', 'financial', 'from', 'fscs', 'fscs', 'fscs', 'further', 'if', 'information', 'insurance', 'insured', 'insurer', 'liability', 'may', 'meet', 'on', 'or', 'or', 'phone', 'plc', 'scheme', 'scheme', 'scheme', 'services', 'services', 'the', 'the', 'the', 'the', 'the', 'their', 'to', 'to', 'to', 'unable', 'wwwfscsorguk']","['0207', '0800', '1100', '4100', '678', '741', 'about', 'allianz', 'arrang', 'at', 'avail', 'be', 'by', 'by', 'compens', 'compens', 'compens', 'compens', 'contribut', 'email', 'enquiriesfscsorguk', 'entitl', 'financi', 'financi', 'from', 'fscs', 'fscs', 'fscs', 'further', 'if', 'inform', 'insur', 'insur', 'insur', 'is', 'is', 'liabil', 'may', 'meet', 'on', 'or', 'or', 'phone', 'plc', 'scheme', 'scheme', 'scheme', 'servic', 'servic', 'the', 'the', 'the', 'the', 'the', 'their', 'to', 'to', 'to', 'unabl', 'wwwfscsorguk']"
"Any word or expression in the Policy which has a specific meaning
has the same meaning wherever it appears in the Policy unless
stated otherwise",ani word or express in the polici which has a specif mean has the same mean wherev it appear in the polici unless state otherwis,"any word or expression in the policy which have a specific meaning 
 have the same meaning wherever it appear in the Policy unless 
 state otherwise","['a', 'any', 'appear', 'expression', 'have', 'have', 'in', 'in', 'it', 'meaning', 'meaning', 'or', 'otherwise', 'policy', 'policy', 'same', 'specific', 'state', 'the', 'the', 'the', 'unless', 'wherever', 'which', 'word']","['a', 'ani', 'appear', 'express', 'has', 'has', 'in', 'in', 'it', 'mean', 'mean', 'or', 'otherwis', 'polici', 'polici', 'same', 'specif', 'state', 'the', 'the', 'the', 'unless', 'wherev', 'which', 'word']"
