paragraph,stemmed,tokenized
"THIS POLICY AND THE STATEMENT OF FACT AND THE SCHEDULE WHICH FORM AN INTEGRAL PART OF
THE POLICY IS A LEGAL CONTRACT IT NEEDS TO BE EXAMINED THOROUGHLY TO ENSURE IT MEETS YOUR
REQUIREMENTS IF IT DOES NOT MEET YOUR REQUIREMENTS YOU MUST CONTACT YOUR INSURANCE ADVISER
WITHOUT UNDUE DELAY
ANY FACTS WHICH WE HAVE TAKEN INTO ACCOUNT IN THE ASSESSMENT OR ACCEPTANCE OF THIS POLICY  
AND ANY SUBSEQUENT CHANGES TO THOSE FACTS  NEED TO BE DECLARED  FAILURE TO DO SO MAY
INVALIDATE THE POLICY OR RESULT IN CERTAIN COVERS NOT OPERATING FULLY  IF THERE ARE ANY DOUBTS
AS TO WHETHER A FACT IS MATERIAL OR NOT  YOU MUST CONTACT YOUR INSURANCE ADVISER WITHOUT
UNDUE DELAY",this polici and the statement of fact and the schedul which form an integr part of the polici is a legal contract it need to be examin thorough to ensur it meet your requir if it doe not meet your requir you must contact your insur advis without undu delay ani fact which we have taken into account in the assess or accept of this polici and ani subsequ chang to those fact need to be declar failur to do so may invalid the polici or result in certain cover not oper fulli if there are ani doubt as to whether a fact is materi or not you must contact your insur advis without undu delay,"this POLICY and the STATEMENT of FACT and the SCHEDULE which form an INTEGRAL part of 
 the policy be a LEGAL contract it need to be EXAMINED THOROUGHLY to ensure IT MEETS your 
 requirement if it do not meet your requirement you must contact your insurance ADVISER 
 without UNDUE DELAY 
 any fact which we have take into account in the assessment OR ACCEPTANCE of this POLICY  
 and any subsequent change to those FACTS   need to be DECLARED   failure to do SO MAY 
 INVALIDATE the POLICY OR RESULT in CERTAIN covers not operate fully   if there be any DOUBTS 
 as to whether a fact be MATERIAL OR not   you must contact your insurance ADVISER without 
 undue delay"
"About Your Insurance Policy
Your insurance Policy is made up of this Policy wording Your Statement of Fact and the Schedule which shows the sums insured Our Limits of
Liability the premium You will pay and any other terms which apply to Your Policy
You should read the Statement of Fact Schedule and the Policy wording together to tell You what is covered and what is not covered how We
settle claims and other important information
Some words in this Policy have a special meaning They start with a capital letter and are in bold type whenever they appear in the Policy and are
listed under “Definitions” at the end of the Policy
We have set out ‘What is covered’ to the left of each page and ‘What is not covered’ to the right
There are also some special exclusions which apply to the whole of certain Insurances",about your insur polici your insur polici is made up of this polici word your statement of fact and the schedul which show the sum insur our limit of liabil the premium you will pay and ani other term which appli to your polici you should read the statement of fact schedul and the polici word togeth to tell you what is cover and what is not cover how we settl claim and other import inform some word in this polici have a special mean they start with a capit letter and are in bold type whenev they appear in the polici and are list under “definitions” at the end of the polici we have set out what is cover to the left of each page and what is not cover to the right there are also some special exclus which appli to the whole of certain insur,"about your Insurance Policy 
 your insurance policy be make up of this policy wording your Statement of Fact and the Schedule which show the sum insure our limit of 
 Liability the premium you will pay and any other term which apply to your policy 
 you should read the Statement of Fact Schedule and the Policy wording together to tell you what be cover and what be not cover how we 
 settle claim and other important information 
 some word in this policy have a special meaning they start with a capital letter and be in bold type whenever they appear in the policy and be 
 list under "" definition "" at the end of the policy 
 we have set out ' what be cover ' to the left of each page and ' what be not cover ' to the right 
 there be also some special exclusion which apply to the whole of certain insurance"
"The Insurance Contract
This insurance Policy is a legal contract between You and Us The contract is based on the information You gave Us when You applied for the
insurance and any subsequent information which You have supplied
We will provide cover for the Insurances shown on Your Schedule for the Period of Insurance subject to all the terms conditions and exclusions of
this Policy You must pay the premium for the Period of Insurance and comply with all of the Policy conditions
If You do not meet Your part of the contract We may turn down a claim or reduce the amount We pay for a claim
This Policy has been issued by Royal  Sun Alliance Insurance plc",the insur contract this insur polici is a legal contract between you and us the contract is base on the inform you gave us when you appli for the insur and ani subsequ inform which you have suppli we will provid cover for the insur shown on your schedul for the period of insur subject to all the term condit and exclus of this polici you must pay the premium for the period of insur and compli with all of the polici condit if you do not meet your part of the contract we may turn down a claim or reduc the amount we pay for a claim this polici has been issu by royal sun allianc insur plc,"the Insurance contract 
 this insurance policy be a legal contract between you and we the contract be base on the information you give we when you apply for the 
 insurance and any subsequent information which you have supply 
 we will provide cover for the Insurances show on your Schedule for the Period of Insurance subject to all the term condition and exclusion of 
 this policy you must pay the premium for the Period of Insurance and comply with all of the policy condition 
 if you do not meet your part of the contract we may turn down a claim or reduce the amount we pay for a claim 
 this policy have be issue by Royal   Sun Alliance Insurance plc"
"Customer Care Services
As part of Our commitment to customer care We have provided
additional services to help You when You need it most
Claims Helpline
We recognise that losses mean disruption to Your Business and that the
ultimate test of any insurance policy is providing a fast effective claims
service We also realise that running a business means that it might not
be convenient for You to report a claim to Us during normal office
hours That’s why You can now notify Us of any claim when it suits You any time of the day or night All You have to do is call
•",custom care servic as part of our commit to custom care we have provid addit servic to help you when you need it most claim helplin we recognis that loss mean disrupt to your busi and that the ultim test of ani insur polici is provid a fast effect claim servic we also realis that run a busi mean that it might not be conveni for you to report a claim to us dure normal offic hour that whi you can now notifi us of ani claim when it suit you ani time of the day or night all you have to do is call •,"Customer Care Services 
 as part of our commitment to customer care we have provide 
 additional service to help you when you need it most 
 claim Helpline 
 we recognise that loss mean disruption to your business and that the 
 ultimate test of any insurance policy be provide a fast effective claim 
 service we also realise that run a business mean that it might not 
 be convenient for you to report a claim to we during normal office 
 hour that ’s why you can now notify we of any claim when it suit you any time of the day or night all you have to do be call 
 •"
"24 hour Claims Helpline including Emergency Repairs and
Catastrophe Claim
0845 300 4006 Please quote Your Policy Number",24 hour claim helplin includ emerg repair and catastroph claim 0845 300 4006 pleas quot your polici number,"24 hour claim Helpline include Emergency Repairs and 
 Catastrophe claim 
 0845 300 4006 please quote your policy number"
"Emergency Repairs
Should emergency repairs be needed to Your Property We will put
You in touch with a tradesman from Our carefully selected panel You
will have to pay the cost of any work done but where the Damage is
caused by an insured Event You can of course submit the cost as part
of Your claim Whatever the nature of the emergency You just need to
make a single phone call
Catastrophe Claim
If You are faced with a major catastrophe such as a serious fire or flood
We recognise that You will need expert assistance immediately We will
send a representative to help You in a major crisis 24 hours a day 365
days a year
Advice Lines
Where do You turn to for answers to questions that affect Your Business
Our advice lines will put You in touch with highly qualified experts who
can offer information and assistance on a wide range of issues
Legal Assistance available 24 hours
Health and Safety issues available 24 hours
Tax advice available Monday to Friday 9am to 5pm
Stress Counselling available 24 hours",emerg repair should emerg repair be need to your properti we will put you in touch with a tradesman from our care select panel you will have to pay the cost of ani work done but where the damag is caus by an insur event you can of cours submit the cost as part of your claim whatev the natur of the emerg you just need to make a singl phone call catastroph claim if you are face with a major catastroph such as a serious fire or flood we recognis that you will need expert assist immedi we will send a repres to help you in a major crisi 24 hour a day 365 day a year advic line where do you turn to for answer to question that affect your busi our advic line will put you in touch with high qualifi expert who can offer inform and assist on a wide rang of issu legal assist avail 24 hour health and safeti issu avail 24 hour tax advic avail monday to friday 9am to 5pm stress counsel avail 24 hour,"Emergency Repairs 
 should emergency repair be need to your property we will put 
 you in touch with a tradesman from our carefully select panel you 
 will have to pay the cost of any work do but where the damage be 
 cause by an insured event you can of course submit the cost as part 
 of your claim whatever the nature of the emergency you just need to 
 make a single phone call 
 Catastrophe claim 
 if you be face with a major catastrophe such as a serious fire or flood 
 we recognise that you will need expert assistance immediately we will 
 send a representative to help you in a major crisis 24 hour a day 365 
 day a year 
 Advice line 
 where do you turn to for answer to question that affect your business 
 our advice line will put you in touch with highly qualified expert who 
 can offer information and assistance on a wide range of issue 
 Legal Assistance available 24 hour 
 Health and Safety issue available 24 hour 
 tax advice available Monday to Friday 9 am to 5 pm 
 Stress counselling available 24 hour"
"Events
The following events only apply where shown as
included under operative events in the schedule
1	Fire smoke lightning explosion and earthquake",event the follow event onli appli where shown as includ under oper event in the schedul 1 fire smoke lightn explos and earthquak,"event 
 the follow event only apply where show as 
 include under operative event in the schedule 
 1 	 Fire smoke lightning explosion and earthquake"
"1	Your Contribution as shown in the Schedule
2	Damage caused by the bursting of any boiler or other plant owned by
You or under Your control and in which the internal pressure is due
to steam only However We will not exclude Damage caused by the
explosion of any boiler or gas used only for domestic purposes",1 your contribut as shown in the schedul 2 damag caus by the burst of ani boiler or other plant own by you or under your control and in which the intern pressur is due to steam onli howev we will not exclud damag caus by the explos of ani boiler or gas use onli for domest purpos,"1 	 your contribution as show in the Schedule 
 2 	 damage cause by the bursting of any boiler or other plant own by 
 you or under your control and in which the internal pressure be due 
 to steam only however we will not exclude damage cause by the 
 explosion of any boiler or gas use only for domestic purpose"
"2	Riot civil commotion strikers lockedout workers or persons taking
part in labour disturbances or malicious persons",2 riot civil commot striker lockedout worker or person take part in labour disturb or malici person,"2 	 Riot civil commotion striker lockedout worker or person take 
 part in labour disturbance or malicious person"
"1	Your Contribution as shown in the Schedule
2	Damage arising from nationalisation confiscation requisition or
destruction by order of the government or any public authority
3	Damage arising from stoppage of work
4	Damage directly caused in the course of theft or attempted theft by
malicious persons not acting on behalf of or in connection with any
political organisation
5	Damage to Buildings and Landlord’s Contents of Residential
Properties
i	caused by Residents or their guests to the Residential
Property in which the Resident lives
ii	which have been Unoccupied for over 45 consecutive days",1 your contribut as shown in the schedul 2 damag aris from nationalis confisc requisit or destruct by order of the govern or ani public author 3 damag aris from stoppag of work 4 damag direct caus in the cours of theft or attempt theft by malici person not act on behalf of or in connect with ani polit organis 5 damag to build and landlord content of residenti properti i caus by resid or their guest to the residenti properti in which the resid live ii which have been unoccupi for over 45 consecut day,"1 	 your contribution as show in the Schedule 
 2 	 damage arise from nationalisation confiscation requisition or 
 destruction by order of the government or any public authority 
 3 	 damage arise from stoppage of work 
 4 	 damage directly cause in the course of theft or attempt theft by 
 malicious person not act on behalf of or in connection with any 
 political organisation 
 5 	 damage to Buildings and Landlord ’s Contents of residential 
 Properties 
 i 	 cause by resident or their guest to the residential 
 property in which the Resident live 
 ii 	 which have be unoccupied for over 45 consecutive day"
