document_name,page_number,paragraph_number,text,tokenized
7thEditionPolicy,0,0,"Seventh Edition (1-00) 
Massachusetts 
Automobile 
Insurance 
Policy                            Please read your policy.  Part of the policy is a page marked 
“Coverage Selections.”  It shows the types and amounts of       
coverage you have purchased.  As you read the policy, check the 
Coverage Selections Page to make sure it shows exactly what     
you intended to buy. If there is any question, call your agent or 
company right away. 
This policy form has been approved by the Commissioner of 
Insurance. 
",edition massachusetts automobile insurance policy read policy policy page mark coverage selections show type amount coverage purchase read policy check coverage selections page sure show exactly intend buy question agent company right away policy form approve commissioner insurance
7thEditionPolicy,1,0," 
Contents     
Introduction 
1   
Definitions 
2   
Our Agreement 
3   
Compulsory Insurance 
Part 1. 
Bodily Injury To Others................................................. 4 
Part 2. 
Personal Injury Protection ............................................ 5 
Part 3. 
Bodily Injury Caused By An Uninsured Auto ................ 7 
Part 4. 
Damage To Someone Else’s Property ....................... 10   
Optional Insurance 
Part 5. 
Optional Bodily Injury To Others ................................ 13 
Part 6. 
Medical Payments...................................................... 15 
Part 7. 
Collision...................................................................... 16 
Part 8. 
Limited Collision......................................................... 17 
Part 9. 
Comprehensive.......................................................... 19 
Part 10. Substitute Transportation ........................................... 20 
Part 11. Towing And Labor...................................................... 21 
Part 12. Bodily Injury Caused By An Underinsured Auto......... 21   
General Provisions And Exclusions 
24   
Cancellation And Renewal 
29   
When There Is An Accident Or Loss 
32   
Safe Driver Insurance Plan 
33   
Coverage Selections Page  ",contents introduction definition agreement compulsory insurance bodily injury personal injury protection bodily injury cause uninsured auto damage property optional insurance optional bodily injury medical payments collision limited collision comprehensive substitute transportation tow labor bodily injury cause underinsured auto general provisions exclusion cancellation renewal accident loss safe driver insurance plan coverage selections page
7thEditionPolicy,2,0," 
Introduction 1  This insurance policy is a legal contract between the policy-owner 
(you) and the company (we or us).  It insures you and your auto for 
the period shown on the Coverage Selections Page. 
As long as you pay your premium, we agree to provide you or others 
the benefits to which you or they are entitled.  The exact terms and 
conditions are explained in the following pages. 
There are two basic categories of insurance described in this policy, 
Compulsory Insurance and Optional Insurance.  Compulsory 
There are four Parts to Compulsory Insurance.  They are all re- 
Insurance 
quired by law.  Every auto registered in Massachusetts must have 
them.  Optional 
There are eight Parts to Optional Insurance.  Some of them extend 
Insurance 
the coverage or the amounts of protection provided by Compulsory 
Insurance.  Some of them provide protection not found in Compulsory 
Insurance.  You do not have to buy any of these eight Parts if you do 
not want to.  Auto insurance claims arise in hundreds of different ways.  Autos are 
sometimes stolen or damaged.  Accidents may injure people in your 
auto, people in other autos or pedestrians.  You may be responsible 
for an accident or someone else may be.  An accident may happen in 
Massachusetts or out of state.  Different situations require different 
kinds of insurance. 
Please read the whole policy to see what kinds of insurance are 
available to cover these different situations.  At the same time, you 
should check the Coverage Selections Page to make sure it correctly 
indicates the coverages you purchased.  Each coverage you 
purchased will show a premium charge next to it.  If no premium 
charge is shown, you do not have that coverage. 
Sometimes you and we will agree to change this policy.  The only way 
that can be done is by an “Endorsement” added to the basic policy 
form.  All endorsements must be in writing.  They then become part of 
this policy. 
We are pleased to have you as a customer and hope you have a safe 
and accident-free year. But if you need us, we are here to help you.  If 
you have an accident or loss, or if someone sues you, contact your 
agent or us. 
Do the same if you have any questions or complaints.  If you think we 
have treated you unfairly at any time, you may contact the Division of 
Insurance, (617) 521-7777",introduction insurance policy legal contract policy owner company insure auto period show coverage selections page long pay premium agree provide benefit entitle exact term condition explain follow page basic category insurance describe policy compulsory insurance optional insurance compulsory part compulsory insurance insurance quire law auto register massachusetts optional part optional insurance extend insurance coverage amount protection provide compulsory insurance provide protection find compulsory insurance buy part want auto insurance claim arise hundred different way auto steal damage accidents injure people auto people auto pedestrian responsible accident accident happen massachusetts state different situation require different kind insurance read policy kind insurance available cover different situation time check coverage selections page sure correctly indicate coverage purchase coverage purchase premium charge premium charge show coverage agree change policy way endorsement add basic policy form endorsement writing policy pleased customer hope safe accident free year need help accident loss sue contact agent question complaint think treat unfairly time contact division insurance
7thEditionPolicy,3,0," 
2 
Definitions  Throughout this policy: 
1. We, Us or Our – refers to the company issuing this policy.  2. You or Your – refers to the person(s) named in Item 1 of the 
Coverage Selections Page.  3. Accident – means an unexpected, unintended event that causes 
bodily injury or property damage arising out of the owner- ship, 
maintenance or use of an auto.  4. Auto – means a land motor vehicle or trailer but does not include: 
A. Any vehicle operated on rails or crawler treads. 
B.  Any vehicle or trailer while it is located for use as a residence 
or premises.  We will consider such a vehicle to be an auto while it 
is being used on public roads, or for recreational use. 
C.  A farm tractor or other equipment designed for use principally 
off public roads.  We will consider a tractor or other equipment to be 
an auto while it is being used on public roads. 
D.  Any vehicle not subject to Massachusetts Motor Vehicle registration 
such as a moped, dirt bike, mini-bike, snowmobile or an all-terrain 
vehicle (ATV). 
Other words and phrases are defined. 
They are in boldface when used. 
5. Your Auto – means: 
A. The vehicle or vehicles described on the Coverage Selections Page. 
B. Any auto while used as a temporary substitute for the described auto 
while that auto is out of normal use because of a breakdown, repair, 
servicing, loss or destruction.  But the term “your auto” does not include 
a substitute vehicle owned by you or your spouse. 
C. A private passenger auto, trailer, motorcycle, pick-up truck, van or 
similar vehicle, to which you take title or lease as a permanent re-
placement for a described auto or as an additional auto.  We provide 
coverage for an additional auto only if you ask us to insure it within 
seven days after you take title or the effective date of the lease. 
If a replacement or additional auto is a pick-up truck, van or similar 
vehicle, it must have a gross vehicle weight of less than 10,000 pounds 
and not be used for the delivery or transportation of goods or materials  
",definition policy refer company issue policy refer name item coverage selections page accident mean unexpected unintended event cause bodily injury property damage arise ship maintenance use auto auto mean land motor vehicle trailer include vehicle operate rail crawler tread vehicle trailer locate use residence premise consider vehicle auto public road recreational use farm tractor equipment design use principally public road consider tractor equipment auto public road vehicle subject massachusetts motor vehicle registration mope dirt bike mini bike snowmobile terrain vehicle atv word phrase define boldface auto mean vehicle vehicle describe coverage selections page auto temporary substitute describe auto auto normal use breakdown repair servicing loss destruction term auto include substitute vehicle own spouse private passenger auto trailer motorcycle pick truck van similar vehicle title lease permanent placement describe auto additional auto provide coverage additional auto ask insure day title effective date lease replacement additional auto pick truck van similar vehicle gross vehicle weight pound delivery transportation good material
7thEditionPolicy,4,0,"  3  unless such use is incidental to your business of installing, maintaining 
or repairing furnishings or equipment. 
Under Parts 1, 2, 3, 4, 5 and 6 the term “your auto” also includes any 
trailer not described on the Coverage Selections Page as covered under 
those Parts. 
6. Trailer – means a vehicle designed to be pulled by a private 
passenger auto, motorcycle, pick-up truck, van, or similar vehicle and 
designed for use on public roads.  This includes a farm wagon or a farm 
implement. 
7. Occupying – means in, upon, entering into, or getting out of. 
8. Collision – means the accidental upset of your auto or any physical 
contact of your auto with another object. 
9. Household Member – means anyone living in your household 
who is related to you by blood, marriage or adoption.  This includes 
wards, step-children or foster children. 
10. Pedestrian – includes anyone incurring bodily injury as a 
result of being struck by an auto in an accident and who is not 
occupying an auto at the time of the accident.  Our Agreement  This policy is a legal contract under Massachusetts law.  Because 
this is an auto policy, it only covers accidents and losses which 
result from the ownership, maintenance or use of autos.  The exact 
protection is determined by the coverages you purchased. 
We agree to provide the insurance protection you purchased for 
accidents which happen while this policy is in force. 
You agree to pay premiums when due and to cooperate with us in 
case of accidents or claims. 
Our contract consists of this policy, the Coverage Selections Page, 
any endorsements agreed upon, and your application for insurance.  
Oral promises or statements made by you or our agent are not part 
of this policy. 
There are many laws of Massachusetts relating to automobile 
insurance.  We and you must and do agree that, when those laws 
apply, they are part of this policy. 
",use incidental business instal maintain repair furnishing equipment part term auto include trailer describe coverage selections page cover parts trailer mean vehicle design pull private passenger auto motorcycle pick truck van similar vehicle design use public road include farm wagon farm implement occupying mean enter get collision mean accidental upset auto physical contact auto object household member mean live household relate blood marriage adoption include ward step child foster child pedestrian include incur bodily injury result strike auto accident occupy auto time accident agreement policy legal contract massachusetts law auto policy cover accident loss result ownership maintenance use auto exact protection determine coverage purchase agree provide insurance protection purchase accident happen policy force agree pay premium cooperate case accident claim contract consist policy coverage selections page endorsement agree application insurance oral promise statement agent policy law massachusetts relate automobile insurance agree law apply policy
7thEditionPolicy,5,0," 
4 
Compulsory 
Insurance 
There are four Parts to Compulsory Insurance.  They are called 
Compulsory Insurance because Massachusetts law requires you to 
buy all of them before you can register your auto.  No law requires 
you to buy more than this Compulsory Insurance.  However, if you 
have financed your auto, the bank or finance company may legally 
insist that you have some Optional Insurance as a condition of your 
loan. 
The amount of your coverage and the cost of each Part is shown on 
the Coverage Selections Page. 
Your Compulsory Insurance does not pay for any damage to your 
auto no matter what happens to it. 
Part 1. 
Under this Part, we will pay damages to people injured or killed by 
Bodily Injury 
your auto in Massachusetts accidents.  The damages we will pay 
To Others 
are the amounts the injured person is entitled to collect for bodily 
injury through a court judgment or settlement.  We will pay only if you 
or someone else using your auto with your consent is legally 
responsible for the accident.  The most we will pay for injuries to one 
or more persons as a result of bodily injury to any one person in any 
one accident is $20,000.  Subject to this $20,000 limit, the most we 
will pay for injuries to two or more people as the result of bodily injury 
to two or more people in any one accident is $40,000.  This is the 
most we will pay as the result of a single accident no matter how many 
autos or premiums are shown on the Coverage Selections Page. 
We will not pay: 
1. For injuries to guest occupants of your auto. 
2. For accidents outside of Massachusetts or in places in Massa- 
chusetts where the public has no right of access. 
3. For injuries to any employees of the legally responsible person if 
they are entitled to Massachusetts workers’ compensation benefits. 
The law provides a special protection for anyone entitled to damages 
under this Part.  We must pay their claims even if false statements 
were made when applying for this policy or your auto registration. We 
must also pay even if you or the legally responsible person fails to 
cooperate with us after the accident.  We will, however, be entitled to 
reimbursement from the person who did not cooperate or who made 
any false statements. 
If a claim is covered by us and also by another company authorized to 
sell auto insurance in Massachusetts, we will pay only our 
proportionate share.  If someone covered under this Part is using an 
auto he or she does not own at the time of the accident, the owner’s 
",compulsory insurance part compulsory insurance call compulsory insurance massachusetts law require buy register auto law require buy compulsory insurance finance auto bank finance company legally insist optional insurance condition loan coverage cost show coverage selections page compulsory insurance pay damage auto matter happen pay damage people injure kill bodily injury auto massachusetts accident damage pay amount injure person entitle collect bodily injury court judgment settlement pay auto consent legally responsible accident pay injury person result bodily injury person accident subject limit pay injury people result bodily injury people accident pay result single accident matter auto premium show coverage selections page pay injury guest occupant auto accident outside massachusetts place chusett public right access injury employee legally responsible person entitle massachusetts worker compensation benefit law provide special protection entitle damage pay claim false statement apply policy auto registration pay legally responsible person fail cooperate accident entitle reimbursement person cooperate false statement claim cover company authorize sell auto insurance massachusetts pay proportionate share cover auto time accident owner
7thEditionPolicy,6,0,"   
Compulsory  Insurance  (Continued) 
5 auto insurance must pay its limits before we pay.  Then, we will pay, up 
to the limits shown on your Coverage Selections Page, for any damages 
not covered by that insurance. 
Part 2. 
The benefits under this Part are commonly known as “PIP” or “No-  
Personal Injury 
Fault” benefits. It makes no difference who is legally responsible for 
Protection 
the accident. 
We will pay the benefits described below to you and other people injured 
or killed in auto accidents. For any one accident, we will pay as many 
people as are injured, but the most we will pay for injuries to any one 
person is $8,000.  This is the most we will pay no matter how many 
autos or premiums are shown on the Coverage Selections Page. 
We will pay three kinds of benefits: 
A. Medical Expenses 
We will pay all reasonable expenses incurred as a result of the accident 
for necessary medical, surgical, X-ray and dental services.  This includes 
prosthetic devices. It also includes ambulance, hospital, professional 
nursing and funeral services. 
B. Lost Wages 
If an injured person is out of work because of the accident, we will pay 
lost wages up to 75% of his or her average weekly gross wage or 
equivalent for the year ending on the day immediately before the 
accident.  We will not pay for the loss of any other type of income. If the 
injured person was unemployed at the time of the accident, we will pay 
up to 75% of the amount he or she actually lost in earning power as a 
result of the accident. 
C. Replacement Services 
We will reimburse the injured person for reasonable payments made to 
anyone outside his or her household for necessary services that he or 
she would have performed without pay for the benefit of the household, 
had he or she not been injured. 
We will pay PIP benefits to or for: 
1. You, or any other person, if injured while occupying your auto with 
your consent. 
2. You, or anyone living in your household, if injured while occupying 
an auto which does not have Massachusetts Compulsory Insurance or if 
struck by an auto which does not have Massachusetts Compulsory 
Insurance 
3. Any pedestrian, including you, if struck by your auto in  ",compulsory insurance continued auto insurance pay limit pay pay limit show coverage selections page damage cover insurance benefit commonly know pip personal injury fault benefit make difference legally responsible protection accident pay benefit describe people injure kill auto accident accident pay people injure pay injury person pay matter auto premium show coverage selections page pay kind benefit medical expenses pay reasonable expense incur result accident necessary medical surgical x ray dental service include prosthetic device include ambulance hospital professional nursing funeral service lost wage injure person work accident pay lose wage average weekly gross wage equivalent year end day immediately accident pay loss type income injure person unemployed time accident pay actually lose earn power result accident replacement services reimburse injure person reasonable payment outside household necessary service perform pay benefit household injure pay pip benefit person injure occupy auto consent live household injure occupy auto massachusetts compulsory insurance strike auto massachusetts compulsory insurance pedestrian include strike auto
7thEditionPolicy,7,0," 
6  Compulsory 
Insurance 
(Continued) 
Massachusetts or any Massachusetts resident who, while a 
pedestrian, is struck by your auto outside of Massachusetts. 
Benefits are paid only for expenses or losses actually incurred within 
two years after the accident. 
If the accident is in Massachusetts, or if it is outside Massachusetts 
and the injured person does not sue for damages, we will pay benefits 
within a reasonable time – usually thirty days.  If the accident is 
outside Massachusetts and the injured person does sue, then we can 
wait for a settlement or judgment before paying benefits. 
Some people have a wage continuation program at work.  If so, we 
will pay them only the difference between the total we would ordi-
narily pay under this Part and the amount of the program payments.  
We will, however, reimburse the program if it allows benefits to be 
converted into cash or additional retirement credit.  Sometimes 
program benefits are reduced or used up because of payments to the 
person injured in an accident.  In that case, we will pay for lost wages 
resulting from any other illness or injury that person has within one 
year of our last payment.  The exact amount of our payments under 
this paragraph will be determined by Massachusetts law. 
Some people have a policy of health, sickness, or disability insur- 
ance or a contract or agreement with a group, organization part- 
nership or corporation to provide, pay for, or reimburse the cost of 
medical expenses (“health plan”).  If so, we will pay up to $2,000 of 
medical expenses for any injured person.  We will also pay medical 
expenses in excess of $2,000 for such injured person which will not be 
paid by a health plan.  Medical expenses must be submitted to the 
health plan to determine what the health plan will pay before we pay 
benefits in excess of $2,000 under this Part.  We will not pay for 
medical expenses in excess of $2,000 that the health plan would have 
paid had the injured person sought treatment in accordance with the 
requirements of the health plan.  In any case, our total payment for 
medical expenses, lost wages and replacement services will not 
exceed $8,000. 
Within two years after an accident, we may, at our option, pay the cost 
of renewing or continuing in force a policy of health, sickness or 
disability insurance for anyone covered under this Part who is 
unwilling or unable to pay such cost.  Our payment will not exceed the 
cost of renewing or continuing such policy for a period of two years 
after the accident.  Also, our payment will not operate to reduce the 
benefits otherwise payable under this Part. 
",compulsory insurance continued massachusetts massachusetts resident pedestrian strike auto outside massachusetts benefit pay expense loss actually incur year accident accident massachusetts outside massachusetts injured person sue damage pay benefit reasonable time usually day accident outside massachusetts injure person sue wait settlement judgment pay benefit people wage continuation program work pay difference total narily pay program payment reimburse program allow benefit convert cash additional retirement credit program benefit reduce payment person injure accident case pay lose wage result illness injury person year payment exact payment paragraph determine massachusetts law people policy health sickness disability ance contract agreement group organization nership corporation provide pay reimburse cost medical expense health plan pay medical expense injure person pay medical expense excess injure person pay health plan medical expense submit health plan determine health plan pay pay benefit excess pay medical expense excess health plan pay injure person seek treatment accordance requirement health plan case total payment medical expense lose wage replacement service exceed year accident option pay cost renew continue force policy health sickness disability insurance cover unwilling unable pay cost payment exceed cost renew continue policy period year accident payment operate reduce benefit payable
7thEditionPolicy,8,0,"   
Compulsory  Insurance  (Continued) 
7
We will not pay PIP benefits to or for: 
1. Anyone who, at the time of the accident, was operating or 
occupying a motorcycle, any motor vehicle not subject to motor 
vehicle registration, or a motorized bicycle, including a moped. 
2. Anyone who contributed to his or her injury by operating an auto 
(a) while under the influence of alcohol, marijuana, or a narcotic drug, 
(b) while committing a felony or seeking to avoid arrest by a police 
officer, or (c) with the specific intent of causing injury to himself, 
herself or others. 
3. Anyone who is entitled to benefits under any workers’ 
compensation law for the same injury. 
When you purchased this Part you were given the choice of either 
excluding yourself, or yourself and household members, from some 
or all of the PIP coverage.  The portion of each claim you may have 
agreed not to be covered for is called a “deductible.” You paid a 
smaller premium if you chose a deductible.  In that case, we will only 
pay up to the difference between $8,000 and the amount of your 
deductible.  The deductible is shown on the Coverage Selections 
Page. 
If anyone is entitled to PIP benefits and also to benefits under another 
Part of this policy, we will pay from this Part first. 
We will not pay PIP benefits to or for an injured person, to the  
extent those benefits would duplicate expenses or losses recovered 
by that person in a court judgment or settlement. 
If anyone covered under this policy is also entitled to PIP benefits from 
any other auto policy, the total benefits payable will not be more than 
the highest amount payable under whichever one of the policies would 
have paid the most.  In that case, each insurer will pay only its 
proportionate share.  We will not pay benefits under this Part which 
duplicate payments made under the No-Fault coverage of any other 
auto policy. 
Part 3. 
Sometimes an owner or operator of an auto legally responsible 
Bodily Injury 
for an accident is uninsured.  Some accidents involve unidentified 
Caused By An 
hit-and-run autos.  Under this Part, we will pay damages for bodily 
Uninsured Auto 
injury to people injured or killed in certain accidents caused by 
uninsured or hit-and-run autos.  We will pay only if the injured person 
is legally entitled to recover from the owner or operator of the 
uninsured or hit-and-run auto.  We will pay for hit-and-run accidents 
only if the owner or operator causing the accident cannot be identified",compulsory insurance continued pay pip benefit time accident operate occupy motorcycle motor vehicle subject motor vehicle registration motorized bicycle include moped contribute injury operate auto influence alcohol marijuana narcotic drug b commit felony seek avoid arrest police officer c specific intent cause injury entitle benefit worker compensation law injury purchase give choice exclude household member pip coverage portion claim agree cover call deductible pay small premium choose deductible case pay difference deductible deductible show coverage selections page entitle pip benefit benefit policy pay pay pip benefit injured person extent benefit duplicate expense loss recover person court judgment settlement cover policy entitle pip benefit auto policy total benefit payable high payable whichever policy pay case insurer pay proportionate share pay benefit duplicate payment fault coverage auto policy owner operator auto legally responsible bodily injury accident uninsured accident involve unidentified cause hit run auto pay damage bodily uninsured auto injury people injure kill certain accident cause uninsured hit run auto pay injure person legally entitle recover owner operator uninsured hit run auto pay hit run accident owner operator cause accident identify
7thEditionPolicy,9,0," 
8  Compulsory 
Insurance 
(Continued) 
Sometimes the company insuring the auto responsible  
for an accident will deny coverage or become insolvent.  We consider 
such an auto to be uninsured for purposes of this Part.  However, we do 
not consider an auto owned by a governmental unit or someone who is 
legally self-insured to be an uninsured auto. 
This Part is Compulsory.  You must have limits of $20,000 per person 
and $40,000 per accident.  However, you may want to buy more 
protection.  If so, we must sell you limits up to $35,000 per person and 
$80,000 per accident, provided you have purchased at least these limits 
for Part 5.  Higher limits may be purchased if agreed upon by you and 
by us. 
We will pay damages to or for: 
1. You, while occupying your auto, while occupying an auto you do 
not own, or if injured as a pedestrian. 
2. Any household member, while occupying your auto, while 
occupying an auto not owned by you or if injured as a pedestrian.  If 
there are two or more policies which provide coverage at the   same limits, we will only pay our proportionate share.  We will not pay 
damages to or for any household member who has a Massachusetts 
auto policy of his or her own or who is covered by any Massachusetts 
auto policy of another household member providing uninsured auto 
insurance with higher limits. 
3. Anyone else while occupying your auto.  We will not pay damages 
to or for anyone else who has a Massachusetts auto  
policy of his or her own, or who is covered by any Massachusetts auto 
policy of another household member providing uninsured  
auto insurance. 
4. Anyone else for damages he or she is entitled to recover because of 
injury to a person covered under this Part. 
If you are injured while occupying your auto and you have two or 
more autos insured with us with different limits, we will only pay up to 
the limits shown on your Coverage Selections Page for the auto you are 
occupying when injured. 
If you are injured as a pedestrian or while occupying an auto you do 
not own and you have two or more Massachusetts auto policies which 
provide coverage at different limits, the policy with the higher limits will 
pay.  If there are two or more policies which provide coverage at the 
same limits, we will only pay our proportionate share.  We will not pay damages to or for you, if struck by, or while occupying
",compulsory insurance continued company insure auto responsible accident deny coverage insolvent consider auto uninsured purpose consider auto own governmental unit legally self insure uninsured auto compulsory limit person accident want buy protection sell limit person accident provide purchase limit high limit purchase agree pay damage occupy auto occupy auto injure pedestrian household member occupy auto occupy auto own injure pedestrian policy provide coverage limit pay proportionate share pay damage household member massachusetts auto policy cover massachusetts auto policy household member provide uninsured auto insurance high limit occupy auto pay damage massachusetts auto policy cover massachusetts auto policy household member provide uninsured auto insurance damage entitle recover injury person cover injure occupy auto auto insure different limit pay limit show coverage selections page auto occupy injure injure pedestrian occupy auto massachusetts auto policy provide coverage different limit policy high limit pay policy provide coverage limit pay proportionate share pay damage strike occupy
