document_name,page_number,paragraph_number,text,tokenized
5105072011_booklet,0,0,"SAMPLE DOCUMENT              
PREMIER PLUS 
HOMEOWNERS 
POLICY       
Auto Club Family Insurance Company 
12901 North Forty Drive  
St. Louis, Missouri 63141 
(314) 523-7350     
A STOCK COMPANY  A SUBSIDIARY OF THE AUTOMOBILE 
CLUB INTER-INSURANCE EXCHANGE 
",sample document premier plus homeowner policy auto club family insurance company north drive louis missouri stock company subsidiary automobile club inter insurance exchange
5105072011_booklet,1,0,"SAMPLE DOCUMENT  
THIS 
POLICY 
BOOKLET 
WITH 
THE 
DECLARATIONS 
CERTIFICATE 
AND 
ENDORSEMENTS, IF ANY, ISSUED TO FORM A 
PART THEREOF, COMPLETES THIS POLICY.                                    READ YOUR POLICY CAREFULLY   
This policy is a legal contract between you and us",sample document policy booklet declarations certificate endorsement issued form thereof completes policy read policy carefully policy legal contract
5105072011_booklet,2,0,"SAMPLE DOCUMENT TABLE OF CONTENTS  AGREEMENT 
1  DEFINITIONS 
1  SECTION I – PROPERTY COVERAGES 
COVERAGE A – DWELLING 
COVERAGE B – OTHER STRUCTURES 
COVERAGE C – PERSONAL PROPERTY 
COVERAGE D – LOSS OF USE  What Property Is Covered – Coverage A and Coverage B 
8 
What Property Is Not Covered – Coverage A and Coverage B 
8 
What Property Is Covered – Coverage C 
9 
What Property Is Covered Subject to Individual Limit of Liability – 
 Coverage C 
10 
What Property Is Not Covered – Coverage C 
12 
What Property Is Covered – Coverage D 
14 
Other Coverages – Section I 
16 
What Losses Are Covered – Section I 
27 
What Losses Are Not Covered – Exclusions - Section I 
27 
Conditions – Section I 
38  SECTION II – LIABILITY COVERAGES 
COVERAGE E – PERSONAL LIABILITY 
COVERAGE F – MEDICAL PAYMENTS TO OTHERS  What Losses Are Covered – Coverage E 
50 
What Losses Are Covered – Coverage F 
50 
What Losses Are Not Covered – Exclusions - Section II 
51 
Additional Payments – Section II 
59 
Conditions – Section II 
62  SECTION III – GENERAL PROVISIONS 
AAA Membership Requirement 
65 
Bankruptcy 
66 
Changes and Liberalization 
66 
Concealment or Misrepresentation 
66 
Inflation Guard 
66 
Policy Period 
67 
Statements in the Application For Insurance 
67 
Subrogation 
68 
",sample document table content agreement definition section property coverage coverage dwelling coverage b structures coverage c personal property coverage d loss use property cover coverage coverage b property cover coverage coverage b property cover coverage c property cover subject individual limit liability coverage c property cover coverage c property cover coverage d coverages section loss cover section loss cover exclusions section conditions section section ii liability coverages coverage e personal liability coverage f medical payment loss cover coverage e loss cover coverage f loss cover exclusions section ii additional payment section ii conditions section ii section iii general provision aaa membership requirement bankruptcy changes liberalization concealment misrepresentation inflation guard policy period statement application insurance subrogation
5105072011_booklet,4,0,"SAMPLE DOCUMENT
1  AGREEMENT  We will provide the insurance you have selected in 
return for the premium due us and your compliance 
with all policy provisions. Your declarations page 
shows the policy period, the premises to which this 
insurance applies, the coverages and limits you have 
chosen and your premium. Insurance under this 
policy is provided only for the coverages stated in the 
declarations. The declarations page is part of this 
policy.   
DEFINITIONS  Throughout this policy, certain words and phrases 
have a defined meaning when printed in bold type.  We, us or our means the Auto Club Family 
Insurance Company.  You or your means any insured named in the 
declarations. If there is only one insured named in 
the declarations and that insured is a natural person, 
you or your includes that person’s spouse if that 
spouse lives in the same household on a regular, 
continuous and permanent basis.  Actual cash value – means the amount it would cost 
to repair or replace covered property, at the time of 
loss or damage, with material of like kind and quality, 
subject to a deduction for physical deterioration, 
depreciation and obsolescence. Actual cash value 
applies to valuation of covered property regardless of 
whether that property has sustained partial or total 
loss or damage. The actual cash value of the lost or 
damaged property may be significantly less than its 
replacement value.  Bodily injury – means bodily harm, bodily sickness 
or bodily disease, including death that results. Bodily 
injury does not include damages for mental anguish, 
emotional distress or similar damages unless such 
",sample document agreement provide insurance select return premium compliance policy provision declaration page show policy period premise insurance apply coverage limit choose premium insurance policy provide coverage state declaration declaration page policy definition policy certain word phrase define meaning print bold type mean auto club family insurance company mean insure name declaration insure name declaration insure natural person include person spouse spouse live household regular continuous permanent basis actual cash value mean cost repair replace cover property time loss damage material like kind quality subject deduction physical deterioration depreciation obsolescence actual cash value applie valuation covered property regardless property sustain partial total loss damage actual cash value lost damage property significantly replacement value bodily injury mean bodily harm bodily sickness bodily disease include death result bodily injury include damage mental anguish emotional distress similar damage
5105072011_booklet,5,0,"SAMPLE DOCUMENT
2  damages are directly caused by actual physical injury 
to the person claiming damages. 
Business – means any full or part time activity from 
which any insured may derive an economic benefit, 
regardless of profit or loss. Business includes, but is 
not limited to, commercial enterprise, trade, hobby, 
profession, occupation or employment, or the renting, 
leasing or holding for rental or lease of any part of 
any premises by any insured.  If an insured provides home day care services to a 
person or persons other than insureds and receives 
monetary or other compensation for such services, 
that activity is a business. Mutual exchange of home 
day care services, however, is not considered 
compensation. The rendering of home day care 
services by an insured to a relative of an insured is 
not considered a business.  Depreciation - means the lessening of the economic 
value of any property because of age, wear and tear 
or obsolescence.  Drug - means any controlled substance as defined 
by federal or state law. Drug includes but is not 
limited 
to 
cocaine, 
LSD, 
marijuana, 
methamphetamine and all narcotics.  Electronic data processing equipment – means:  1. 
Computer hardware, including any:  a. internal and external components;   b. peripheral devices; and  c. storage or recording media.  2. 
Computer software, meaning computer:  a. programs; and  b. applications.  Fungi - means any type or form of fungus, including 
mold or mildew, and any mycotoxins, spores, scents 
or by-products produced or released by fungi. Under 
SECTION II, this does not include any fungi that are, 
are on, or are contained in, products or goods 
intended for consumption.  ",sample document damage directly cause actual physical injury person claim damage business mean time activity insure derive economic benefit regardless profit loss business include limit commercial enterprise trade hobby profession occupation employment renting leasing hold rental lease premise insure insure provide home day care service person person insured receive monetary compensation service activity business mutual exchange home day care service consider compensation rendering home day care service insured relative insure consider business depreciation mean lessening economic value property age wear tear obsolescence drug mean control substance define federal state law drug include limited cocaine lsd marijuana methamphetamine narcotic electronic datum processing equipment mean computer hardware include internal external component peripheral device storage recording medium computer software mean computer program application fungus mean type form fungus include mold mildew mycotoxin spore scent product produce release fungus section ii include fungus contain product good intend consumption
5105072011_booklet,6,0,"SAMPLE DOCUMENT
3 
Insured - means you and people who live in the 
residence premises on a regular, continuous and 
permanent basis who are:  1. 
Your relatives by blood, marriage or adoption.  2. 
Any other person under the age of 21 who is in 
the care of you or any person included under 
1. above.  Under SECTION II insured also means:  3. 
With respect to animals or watercraft to which 
this policy applies, any person or organization 
legally responsible for these animals or 
watercraft which are owned by you or any 
person included in 1. or 2. above. A person or 
organization using or having custody of these 
animals or watercraft in the course of any 
business or without permission of the owner is 
not an insured.  4. 
With respect to any motorized vehicle to 
which this policy applies:  a. any residence employee while engaged in 
your employ or the employ of any person 
included in 1. or 2. above; or  b. other persons using the motorized vehicle 
on 
an 
insured 
location 
with 
your 
expressed permission.  Insured location - means:  1. 
The residence premises.  2. 
Insured location also means that part of any 
other premises, other structures and grounds 
used by you as a residence and:  a. shown in the declarations; or 
 b. acquired by you during the current policy  
  
period for your use as a residence.  3. 
Any premises used by you in connection with a 
premises listed in 1. or 2. above.  ",sample document insured mean people live residence premise regular continuous permanent basis relative blood marriage adoption person age care person include section ii insure mean respect animal watercraft policy apply person organization legally responsible animal watercraft own person include person organization have custody animal watercraft course business permission owner insure respect motorize vehicle policy apply residence employee engage employ employ person include person motorize vehicle insured location express permission insure location mean residence premise insured location mean premise structure ground residence show declaration acquire current policy period use residence premise connection premise list
5105072011_booklet,7,0,"SAMPLE DOCUMENT
4 
4. 
Any part of any premises not owned by any 
insured where any insured is temporarily 
residing.  5. 
Vacant land, other than farm land, owned by or 
rented or leased to any insured.  6. 
Land owned by or rented or leased to any 
insured on which a one or two family dwelling 
is being constructed as a residence for any 
insured.  7. 
Individual or family cemetery plots or burial 
vaults of any insured.  8. 
Any part of a premises occasionally rented to 
any insured for other than business purposes.  Motorized vehicle - means a self-propelled land or 
amphibious vehicle, regardless of method of surface 
contact. Motorized vehicle includes parts and 
equipment.  Motorized vehicle registration - means any 
licensing, fees, registration or other process that must 
be completed with any governmental entity that is 
required by any ordinance, statute or regulation. 
Motorized vehicle registration is not limited to 
registration of motorized vehicles for use on the 
public highways, and includes any and all fees, 
licensing and/or registration of motorized vehicles 
pursuant to applicable law.  Occurrence 
- 
means 
an 
accident, 
including 
continuous or repeated injurious exposure to 
essentially the same conditions, which, during the 
policy period, results in bodily injury or property 
damage. Occurrence does not include any claim 
arising out of a breach of a contractual obligation, 
express or implied warranty or any negligent or 
intentional misrepresentation relating to a contract or 
express or implied warranty. Continuous or repeated 
injurious exposure to the same or similar conditions is 
considered to be one occurrence.  ",sample document premise own insure insure temporarily residing vacant land farm land own rent lease insure land own rent lease insure family dwell construct residence insure individual family cemetery plot burial vault insure premise occasionally rent insure business purpose motorize vehicle mean self propel land amphibious vehicle regardless method surface contact motorize vehicle include part equipment motorize vehicle registration mean licensing fee registration process complete governmental entity require ordinance statute regulation motorize vehicle registration limit registration motorize vehicle use public highway include fee licensing registration motorize vehicle pursuant applicable law occurrence mean accident include continuous repeat injurious exposure essentially condition policy period result bodily injury property damage occurrence include claim arise breach contractual obligation express imply warranty negligent intentional misrepresentation relate contract express imply warranty continuous repeat injurious exposure similar condition consider occurrence
5105072011_booklet,8,0,"SAMPLE DOCUMENT
5 
Personal injury - means injury during the policy 
period which arises out of one or more of the 
following:  1. 
false arrest, detention or imprisonment;  2. 
malicious prosecution, provided all actions of 
any insured or on behalf of any insured which 
gave rise to the claim of malicious prosecution 
occurred during the time that insured has been 
continuously insured under this or any other 
homeowners policy issued by us;  3. 
libel, slander or defamation of character, 
provided the first publication or utterance which 
gave rise to the claim of libel, slander or 
defamation of character was made by or on 
behalf of any insured during the time that 
insured has been continuously insured under 
this or any other homeowners policy issued by 
us; or  4. 
invasion of privacy, wrongful eviction or 
wrongful entry.  Pollutants - means any solid, liquid, gaseous or 
thermal irritant or contaminant arising from any 
source whether industrial or otherwise, including but 
not limited to, asbestos, radon, carbon monoxide gas, 
fuel oil, gasoline, lead and any products containing 
lead, PCB, smoke, vapor, soot, fumes, acids, alkalis, 
chemicals, insecticides and waste. Waste includes 
materials to be recycled, reconditioned or reclaimed.  Property damage - means physical injury to or 
destruction of tangible property, including all resulting 
loss of use of that property. Property damage does 
not include any amounts sought for pecuniary or 
economic losses.  Punitive damages - means amounts of money 
awarded or imposed to punish, deter or to make an 
example of a wrongdoer and includes, but is not 
limited 
to, 
exemplary 
damages 
and/or 
aggravated/aggravating 
circumstances 
damages, 
",sample document personal injury mean injury policy period arise following false arrest detention imprisonment malicious prosecution provide action insured behalf insure give rise claim malicious prosecution occur time insure continuously insure homeowner policy issue libel slander defamation character provide publication utterance give rise claim libel slander defamation character behalf insure time insure continuously insure homeowner policy issue invasion privacy wrongful eviction wrongful entry pollutant mean solid liquid gaseous thermal irritant contaminant arise source industrial include limit asbestos radon carbon monoxide gas fuel oil gasoline lead product contain lead pcb smoke vapor soot fume acid alkalis chemical insecticide waste waste include material recycle recondition reclaim property damage mean physical injury destruction tangible property include result loss use property property damage include amount seek pecuniary economic loss punitive damage mean amount money award impose punish deter example wrongdoer include limited exemplary damage aggravate aggravate circumstance damage
5105072011_booklet,9,0,"SAMPLE DOCUMENT
6 
whether imposed pursuant to common law, statutes, 
ordinances or regulations.  Remediation - means the reasonable and necessary 
treatment, containment, removal or disposal of fungi, 
wet rot, dry rot, or bacteria, including any costs 
thereof. Remediation also includes any testing to 
detect, measure or evaluate fungi, wet rot, dry rot, or 
bacteria.  Replacement cost – means:  1. 
With respect to buildings and structures that 
are not buildings, the lesser of the cost, at the 
time of the loss, to repair or to replace covered, 
damaged or destroyed property:  a. at the residence premises;  b. for the same use; and  c. with materials of like or reasonably similar 
kind and quality.   
Replacement cost does not include:  a. loss to any property;  b. the cost of repairing, reconstructing or 
demolishing any property; or  c. the cost of removing the debris of any 
property;  occurring as a result of the enforcement of any 
building ordinance or law.   
However, limited building ordinance or law 
coverage for the dwelling is provided under 
provision 4. ORDINANCE OR LAW of OTHER 
COVERAGES – SECTION I.  2. 
With respect to personal property, the cost, at 
the time of the loss, of new property:  a. identical to the lost or damaged property; 
or  b. of like or reasonably similar kind and 
quality and of comparable usefulness as 
the lost or damaged property if identical 
property is not obtainable.    ",sample document impose pursuant common law statute ordinance regulation remediation mean reasonable necessary treatment containment removal disposal fungus wet rot dry rot bacteria include cost thereof remediation include testing detect measure evaluate fungus wet rot dry rot bacteria replacement cost mean respect building structure building less cost time loss repair replace cover damage destroy property residence premise use material like reasonably similar kind quality replacement cost include loss property cost repair reconstruct demolish property cost remove debris property occur result enforcement building ordinance law limited building ordinance law coverage dwelling provide provision ordinance law coverage section respect personal property cost time loss new property identical lose damage property like reasonably similar kind quality comparable usefulness lose damage property identical property obtainable
5105072011_booklet,10,0,"SAMPLE DOCUMENT
7 
Residence employee – means an employee of any 
insured who: 
1. 
performs 
duties 
in 
connection 
with 
the 
maintenance 
or 
use 
of 
the 
residence 
premises, including household or domestic 
services; or  2. 
who performs duties elsewhere of a similar 
nature not in connection with the business of 
any insured.  Residence premises - means:  1. 
the single-family dwelling, including other 
structures and grounds, where you reside on a 
regular, continuous and permanent basis and 
which is shown as the residence premises in 
the declarations; or a two-family dwelling where 
you reside on a regular, continuous and 
permanent basis in at least one of the family 
units and which is shown as the residence 
premises in the declarations; or  2. 
that part of any additional building where you 
reside on a seasonal or temporary basis and is 
shown as the residence premises in the 
declarations.  Theft – means the unlawful taking and carrying away 
of property from another person with the intent to 
deprive the other person of that property. Theft 
includes attempted theft and loss of property from a 
known place when it is likely that the property has 
been stolen.            ",sample document residence employee mean employee insure perform duty connection maintenance use residence premise include household domestic service perform duty similar nature connection business insure residence premise mean single family dwelling include structure ground reside regular continuous permanent basis show residence premise declaration family dwelling reside regular continuous permanent basis family unit show residence premise declaration additional building reside seasonal temporary basis show residence premise declaration theft mean unlawful taking carry away property person intent deprive person property theft include attempt theft loss property know place likely property steal
